tag,place,user
"""been""","Los Angeles, CA, USA",DiannaS514
"""been""","Escondido, CA, USA",DiannaS514
"""been""","Bakersfield, CA, USA",DiannaS514
"""been""","Twin Peaks, CA, USA",DiannaS514
"""been""","Mount Lemmon, AZ, USA",DiannaS514
"""been""","Carson, CA, USA",DiannaS514
"""been""","Crestline, CA, USA",DiannaS514
"""been""","Oro Valley, AZ, USA",DiannaS514
"""been"",""want""","Honolulu, HI, USA",DiannaS514
"""been""","Kailua, HI, USA",DiannaS514
"""been""","Kaneohe, HI, USA",DiannaS514
"""been""","Newport Beach, CA, USA",DiannaS514
"""been""","Blue Jay, CA, USA",DiannaS514
"""been""","Lake Arrowhead, CA, USA",DiannaS514
"""been""","Tucson, AZ, USA",DiannaS514
"""been""","Torrance, CA, USA",DiannaS514
"""been""","Haleiwa, HI, USA",DiannaS514
"""been""","Wahiawa, HI, USA",DiannaS514
"""been""","Las Vegas, NV, USA",DiannaS514
"""been""","San Diego, CA, USA",DiannaS514
"""been""","Anaheim, CA, USA",DiannaS514
"""been""","Long Beach, CA, USA",DiannaS514
"""been""","Lakewood, CA, USA",DiannaS514
"""been""","San Bernardino, CA, USA",DiannaS514
