tag,place,user
"""been""","San Diego, CA, USA",DoilyBoidCatering
"""been""","Hayward, CA, USA",DoilyBoidCatering
"""been""","Clovis, CA, USA",DoilyBoidCatering
"""been""","Kennewick, WA, USA",DoilyBoidCatering
"""been""","Pacific Grove, CA, USA",DoilyBoidCatering
"""been""","Bellflower, CA, USA",DoilyBoidCatering
"""been""","Fresno, CA, USA",DoilyBoidCatering
"""been""","Los Angeles, CA, USA",DoilyBoidCatering
"""been""","Anaheim, CA, USA",DoilyBoidCatering
"""been""","Nashville, TN, USA",DoilyBoidCatering
"""been""","Pinole, CA, USA",DoilyBoidCatering
"""been""","Pomona, CA, USA",DoilyBoidCatering
"""been""","Corpus Christi, TX, USA",DoilyBoidCatering
"""been""","Dallas, TX, USA",DoilyBoidCatering
"""been""","Monterey, CA, USA",DoilyBoidCatering
"""been""","Galt, CA, USA",DoilyBoidCatering
"""been""","Umbarger, TX, USA",DoilyBoidCatering
"""been""","Rockport, TX, USA",DoilyBoidCatering
