tag,place,user
"""been""","St. Albans, UK",DrZzzzz
"""been""","Los Angeles, CA, USA",DrZzzzz
"""been""","Olympic National Park, WA, USA",DrZzzzz
"""been""","Gig Harbor, WA, USA",DrZzzzz
"""been""","Santa Clarita, CA, USA",DrZzzzz
"""been""","Queenstown, New Zealand",DrZzzzz
"""been""","Rotorua, New Zealand",DrZzzzz
"""been""","Revelstoke, British Columbia, Canada",DrZzzzz
"""been""","Agrigento, Italy",DrZzzzz
"""been""","Honolulu, HI, USA",DrZzzzz
"""been""","Kailua, HI, USA",DrZzzzz
"""been""","Burien, WA, USA",DrZzzzz
"""been""","San Jose, Costa Rica",DrZzzzz
"""been""","Wisconsin Dells, WI, USA",DrZzzzz
"""been""","St. Thomas, U.S. Virgin Islands",DrZzzzz
"""been""","Christchurch, New Zealand",DrZzzzz
"""been""","Palermo, Italy",DrZzzzz
"""been""","Stanley, ID, USA",DrZzzzz
"""been""","Waimauku, New Zealand",DrZzzzz
