tag,place,user
"""want""","Aspen, CO, USA",ElleStamsek
"""been""","Little Rock, AR, USA",ElleStamsek
"""been""","Palmdale, CA, USA",ElleStamsek
"""been""","Palm Springs, CA, USA",ElleStamsek
"""been""","Merced, CA, USA",ElleStamsek
"""been""","Lancaster, CA, USA",ElleStamsek
"""been""","Rosamond, CA, USA",ElleStamsek
"""been""","Mission Viejo, CA, USA",ElleStamsek
"""been""","Palm Desert, CA, USA",ElleStamsek
"""been""","Corona, CA, USA",ElleStamsek
"""been""","Los Olivos, CA, USA",ElleStamsek
"""been""","Bishop, CA, USA",ElleStamsek
"""want""","Grand Junction, CO, USA",ElleStamsek
"""been""","Mammoth Lakes, CA, USA",ElleStamsek
"""been""","Fillmore, CA, USA",ElleStamsek
"""want""","San Francisco, CA, USA",ElleStamsek
"""been"",""want""","Seattle, WA, USA",ElleStamsek
"""been""","Playa del Carmen, Mexico",ElleStamsek
"""been""","Huntington Beach, CA, USA",ElleStamsek
"""been""","Bakersfield, CA, USA",ElleStamsek
"""been""","Litchfield Park, AZ, USA",ElleStamsek
"""been""","San Luis Obispo, CA, USA",ElleStamsek
"""been""","Los Angeles, CA, USA",ElleStamsek
"""been""","Santa Barbara, CA, USA",ElleStamsek
"""been""","Carbondale, CO, USA",ElleStamsek
"""been""","Cabazon, CA, USA",ElleStamsek
"""been""","Denver, CO, USA",ElleStamsek
