tag,place,user
"""been""","Dublin, Ireland",Emerson_Powell
"""been""","Pekanbaru, Indonesia",Emerson_Powell
"""been""","Phnom Penh, Cambodia",Emerson_Powell
"""been""","Trieste, Italy",Emerson_Powell
"""been""","Florence, Italy",Emerson_Powell
"""been""","Holyhead, UK",Emerson_Powell
"""been""","Kyiv (Kiev), Ukraine",Emerson_Powell
"""been""","Castleford, UK",Emerson_Powell
"""been""","Langkawi, Malaysia",Emerson_Powell
"""been""","Barcelona, Spain",Emerson_Powell
"""been""","Hunstanton, UK",Emerson_Powell
"""been""","Amsterdam, The Netherlands",Emerson_Powell
"""been""","Bled, Slovenia",Emerson_Powell
"""been""","Halifax, UK",Emerson_Powell
"""been""","Newport, UK",Emerson_Powell
"""been""","Bowness-on-Windermere, UK",Emerson_Powell
"""been""","Ait Ben Haddou, Morocco",Emerson_Powell
"""been""","Munich, Germany",Emerson_Powell
"""been""","Merzouga, Morocco",Emerson_Powell
"""been""","Ouarzazate, Morocco",Emerson_Powell
"""been""","Liverpool, UK",Emerson_Powell
"""been""","London, UK",Emerson_Powell
"""been""","Vientiane, Laos",Emerson_Powell
"""been""","Paris, France",Emerson_Powell
"""been""","Naples, Italy",Emerson_Powell
"""been""","Kuala Lumpur, Malaysia",Emerson_Powell
"""been""","Sorrento, Italy",Emerson_Powell
"""been""","Madrid, Spain",Emerson_Powell
"""been""","Imlil, Morocco",Emerson_Powell
"""been""","Hobart, Australia",Emerson_Powell
"""been""","Tokyo, Japan",Emerson_Powell
"""been""","Ventnor, UK",Emerson_Powell
"""been""","Venice, Italy",Emerson_Powell
"""been""","Adelaide, Australia",Emerson_Powell
"""been""","Queenstown, New Zealand",Emerson_Powell
"""been""","New York City, NY, USA",Emerson_Powell
"""been""","Chiang Rai, Thailand",Emerson_Powell
"""been""","Pasadena, CA, USA",Emerson_Powell
"""been""","Hua Hin, Thailand",Emerson_Powell
"""been""","Krabi Town, Thailand",Emerson_Powell
"""been""","Meknes, Morocco",Emerson_Powell
"""been""","Wetherby, UK",Emerson_Powell
"""been""","Udon Thani, Thailand",Emerson_Powell
"""been""","Rabat, Morocco",Emerson_Powell
"""been""","Fes, Morocco",Emerson_Powell
"""been""","Marrakech, Morocco",Emerson_Powell
"""been""","Casablanca, Morocco",Emerson_Powell
"""been""","Caernarfon, UK",Emerson_Powell
"""been""","Singapore, Singapore",Emerson_Powell
"""been""","Rhosneigr, UK",Emerson_Powell
"""been""","Copenhagen, Denmark",Emerson_Powell
"""been""","Moelfre, UK",Emerson_Powell
"""been""","Essaouira, Morocco",Emerson_Powell
"""been""","Prague, Czech Republic",Emerson_Powell
"""been""","Frankfurt, Germany",Emerson_Powell
"""been""","Edinburgh, UK",Emerson_Powell
"""been""","Miri, Malaysia",Emerson_Powell
"""been""","Hoi An, Vietnam",Emerson_Powell
"""been""","Siem Reap, Cambodia",Emerson_Powell
"""been""","Da Nang, Vietnam",Emerson_Powell
"""been""","Brynsiencyn, UK",Emerson_Powell
"""been""","Port Douglas, Australia",Emerson_Powell
"""been""","Auckland Central, New Zealand",Emerson_Powell
"""been""","Chesterfield, UK",Emerson_Powell
"""been""","Cairns, Australia",Emerson_Powell
"""been""","Barnsley, UK",Emerson_Powell
"""been""","Perth, Australia",Emerson_Powell
"""been""","Melbourne, Australia",Emerson_Powell
"""been""","Errachidia, Morocco",Emerson_Powell
"""been""","Ubud, Indonesia",Emerson_Powell
"""been""","Melaka, Malaysia",Emerson_Powell
"""been""","North Stainley, UK",Emerson_Powell
"""been""","Manchester, UK",Emerson_Powell
"""been""","Leeds, UK",Emerson_Powell
"""been""","Moscow, Russia",Emerson_Powell
"""been""","Christchurch, New Zealand",Emerson_Powell
"""been""","Wellington, New Zealand",Emerson_Powell
"""been""","Chau Doc, Vietnam",Emerson_Powell
"""been""","Rotorua, New Zealand",Emerson_Powell
"""been""","Strahan, Australia",Emerson_Powell
"""been""","Chiang Mai, Thailand",Emerson_Powell
"""been""","Bangkok, Thailand",Emerson_Powell
"""been""","Dunedin, New Zealand",Emerson_Powell
"""been""","Bucharest, Romania",Emerson_Powell
"""been""","Chisinau, Moldova",Emerson_Powell
"""been""","Zagreb, Croatia",Emerson_Powell
"""been""","Rome, Italy",Emerson_Powell
"""been""","Los Angeles, CA, USA",Emerson_Powell
"""been""","Bukittinggi, Indonesia",Emerson_Powell
"""been""","Budapest, Hungary",Emerson_Powell
"""been""","Hope, UK",Emerson_Powell
"""been""","Overton, UK",Emerson_Powell
"""been""","Padang, Indonesia",Emerson_Powell
"""been""","Hue, Vietnam",Emerson_Powell
"""been""","Hanoi, Vietnam",Emerson_Powell
"""been""","Ho Chi Minh City, Vietnam",Emerson_Powell
"""been""","Jakarta, Indonesia",Emerson_Powell
"""been""","Erfoud, Morocco",Emerson_Powell
"""been""","Flookburgh, UK",Emerson_Powell
"""been""","Berlin, Germany",Emerson_Powell
"""been""","Stow Bardolph, UK",Emerson_Powell
"""been""","Sydney, Australia",Emerson_Powell
"""been""","Ljubljana, Slovenia",Emerson_Powell
"""been""","Vienna, Austria",Emerson_Powell
"""been""","Kota Kinabalu, Malaysia",Emerson_Powell
"""been""","Kuching, Malaysia",Emerson_Powell
