tag,place,user
"""been""","Manhattan Beach, CA, USA",ErikaLosAngeles
"""been""","Helsinki, Finland",ErikaLosAngeles
"""been""","Washington DC, DC, USA",ErikaLosAngeles
"""been""","Houston, TX, USA",ErikaLosAngeles
"""been"",""fave""","Stockholm, Sweden",ErikaLosAngeles
"""been""","Santa Barbara, CA, USA",ErikaLosAngeles
"""been""","Encinitas, CA, USA",ErikaLosAngeles
"""been""","Dallas, TX, USA",ErikaLosAngeles
"""been""","Puerto Vallarta, Mexico",ErikaLosAngeles
"""been""","Clearwater, FL, USA",ErikaLosAngeles
"""been""","Santa Monica, CA, USA",ErikaLosAngeles
"""been""","Honolulu, HI, USA",ErikaLosAngeles
"""been""","Boston, MA, USA",ErikaLosAngeles
"""been""","New Orleans, LA, USA",ErikaLosAngeles
"""been""","Inglewood, CA, USA",ErikaLosAngeles
"""been""","Palm Springs, CA, USA",ErikaLosAngeles
"""been""","Palm Desert, CA, USA",ErikaLosAngeles
"""been""","Scottsdale, AZ, USA",ErikaLosAngeles
"""been""","Sedona, AZ, USA",ErikaLosAngeles
"""been""","Phoenix, AZ, USA",ErikaLosAngeles
"""been""","Anaheim, CA, USA",ErikaLosAngeles
"""been""","Fort Lauderdale, FL, USA",ErikaLosAngeles
"""been""","Nagoya, Japan",ErikaLosAngeles
"""been""","Rockville, MD, USA",ErikaLosAngeles
"""been""","Carlsbad, CA, USA",ErikaLosAngeles
"""been""","Coronado, CA, USA",ErikaLosAngeles
"""been""","Copenhagen, Denmark",ErikaLosAngeles
"""been""","Atlanta, GA, USA",ErikaLosAngeles
"""been""","Vancouver, British Columbia, Canada",ErikaLosAngeles
"""been""","Miami Beach, FL, USA",ErikaLosAngeles
"""been""","Los Angeles, CA, USA",ErikaLosAngeles
"""been""","La Jolla, CA, USA",ErikaLosAngeles
"""been""","Portland, OR, USA",ErikaLosAngeles
"""been""","Ventura, CA, USA",ErikaLosAngeles
"""been""","Orlando, FL, USA",ErikaLosAngeles
"""been""","Miami, FL, USA",ErikaLosAngeles
"""been""","Vaasa, Finland",ErikaLosAngeles
"""been""","Pasadena, CA, USA",ErikaLosAngeles
"""been""","Chicago, IL, USA",ErikaLosAngeles
"""been""","Cancun, Mexico",ErikaLosAngeles
"""been""","Kissimmee, FL, USA",ErikaLosAngeles
"""been""","Tampa, FL, USA",ErikaLosAngeles
"""been""","San Marcos, CA, USA",ErikaLosAngeles
"""been""","Denver, CO, USA",ErikaLosAngeles
"""been""","Cabo San Lucas, Mexico",ErikaLosAngeles
"""been""","Isla Mujeres, Mexico",ErikaLosAngeles
"""been""","Anchorage, AK, USA",ErikaLosAngeles
"""been""","Playa del Carmen, Mexico",ErikaLosAngeles
"""been""","New York City, NY, USA",ErikaLosAngeles
"""been""","Oslo, Norway",ErikaLosAngeles
"""been"",""fave""","Las Vegas, NV, USA",ErikaLosAngeles
"""been""","Rancho Mirage, CA, USA",ErikaLosAngeles
"""been""","Santa Fe, NM, USA",ErikaLosAngeles
"""been""","San Francisco, CA, USA",ErikaLosAngeles
"""been""","San Antonio, TX, USA",ErikaLosAngeles
"""been""","Seattle, WA, USA",ErikaLosAngeles
"""been""","Raleigh, NC, USA",ErikaLosAngeles
"""been""","Kyoto, Japan",ErikaLosAngeles
"""been""","Grand Cayman, Cayman Islands",ErikaLosAngeles
"""been""","Mammoth Lakes, CA, USA",ErikaLosAngeles
"""been""","Culver City, CA, USA",ErikaLosAngeles
"""been""","Tucson, AZ, USA",ErikaLosAngeles
"""been""","Philadelphia, PA, USA",ErikaLosAngeles
"""been""","Kailua-Kona, HI, USA",ErikaLosAngeles
"""been""","San Diego, CA, USA",ErikaLosAngeles
"""been""","Lahaina, HI, USA",ErikaLosAngeles
"""been""","Kihei, HI, USA",ErikaLosAngeles
"""been""","Amsterdam, The Netherlands",ErikaLosAngeles
