tag,place,user
"""been""","Beverly Hills, CA, USA",Eurootto
"""been""","Cancun, Mexico",Eurootto
"""been""","Niceville, FL, USA",Eurootto
"""been""","Vicenza, Italy",Eurootto
"""been""","Las Vegas, NV, USA",Eurootto
"""been""","Hamburg, Germany",Eurootto
"""been""","Alghero, Italy",Eurootto
"""been""","Vicksburg, MS, USA",Eurootto
"""been""","New Orleans, LA, USA",Eurootto
"""been""","Albuquerque, NM, USA",Eurootto
"""been""","Fredericksburg, VA, USA",Eurootto
"""been""","Veggiano, Italy",Eurootto
"""been""","Stintino, Italy",Eurootto
"""been""","Los Angeles, CA, USA",Eurootto
