tag,place,user
"""been""","West Hollywood, CA, USA",ExplorerMundi
"""been""","San Diego, CA, USA",ExplorerMundi
"""been""","Kailua-Kona, HI, USA",ExplorerMundi
"""been""","Virginia Beach, VA, USA",ExplorerMundi
"""been""","Matsumoto, Japan",ExplorerMundi
"""been""","Maricopa, CA, USA",ExplorerMundi
"""been""","Scottsdale, AZ, USA",ExplorerMundi
"""been""","Lancaster, PA, USA",ExplorerMundi
"""been""","Williamsburg, VA, USA",ExplorerMundi
"""been""","Reno, NV, USA",ExplorerMundi
"""been""","Cabo San Lucas, Mexico",ExplorerMundi
"""been""","Wilmington, NC, USA",ExplorerMundi
"""been""","Palm Springs, CA, USA",ExplorerMundi
"""been""","Auckland Central, New Zealand",ExplorerMundi
"""been""","Port Lockroy, Antarctica",ExplorerMundi
"""been""","Seattle, WA, USA",ExplorerMundi
"""been""","Washington DC, DC, USA",ExplorerMundi
"""been""","Buenos Aires, Argentina",ExplorerMundi
"""been""","Monument Valley, UT, USA",ExplorerMundi
"""been""","Sanya, China",ExplorerMundi
"""want""","Providenciales, Turks and Caicos",ExplorerMundi
"""been""","Birmingham, UK",ExplorerMundi
"""been""","Haikou, China",ExplorerMundi
"""been""","Kanazawa, Japan",ExplorerMundi
"""been""","Puerto Ayora, Ecuador",ExplorerMundi
"""been""","Singapore, Singapore",ExplorerMundi
"""been""","Nagoya, Japan",ExplorerMundi
"""been""","Warrenton, VA, USA",ExplorerMundi
"""been""","Vieux Fort, St. Lucia",ExplorerMundi
"""been""","Nuku'alofa, Tonga",ExplorerMundi
"""been""","Anchorage, AK, USA",ExplorerMundi
"""been""","Colorado Springs, CO, USA",ExplorerMundi
"""been""","San Cristobal, Ecuador",ExplorerMundi
"""been""","Silverton, CO, USA",ExplorerMundi
"""been""","Bakersfield, CA, USA",ExplorerMundi
"""been""","Sumaco, Ecuador",ExplorerMundi
"""been""","Tofino, British Columbia, Canada",ExplorerMundi
"""been""","Puerto Vallarta, Mexico",ExplorerMundi
"""been""","Pontianak, Indonesia",ExplorerMundi
"""been""","South Lake Tahoe, CA, USA",ExplorerMundi
"""been""","Vancouver, British Columbia, Canada",ExplorerMundi
"""been""","Goleta, CA, USA",ExplorerMundi
"""been""","Oro Grande, CA, USA",ExplorerMundi
"""been""","Whistler, British Columbia, Canada",ExplorerMundi
"""been""","Gardiner, MT, USA",ExplorerMundi
"""been""","Lynchburg, VA, USA",ExplorerMundi
"""want""","Quito, Ecuador",ExplorerMundi
"""been""","Kingstown, St. Vincent and the Grenadines",ExplorerMundi
"""been""","Tokyo, Japan",ExplorerMundi
"""been""","Charlotte, NC, USA",ExplorerMundi
"""been""","Soufriere Mountains, St. Vincent and the Grenadines",ExplorerMundi
"""been""","Minneapolis, MN, USA",ExplorerMundi
"""been""","Biloxi, MS, USA",ExplorerMundi
"""been""","Salt Lake City, UT, USA",ExplorerMundi
"""been""","El Paso, TX, USA",ExplorerMundi
"""been""","Cedar City, UT, USA",ExplorerMundi
"""been""","San Jose, Costa Rica",ExplorerMundi
"""been""","Ishigaki, Japan",ExplorerMundi
"""been""","Wisconsin Dells, WI, USA",ExplorerMundi
"""been""","Naha, Japan",ExplorerMundi
"""been""","Overton, NV, USA",ExplorerMundi
"""been"",""fave""","Ushuaia, Argentina",ExplorerMundi
"""been""","Patong, Thailand",ExplorerMundi
"""been""","Groveland, CA, USA",ExplorerMundi
"""been""","Charleston, SC, USA",ExplorerMundi
"""been""","Rarotonga, Cook Islands",ExplorerMundi
"""been""","Flagstaff, AZ, USA",ExplorerMundi
"""been""","Durango, CO, USA",ExplorerMundi
"""been""","Dolores, CO, USA",ExplorerMundi
"""want""","Rome, Italy",ExplorerMundi
"""been""","Winslow, AZ, USA",ExplorerMundi
"""been""","San Simeon, CA, USA",ExplorerMundi
"""been""","Laguna Beach, CA, USA",ExplorerMundi
"""been""","Morongo Valley, CA, USA",ExplorerMundi
"""been""","Teec Nos Pos, AZ, USA",ExplorerMundi
"""been""","Vail, CO, USA",ExplorerMundi
"""been""","Kayenta, AZ, USA",ExplorerMundi
"""been""","Chincoteague Island, VA, USA",ExplorerMundi
"""been"",""fave""","St. George's, Grenada",ExplorerMundi
"""been""","Banff, Alberta, Canada",ExplorerMundi
"""been""","Calgary, Alberta, Canada",ExplorerMundi
"""been""","Cortez, CO, USA",ExplorerMundi
"""been"",""fave""","Suva, Fiji",ExplorerMundi
"""been""","Jasper, Alberta, Canada",ExplorerMundi
"""been""","Hong Kong, China",ExplorerMundi
"""been""","Yasuni National Park, Ecuador",ExplorerMundi
"""been"",""want""","Nadi, Fiji",ExplorerMundi
"""been""","Zagreb, Croatia",ExplorerMundi
"""been""","Honolulu, HI, USA",ExplorerMundi
"""been""","San Jose, CA, USA",ExplorerMundi
"""been""","Trois-Ilets, Martinique",ExplorerMundi
"""been""","Carmel, CA, USA",ExplorerMundi
"""been""","Split, Croatia",ExplorerMundi
"""been""","Carlsbad, CA, USA",ExplorerMundi
"""been""","Dubrovnik, Croatia",ExplorerMundi
"""been""","La Jolla, CA, USA",ExplorerMundi
"""been""","Denver, CO, USA",ExplorerMundi
"""been""","Aitutaki, Cook Islands",ExplorerMundi
"""been""","Anse Cochon, St. Lucia",ExplorerMundi
"""been""","San Luis Obispo, CA, USA",ExplorerMundi
"""been""","Shinjuku, Japan",ExplorerMundi
"""been""","Shibuya, Japan",ExplorerMundi
"""been""","Bangkok, Thailand",ExplorerMundi
"""been""","Homer, AK, USA",ExplorerMundi
"""been""","Monterey, CA, USA",ExplorerMundi
"""been""","Taipei, Taiwan",ExplorerMundi
"""been""","Boston, MA, USA",ExplorerMundi
"""been""","Fort-de-France, Martinique",ExplorerMundi
"""been""","New Orleans, LA, USA",ExplorerMundi
"""been""","Asheville, NC, USA",ExplorerMundi
"""been""","London, UK",ExplorerMundi
"""been""","Philadelphia, PA, USA",ExplorerMundi
"""been""","Springdale, UT, USA",ExplorerMundi
"""been""","Seoul, South Korea",ExplorerMundi
"""been""","Batopilas, Mexico",ExplorerMundi
"""been""","Mammoth Lakes, CA, USA",ExplorerMundi
"""been""","Portland, ME, USA",ExplorerMundi
"""been""","Santa Monica, CA, USA",ExplorerMundi
"""want""","La Paz, Bolivia",ExplorerMundi
"""been""","Tuba City, AZ, USA",ExplorerMundi
"""been"",""fave""","Marigot Bay, St. Lucia",ExplorerMundi
"""been""","Mexico City, Mexico",ExplorerMundi
"""been""","Napa, CA, USA",ExplorerMundi
"""been""","Tongatapu Island, Tonga",ExplorerMundi
"""been""","Phoenix, AZ, USA",ExplorerMundi
"""been""","Long Beach, CA, USA",ExplorerMundi
"""been""","Needles, CA, USA",ExplorerMundi
"""been""","Santa Fe, NM, USA",ExplorerMundi
"""been""","Chiyoda, Japan",ExplorerMundi
"""been""","Hershey, PA, USA",ExplorerMundi
"""been""","San Francisco, CA, USA",ExplorerMundi
"""been""","Joshua Tree National Park, CA, USA",ExplorerMundi
"""been""","West Yellowstone, MT, USA",ExplorerMundi
"""been""","Gettysburg, PA, USA",ExplorerMundi
"""been""","Tucson, AZ, USA",ExplorerMundi
"""been""","Guangzhou, China",ExplorerMundi
"""been""","Auckland, New Zealand",ExplorerMundi
"""been""","Wofford Heights, CA, USA",ExplorerMundi
"""been""","Santa Ana, CA, USA",ExplorerMundi
"""been""","King George Island, Antarctica",ExplorerMundi
"""been""","Santa Barbara, CA, USA",ExplorerMundi
"""been"",""fave""","Deception Island, Antarctica",ExplorerMundi
"""been""","Avalon, CA, USA",ExplorerMundi
"""been""","Big Bear City, CA, USA",ExplorerMundi
"""been""","Portland, OR, USA",ExplorerMundi
"""been""","Breckenridge, CO, USA",ExplorerMundi
"""been""","Santa Cruz, CA, USA",ExplorerMundi
"""been""","Big Sur, CA, USA",ExplorerMundi
"""been""","Idyllwild, CA, USA",ExplorerMundi
"""been""","Gallup, NM, USA",ExplorerMundi
"""been""","Raleigh, NC, USA",ExplorerMundi
"""been""","Sacramento, CA, USA",ExplorerMundi
"""been""","Jakarta, Indonesia",ExplorerMundi
"""been""","Moab, UT, USA",ExplorerMundi
"""been""","Castries, St. Lucia",ExplorerMundi
"""been""","Gros Islet, St. Lucia",ExplorerMundi
"""been""","Soufriere, St. Lucia",ExplorerMundi
"""want""","Catania, Italy",ExplorerMundi
"""been""","Richmond, VA, USA",ExplorerMundi
"""been""","Anaheim, CA, USA",ExplorerMundi
"""been""","Newport Beach, CA, USA",ExplorerMundi
"""been""","Tustin, CA, USA",ExplorerMundi
"""been""","Milwaukee, WI, USA",ExplorerMundi
"""been""","Jackson, WY, USA",ExplorerMundi
"""been""","Rapid City, SD, USA",ExplorerMundi
"""been""","Arlington, VA, USA",ExplorerMundi
"""been""","Pittsburgh, PA, USA",ExplorerMundi
"""been""","Yokohama, Japan",ExplorerMundi
"""been""","Orange, CA, USA",ExplorerMundi
"""been""","Savannah, GA, USA",ExplorerMundi
"""been""","Petrified Forest National Park, AZ, USA",ExplorerMundi
"""been""","Albuquerque, NM, USA",ExplorerMundi
"""been""","Atlanta, GA, USA",ExplorerMundi
"""been""","Zion National Park, UT, USA",ExplorerMundi
"""been""","Queenstown, New Zealand",ExplorerMundi
"""been""","Park City, UT, USA",ExplorerMundi
"""been""","Ouray, CO, USA",ExplorerMundi
"""been""","Fukuoka, Japan",ExplorerMundi
"""been""","Pensacola, FL, USA",ExplorerMundi
"""been""","Christchurch, New Zealand",ExplorerMundi
"""been""","Los Angeles, CA, USA",ExplorerMundi
"""been""","Sonoma, CA, USA",ExplorerMundi
"""been""","Irvine, CA, USA",ExplorerMundi
"""been""","Pismo Beach, CA, USA",ExplorerMundi
"""been""","Solvang, CA, USA",ExplorerMundi
"""been""","La Paz, Mexico",ExplorerMundi
"""been""","Chicago, IL, USA",ExplorerMundi
"""been""","Hiroshima, Japan",ExplorerMundi
"""been""","Wellington, New Zealand",ExplorerMundi
"""been"",""fave""","Kyoto, Japan",ExplorerMundi
"""been""","Osaka, Japan",ExplorerMundi
"""been""","Las Vegas, NV, USA",ExplorerMundi
