tag,place,user
"""been""","Rancho Palos Verdes, CA, USA",F5006CDjans
"""been""","Machu Picchu, Peru",F5006CDjans
"""been""","Cusco, Peru",F5006CDjans
"""been""","Marina del Rey, CA, USA",F5006CDjans
"""been""","SeaTac, WA, USA",F5006CDjans
"""been""","Sedona, AZ, USA",F5006CDjans
"""been""","Trujillo, Peru",F5006CDjans
"""been""","Los Angeles, CA, USA",F5006CDjans
"""been""","La Jolla, CA, USA",F5006CDjans
"""been""","Dallas, TX, USA",F5006CDjans
"""been""","Sausalito, CA, USA",F5006CDjans
"""been""","Mammoth Lakes, CA, USA",F5006CDjans
"""been""","Quincy, WA, USA",F5006CDjans
"""been""","Santa Monica, CA, USA",F5006CDjans
"""been""","San Francisco, CA, USA",F5006CDjans
