tag,place,user
"""been""","Phoenix, AZ, USA",FG32
"""been""","Plantation, FL, USA",FG32
"""been""","Fort Lauderdale, FL, USA",FG32
"""been""","Danbury, CT, USA",FG32
"""been""","New London, CT, USA",FG32
"""been""","San Francisco, CA, USA",FG32
"""been""","Long Beach, CA, USA",FG32
"""been""","Tucson, AZ, USA",FG32
"""been""","Philadelphia, PA, USA",FG32
"""been""","East Patchogue, NY, USA",FG32
"""been""","Anaheim, CA, USA",FG32
"""been""","Dallas, TX, USA",FG32
"""been""","Hollywood, FL, USA",FG32
"""been""","Plainfield, IN, USA",FG32
"""been""","Kissimmee, FL, USA",FG32
"""been""","Colorado Springs, CO, USA",FG32
"""been""","Denver, CO, USA",FG32
"""been""","Louisville, KY, USA",FG32
"""been""","Los Angeles, CA, USA",FG32
"""been""","Orlando, FL, USA",FG32
"""been""","Miami, FL, USA",FG32
"""been""","Chicago, IL, USA",FG32
"""been""","Washington DC, DC, USA",FG32
"""been""","New York City, NY, USA",FG32
"""been""","Las Vegas, NV, USA",FG32
"""been""","Scottsdale, AZ, USA",FG32
