tag,place,user
"""been""","Grand Cayman, Cayman Islands",FifiLSydney
"""been""","Canberra, Australia",FifiLSydney
"""been""","Melbourne, Australia",FifiLSydney
"""been""","Mudjimba, Australia",FifiLSydney
"""been""","Coffs Harbour, Australia",FifiLSydney
"""been""","Seven Mile Beach, Cayman Islands",FifiLSydney
"""been""","George Town, Cayman Islands",FifiLSydney
"""been""","Beverly Hills, CA, USA",FifiLSydney
"""been""","Marghera, Italy",FifiLSydney
"""been""","Honolulu, HI, USA",FifiLSydney
"""been""","Kuantan, Malaysia",FifiLSydney
"""been""","Kapolei, HI, USA",FifiLSydney
"""been""","Las Vegas, NV, USA",FifiLSydney
"""been""","East End, Cayman Islands",FifiLSydney
"""been""","Santa Clarita, CA, USA",FifiLSydney
"""been""","Denver, CO, USA",FifiLSydney
"""been""","Newport Beach, CA, USA",FifiLSydney
"""been""","West Bay, Cayman Islands",FifiLSydney
"""been""","Singapore, Singapore",FifiLSydney
"""been""","Sentosa Island, Singapore",FifiLSydney
"""been""","Port Macquarie, Australia",FifiLSydney
"""been""","Breckenridge, CO, USA",FifiLSydney
"""been""","Hong Kong, China",FifiLSydney
