tag,place,user
"""been""","Hot Springs, SD, USA",FormerHockeyMom
"""been""","Beatty, NV, USA",FormerHockeyMom
"""been""","Lusk, WY, USA",FormerHockeyMom
"""been""","Bensenville, IL, USA",FormerHockeyMom
"""been""","Cincinnati, OH, USA",FormerHockeyMom
"""been""","Williamsburg, VA, USA",FormerHockeyMom
"""been"",""fave""","San Diego, CA, USA",FormerHockeyMom
"""been""","Whitewood, SD, USA",FormerHockeyMom
"""been""","West Hollywood, CA, USA",FormerHockeyMom
"""been""","Gurnee, IL, USA",FormerHockeyMom
"""been""","Winner, SD, USA",FormerHockeyMom
"""been""","Beaver, UT, USA",FormerHockeyMom
"""been""","Ridgecrest, CA, USA",FormerHockeyMom
"""been""","Belle Fourche, SD, USA",FormerHockeyMom
"""want""","Fort Lauderdale, FL, USA",FormerHockeyMom
"""been""","Provo, UT, USA",FormerHockeyMom
"""been""","Piedmont, SD, USA",FormerHockeyMom
"""been""","Palmdale, CA, USA",FormerHockeyMom
"""been""","Bloomington, MN, USA",FormerHockeyMom
"""want""","Nice, France",FormerHockeyMom
"""been""","Lancaster, CA, USA",FormerHockeyMom
"""been"",""fave""","Hecla Island, Manitoba, Canada",FormerHockeyMom
"""been""","Seattle, WA, USA",FormerHockeyMom
"""been""","Sidney, MT, USA",FormerHockeyMom
"""been""","Vienna, VA, USA",FormerHockeyMom
"""been""","Denver, CO, USA",FormerHockeyMom
"""want""","Honolulu, HI, USA",FormerHockeyMom
"""been""","San Jose, CA, USA",FormerHockeyMom
"""want""","Houston, TX, USA",FormerHockeyMom
"""want""","Kissimmee, FL, USA",FormerHockeyMom
"""been""","Dallas, TX, USA",FormerHockeyMom
"""been""","Gettysburg, SD, USA",FormerHockeyMom
"""been""","Riverside, CA, USA",FormerHockeyMom
"""been""","Sioux Center, IA, USA",FormerHockeyMom
"""been""","Defiance, OH, USA",FormerHockeyMom
"""want""","Toledo, Spain",FormerHockeyMom
"""been""","Sandusky, OH, USA",FormerHockeyMom
"""been""","Chadron, NE, USA",FormerHockeyMom
"""been""","Pasadena, CA, USA",FormerHockeyMom
"""been""","Boonville, MO, USA",FormerHockeyMom
"""been""","Buxton, NC, USA",FormerHockeyMom
"""been""","Centennial, CO, USA",FormerHockeyMom
"""been""","Little America, WY, USA",FormerHockeyMom
"""been""","Laramie, WY, USA",FormerHockeyMom
"""been""","Tupelo, MS, USA",FormerHockeyMom
"""been""","Lone Tree, CO, USA",FormerHockeyMom
"""been""","Jamestown, ND, USA",FormerHockeyMom
"""been""","Boston, MA, USA",FormerHockeyMom
"""been""","El Cuervo de Sevilla, Spain",FormerHockeyMom
"""been""","Custer, SD, USA",FormerHockeyMom
"""been""","Saint Paul, MN, USA",FormerHockeyMom
"""been""","New Orleans, LA, USA",FormerHockeyMom
"""been""","Tacoma, WA, USA",FormerHockeyMom
"""want""","Charleston, SC, USA",FormerHockeyMom
"""been""","Meridian, ID, USA",FormerHockeyMom
"""been""","Jewell, OH, USA",FormerHockeyMom
"""been""","Nellingen auf den Fildern, Germany",FormerHockeyMom
"""been""","Lawton, OK, USA",FormerHockeyMom
"""been""","Wasta, SD, USA",FormerHockeyMom
"""been""","Frankfurt, Germany",FormerHockeyMom
"""been""","Ontario, CA, USA",FormerHockeyMom
"""been""","New Underwood, SD, USA",FormerHockeyMom
"""been""","Kitty Hawk, NC, USA",FormerHockeyMom
"""been""","Camarillo, CA, USA",FormerHockeyMom
"""been""","Underwood, ND, USA",FormerHockeyMom
"""been""","Des Moines, IA, USA",FormerHockeyMom
"""been""","Watertown, SD, USA",FormerHockeyMom
"""been""","Bryan, OH, USA",FormerHockeyMom
"""been""","Oacoma, SD, USA",FormerHockeyMom
"""been""","Fredonia, NY, USA",FormerHockeyMom
"""been""","Kill Devil Hills, NC, USA",FormerHockeyMom
"""been""","Cumberland, MD, USA",FormerHockeyMom
"""been""","Edina, MN, USA",FormerHockeyMom
"""been""","Madison, WI, USA",FormerHockeyMom
"""been""","Grand Forks, ND, USA",FormerHockeyMom
"""been""","Buffalo, NY, USA",FormerHockeyMom
"""been""","Mill Run, PA, USA",FormerHockeyMom
"""been""","Colorado Springs, CO, USA",FormerHockeyMom
"""been""","Kansas City, KS, USA",FormerHockeyMom
"""been""","Culver City, CA, USA",FormerHockeyMom
"""been""","Aberdeen, SD, USA",FormerHockeyMom
"""been""","Redondo Beach, CA, USA",FormerHockeyMom
"""been""","Vivian, SD, USA",FormerHockeyMom
"""been""","Ruedesheim am Rhein, Germany",FormerHockeyMom
"""been""","San Bernardino, CA, USA",FormerHockeyMom
"""been""","Hamden, CT, USA",FormerHockeyMom
"""been""","Wiesbaden, Germany",FormerHockeyMom
"""been""","Bakersfield, CA, USA",FormerHockeyMom
"""been""","Baker, CA, USA",FormerHockeyMom
"""been""","Nampa, ID, USA",FormerHockeyMom
"""been""","Canonsburg, PA, USA",FormerHockeyMom
"""been""","Murdo, SD, USA",FormerHockeyMom
"""been""","Nemo, SD, USA",FormerHockeyMom
"""been""","Wall, SD, USA",FormerHockeyMom
"""been""","Oxnard, CA, USA",FormerHockeyMom
"""want""","Athens, Greece",FormerHockeyMom
"""been""","Fort Pierre, SD, USA",FormerHockeyMom
"""been""","Allegany, NY, USA",FormerHockeyMom
"""been""","Bismarck, ND, USA",FormerHockeyMom
"""been""","Blaine, MN, USA",FormerHockeyMom
"""been""","Hilton Head, SC, USA",FormerHockeyMom
"""been""","Burbank, CA, USA",FormerHockeyMom
"""been""","Ramstein-Miesenbach, Germany",FormerHockeyMom
"""been""","Grand Junction, CO, USA",FormerHockeyMom
"""want""","Atlantic City, NJ, USA",FormerHockeyMom
"""been""","Arlington, TX, USA",FormerHockeyMom
"""been""","Augsburg, Germany",FormerHockeyMom
"""been""","Punxsutawney, PA, USA",FormerHockeyMom
"""been""","Davenport, IA, USA",FormerHockeyMom
"""been""","Rothenburg, Germany",FormerHockeyMom
"""been""","Fussen, Germany",FormerHockeyMom
"""been""","Greenwood Village, CO, USA",FormerHockeyMom
"""been""","Vermillion, SD, USA",FormerHockeyMom
"""been""","Mitchell, SD, USA",FormerHockeyMom
"""been""","Dunkirk, NY, USA",FormerHockeyMom
"""been""","Bushmills, UK",FormerHockeyMom
"""want""","Rome, Italy",FormerHockeyMom
"""been""","Mission, SD, USA",FormerHockeyMom
"""been""","Asbury Park, NJ, USA",FormerHockeyMom
"""been""","Nuremberg, Germany",FormerHockeyMom
"""been""","Rio Rancho, NM, USA",FormerHockeyMom
"""been""","Thousand Oaks, CA, USA",FormerHockeyMom
"""been""","Jackson, NJ, USA",FormerHockeyMom
"""been""","Santa Fe, NM, USA",FormerHockeyMom
"""been""","Niagara Falls, Ontario, Canada",FormerHockeyMom
"""want""","San Antonio, TX, USA",FormerHockeyMom
"""been""","San Francisco, CA, USA",FormerHockeyMom
"""been""","Shreveport, LA, USA",FormerHockeyMom
"""been""","Leesburg, VA, USA",FormerHockeyMom
"""been""","Mesa, AZ, USA",FormerHockeyMom
