tag,place,user
"""been""","Winterset, IA, USA",FreddyMcReady
"""been""","Captiva Island, FL, USA",FreddyMcReady
"""been""","Pella, IA, USA",FreddyMcReady
"""been""","North Fort Myers, FL, USA",FreddyMcReady
"""been""","Virginia Beach, VA, USA",FreddyMcReady
"""been""","Bengaluru, India",FreddyMcReady
"""been""","Arlington, VA, USA",FreddyMcReady
"""been""","Ames, IA, USA",FreddyMcReady
"""been""","Siesta Key, FL, USA",FreddyMcReady
"""been""","Fernandina Beach, FL, USA",FreddyMcReady
"""been""","Orlando, FL, USA",FreddyMcReady
"""been""","Amana, IA, USA",FreddyMcReady
"""been""","Tampa, FL, USA",FreddyMcReady
"""been""","Malibu, CA, USA",FreddyMcReady
"""been""","Cozumel, Mexico",FreddyMcReady
"""been""","Sanibel Island, FL, USA",FreddyMcReady
"""been""","Copenhagen, Denmark",FreddyMcReady
"""been""","Peterhof, Russia",FreddyMcReady
"""been""","Anchorage, AK, USA",FreddyMcReady
"""been""","Urbandale, IA, USA",FreddyMcReady
"""been""","Porvoo, Finland",FreddyMcReady
"""been""","Williamsburg, IA, USA",FreddyMcReady
"""been""","LaBelle, FL, USA",FreddyMcReady
"""been""","Fort Myers Beach, FL, USA",FreddyMcReady
"""been""","Kissimmee, FL, USA",FreddyMcReady
"""been""","Fort Myers, FL, USA",FreddyMcReady
"""been""","Jupiter, FL, USA",FreddyMcReady
"""been""","Immokalee, FL, USA",FreddyMcReady
"""been""","Girdwood, AK, USA",FreddyMcReady
"""been""","Jensen Beach, FL, USA",FreddyMcReady
"""been""","Washington DC, DC, USA",FreddyMcReady
"""been""","Tallinn, Estonia",FreddyMcReady
"""been"",""want""","Des Moines, IA, USA",FreddyMcReady
"""been""","Alexandria, VA, USA",FreddyMcReady
"""been""","Stockholm, Sweden",FreddyMcReady
"""been""","Estero, FL, USA",FreddyMcReady
