tag,place,user
"""been""","Skala, Greece",GO50
"""been""","Carriacou Island, Grenada",GO50
"""been""","Castries, St. Lucia",GO50
"""been""","Lamai Beach, Thailand",GO50
"""been""","Ho Chi Minh City, Vietnam",GO50
"""been""","Cavelossim, India",GO50
"""been""","Kempton Park, South Africa",GO50
"""been""","Negombo, Sri Lanka",GO50
"""been""","Fiscardo, Greece",GO50
"""been""","Stratford-upon-Avon, UK",GO50
"""been""","Dubai, United Arab Emirates",GO50
"""been""","Kallithea, Greece",GO50
"""been""","Peterborough, UK",GO50
"""been""","Grand Anse, Grenada",GO50
"""been""","Kanchanaburi, Thailand",GO50
"""been""","Waikkal, Sri Lanka",GO50
"""been""","Krabi Town, Thailand",GO50
"""been""","Beverly Hills, CA, USA",GO50
"""been""","Olney, UK",GO50
"""been""","Grand Etang National Park, Grenada",GO50
"""been""","St. George's, Grenada",GO50
"""been""","Bangkok, Thailand",GO50
"""been""","Grenada, Caribbean",GO50
"""been""","Kuala Lumpur, Malaysia",GO50
"""been""","Assos, Greece",GO50
"""been""","London, UK",GO50
"""been""","Stone Town, Tanzania",GO50
"""been""","Agios Nikolaos, Greece",GO50
"""been""","York, UK",GO50
"""been""","Cambridge, UK",GO50
"""been""","Cephalonia, Greece",GO50
"""been""","Polegate, UK",GO50
"""been""","Venice, Italy",GO50
"""been""","Vatican City, Vatican City",GO50
"""been""","Verona, Italy",GO50
"""been""","Sigiriya, Sri Lanka",GO50
"""been""","Rome, Italy",GO50
"""been""","Belmont, Grenada",GO50
"""been""","Nungwi, Tanzania",GO50
"""been""","Siem Reap, Cambodia",GO50
"""been""","Hoi An, Vietnam",GO50
"""been""","Langkawi, Malaysia",GO50
"""been""","Protaras, Cyprus",GO50
"""been""","Bradford, UK",GO50
"""been""","Habarana, Sri Lanka",GO50
"""been""","Blackpool, UK",GO50
"""been""","Sanur, Indonesia",GO50
"""been""","Bophut, Thailand",GO50
"""been""","Los Angeles, CA, USA",GO50
"""been""","Agia Efimia, Greece",GO50
"""been""","Lindos, Greece",GO50
"""been""","Pantai Cenang, Malaysia",GO50
"""been""","Pinnawala, Sri Lanka",GO50
"""been""","Kandy, Sri Lanka",GO50
"""been""","Jesolo, Italy",GO50
"""been""","Ayia Napa, Cyprus",GO50
"""been""","Varadero, Cuba",GO50
"""been""","St Peter Port, UK",GO50
"""been""","Burbank, CA, USA",GO50
"""been""","Meedhupparu Island, Asia",GO50
"""been""","Mae Nam, Thailand",GO50
"""been""","Castel, UK",GO50
"""been""","Sami, Greece",GO50
"""been""","Batu Ferringhi, Malaysia",GO50
"""been""","Balaclava, Africa",GO50
"""been""","Ao Nang, Thailand",GO50
"""been""","Santa Monica, CA, USA",GO50
