tag,place,user
"""want""","Marrakech, Morocco",GigiLJ
"""been""","Beaufort, France",GigiLJ
"""been""","San Jose, CA, USA",GigiLJ
"""been""","Carmel, CA, USA",GigiLJ
"""been""","Carlsbad, CA, USA",GigiLJ
"""been""","Denver, CO, USA",GigiLJ
"""been""","Lewisburg, PA, USA",GigiLJ
"""been""","Fort Myers Beach, FL, USA",GigiLJ
"""been""","Westlake Village, CA, USA",GigiLJ
"""been""","Palm Desert, CA, USA",GigiLJ
"""been""","Sewanee, TN, USA",GigiLJ
"""been""","Fort Lauderdale, FL, USA",GigiLJ
"""been""","Seattle, WA, USA",GigiLJ
"""been""","San Diego, CA, USA",GigiLJ
"""been""","Palm Springs, CA, USA",GigiLJ
"""been"",""fave""","Edinburgh, UK",GigiLJ
"""been""","Cabo San Lucas, Mexico",GigiLJ
"""been""","Virginia Beach, VA, USA",GigiLJ
"""been""","Sandston, VA, USA",GigiLJ
"""been""","Williamsburg, VA, USA",GigiLJ
"""been""","La Jolla, CA, USA",GigiLJ
"""been""","Orlando, FL, USA",GigiLJ
"""been""","Winston Salem, NC, USA",GigiLJ
"""want""","Athens, Greece",GigiLJ
"""been""","Dallas, TX, USA",GigiLJ
"""been"",""fave""","New Orleans, LA, USA",GigiLJ
"""been""","Boston, MA, USA",GigiLJ
"""been""","Santo Domingo, Dominican Republic",GigiLJ
"""been""","Monterey, CA, USA",GigiLJ
"""want""","Vancouver, British Columbia, Canada",GigiLJ
"""been""","Beverly Hills, CA, USA",GigiLJ
"""been""","Pittsburgh, PA, USA",GigiLJ
"""been""","Memphis, TN, USA",GigiLJ
"""been""","Santa Barbara, CA, USA",GigiLJ
"""been""","Laguna Beach, CA, USA",GigiLJ
"""been""","Cordoba, Spain",GigiLJ
"""been""","Dolceacqua, Italy",GigiLJ
"""been""","Nashville, TN, USA",GigiLJ
"""been""","Atlanta, GA, USA",GigiLJ
"""been""","Baltimore, MD, USA",GigiLJ
"""been""","Albuquerque, NM, USA",GigiLJ
"""been"",""fave""","Rome, Italy",GigiLJ
"""been""","Richmond, VA, USA",GigiLJ
"""been""","Ocean City, MD, USA",GigiLJ
"""been""","Santa Monica, CA, USA",GigiLJ
"""been""","Panama City Beach, FL, USA",GigiLJ
"""been""","Gulf Shores, AL, USA",GigiLJ
"""want""","Vienna, Austria",GigiLJ
"""been""","Santa Cruz, CA, USA",GigiLJ
"""been""","Gros Islet, St. Lucia",GigiLJ
"""been""","New York City, NY, USA",GigiLJ
"""been""","Berlin, Germany",GigiLJ
"""been""","Atlantic City, NJ, USA",GigiLJ
"""been""","Bethesda, MD, USA",GigiLJ
"""been""","Las Vegas, NV, USA",GigiLJ
"""been""","Austin, TX, USA",GigiLJ
"""been""","Pensacola, FL, USA",GigiLJ
"""been""","San Antonio, TX, USA",GigiLJ
"""been""","Phoenix, AZ, USA",GigiLJ
"""been"",""fave""","Santa Fe, NM, USA",GigiLJ
"""been"",""want""","Lisbon, Portugal",GigiLJ
"""want""","Barcelona, Spain",GigiLJ
"""been""","Gettysburg, PA, USA",GigiLJ
"""been""","San Francisco, CA, USA",GigiLJ
"""been""","Napa, CA, USA",GigiLJ
"""been""","Philadelphia, PA, USA",GigiLJ
"""want""","Florence, Italy",GigiLJ
"""been""","Baton Rouge, LA, USA",GigiLJ
"""been""","South Lake Tahoe, CA, USA",GigiLJ
"""been""","Anaheim, CA, USA",GigiLJ
"""been"",""fave""","Incline Village, NV, USA",GigiLJ
"""been""","Rehoboth Beach, DE, USA",GigiLJ
"""been""","Arlington, VA, USA",GigiLJ
"""want""","Annapolis Royal, Nova Scotia, Canada",GigiLJ
"""been""","Mukilteo, WA, USA",GigiLJ
"""been""","Los Angeles, CA, USA",GigiLJ
"""been""","Chamonix, France",GigiLJ
"""want""","Capri, Italy",GigiLJ
"""been""","Chicago, IL, USA",GigiLJ
"""been""","Louisville, KY, USA",GigiLJ
"""been""","Bethlehem, PA, USA",GigiLJ
"""been""","Chattanooga, TN, USA",GigiLJ
"""been""","Versailles, France",GigiLJ
"""been"",""fave""","Paris, France",GigiLJ
"""been""","Naples, Italy",GigiLJ
"""been""","London, UK",GigiLJ
"""been""","Minneapolis, MN, USA",GigiLJ
"""been""","Biloxi, MS, USA",GigiLJ
"""want""","Montreal, Quebec, Canada",GigiLJ
"""want""","Quebec City, Quebec, Canada",GigiLJ
"""been""","Pompano Beach, FL, USA",GigiLJ
"""been""","Houston, TX, USA",GigiLJ
"""been"",""fave""","Washington DC, DC, USA",GigiLJ
"""been""","Newport, RI, USA",GigiLJ
"""want""","Venice, Italy",GigiLJ
"""been""","Deadwood, SD, USA",GigiLJ
"""been"",""want""","Nice, France",GigiLJ
"""want""","Madrid, Spain",GigiLJ
"""been"",""fave""","Aspen, CO, USA",GigiLJ
"""been""","Provincetown, MA, USA",GigiLJ
"""been""","Monte-Carlo, Monaco",GigiLJ
"""been""","Snowmass Village, CO, USA",GigiLJ
"""been""","Scottsdale, AZ, USA",GigiLJ
"""been""","Dana Point, CA, USA",GigiLJ
"""been""","Birmingham, AL, USA",GigiLJ
"""been""","Charlotte, NC, USA",GigiLJ
"""been""","West Palm Beach, FL, USA",GigiLJ
"""been""","Goleta, CA, USA",GigiLJ
"""want""","St. Petersburg, Russia",GigiLJ
