tag,place,user
"""been""","Kapolei, HI, USA",GoTFangirl69
"""been""","Sedona, AZ, USA",GoTFangirl69
"""been""","Honolulu, HI, USA",GoTFangirl69
"""been""","Naples, FL, USA",GoTFangirl69
"""been""","New York City, NY, USA",GoTFangirl69
"""been""","Capdepera, Spain",GoTFangirl69
"""been""","Scottsdale, AZ, USA",GoTFangirl69
"""been""","Chicago, IL, USA",GoTFangirl69
"""been""","Canyamel, Spain",GoTFangirl69
"""been""","Milwaukee, WI, USA",GoTFangirl69
"""been""","Oranjestad, Aruba",GoTFangirl69
"""been""","Los Angeles, CA, USA",GoTFangirl69
"""been""","Nashville, TN, USA",GoTFangirl69
"""been""","Orlando, FL, USA",GoTFangirl69
"""been""","Rome, Italy",GoTFangirl69
"""been""","Barcelona, Spain",GoTFangirl69
"""been""","Venice, Italy",GoTFangirl69
"""been""","Palm - Eagle Beach, Aruba",GoTFangirl69
"""been""","Nassau, Bahamas",GoTFangirl69
"""been""","Noord, Aruba",GoTFangirl69
"""been""","Las Vegas, NV, USA",GoTFangirl69
"""been""","Wisconsin Dells, WI, USA",GoTFangirl69
"""been""","Positano, Italy",GoTFangirl69
