tag,place,user
"""been""","Clive, IA, USA",Golfer26
"""been""","Puerto Vallarta, Mexico",Golfer26
"""want""","Ho Chi Minh City, Vietnam",Golfer26
"""been""","Seattle, WA, USA",Golfer26
"""been""","Tokyo, Japan",Golfer26
"""been"",""want""","Lahaina, HI, USA",Golfer26
"""been""","San Antonio, TX, USA",Golfer26
"""been""","San Francisco, CA, USA",Golfer26
"""been""","Kailua-Kona, HI, USA",Golfer26
"""been""","Cape Town Central, South Africa",Golfer26
"""want""","Patong, Thailand",Golfer26
"""want""","Seville, Spain",Golfer26
"""want""","Houston, TX, USA",Golfer26
"""want""","Dallas, TX, USA",Golfer26
"""want""","Milan, Italy",Golfer26
"""want""","Havana, Cuba",Golfer26
"""been""","Las Vegas, NV, USA",Golfer26
"""want""","Boston, MA, USA",Golfer26
"""been""","Washington DC, DC, USA",Golfer26
"""been"",""want""","New Orleans, LA, USA",Golfer26
"""want""","Honolulu, HI, USA",Golfer26
"""want""","Lisbon, Portugal",Golfer26
"""want""","Seoul, South Korea",Golfer26
"""want""","Barcelona, Spain",Golfer26
"""been""","Brooklyn, NY, USA",Golfer26
"""been""","Coeur d'Alene, ID, USA",Golfer26
"""want""","Florence, Italy",Golfer26
"""want""","Frankfurt, Germany",Golfer26
"""want""","Des Moines, IA, USA",Golfer26
"""want""","Melbourne, Australia",Golfer26
"""been""","Anaheim, CA, USA",Golfer26
"""been""","Cabo San Lucas, Mexico",Golfer26
"""been""","Bath, UK",Golfer26
"""want""","Athens, Greece",Golfer26
"""been""","Osaka, Japan",Golfer26
"""been""","Kobe, Japan",Golfer26
"""been""","Miami Beach, FL, USA",Golfer26
"""been""","Kyoto, Japan",Golfer26
"""been""","Monterey, CA, USA",Golfer26
"""been""","Chicago, IL, USA",Golfer26
"""want""","Paris, France",Golfer26
"""want""","Naples, Italy",Golfer26
"""been""","West Des Moines, IA, USA",Golfer26
"""been""","Tampa, FL, USA",Golfer26
"""want""","Liverpool, UK",Golfer26
"""been""","El Dorado Hills, CA, USA",Golfer26
"""been""","Los Angeles, CA, USA",Golfer26
"""been""","Orlando, FL, USA",Golfer26
"""been""","Miami, FL, USA",Golfer26
"""been""","Austin, TX, USA",Golfer26
"""want""","London, UK",Golfer26
"""want""","Portland, OR, USA",Golfer26
"""been""","Seal Beach, CA, USA",Golfer26
"""been""","Denver, CO, USA",Golfer26
"""want""","Munich, Germany",Golfer26
"""want""","Bangkok, Thailand",Golfer26
"""been""","Kissimmee, FL, USA",Golfer26
"""want""","Taipei, Taiwan",Golfer26
"""been"",""want""","New York City, NY, USA",Golfer26
"""been""","Vancouver, British Columbia, Canada",Golfer26
"""been""","South Lake Tahoe, CA, USA",Golfer26
"""want""","Rio de Janeiro, Brazil",Golfer26
"""want""","Venice, Italy",Golfer26
"""want""","Rome, Italy",Golfer26
"""want""","New Delhi, India",Golfer26
"""been""","Beijing, China",Golfer26
"""been""","Long Beach, CA, USA",Golfer26
"""want""","Nice, France",Golfer26
"""been""","Palm Springs, CA, USA",Golfer26
"""want""","Mumbai, India",Golfer26
"""been""","Fort Lauderdale, FL, USA",Golfer26
"""been""","Shanghai, China",Golfer26
"""want""","Montreal, Quebec, Canada",Golfer26
"""been""","Sedona, AZ, USA",Golfer26
"""been""","Naples, FL, USA",Golfer26
"""been""","Phoenix, AZ, USA",Golfer26
"""want""","Hong Kong, China",Golfer26
