tag,place,user
"""been""","Evian-les-Bains, France",GregLi707
"""been""","Ljubljana, Slovenia",GregLi707
"""been""","Simferopol, Europe",GregLi707
"""been""","Pamukkale, Turkey",GregLi707
"""been""","Zurich, Switzerland",GregLi707
"""been""","Manly, Australia",GregLi707
"""been""","Neukirchen am Grossvenediger, Austria",GregLi707
"""been""","Blue Mountains National Park, Australia",GregLi707
"""been""","Paris, France",GregLi707
"""been""","Amsterdam, The Netherlands",GregLi707
"""been""","Tahoe City, CA, USA",GregLi707
"""been""","Vaughan, Ontario, Canada",GregLi707
"""been""","Tivat Municipality, Montenegro",GregLi707
"""been""","Munich, Germany",GregLi707
"""been""","Rovinj, Croatia",GregLi707
"""been""","London, UK",GregLi707
"""been""","Antwerp, Belgium",GregLi707
"""been""","Rijeka, Croatia",GregLi707
"""been""","Kaluga, Russia",GregLi707
"""been""","Postojna, Slovenia",GregLi707
"""been""","San Jose, CA, USA",GregLi707
"""been""","Uzhhorod, Ukraine",GregLi707
"""been""","Lutsk, Ukraine",GregLi707
"""been""","Abu Dhabi, United Arab Emirates",GregLi707
"""been""","Brussels, Belgium",GregLi707
"""been""","Chernihiv, Ukraine",GregLi707
"""been""","Suzdal, Russia",GregLi707
"""been""","Zhytomyr, Ukraine",GregLi707
"""been""","Sliema, Malta",GregLi707
"""been""","Valletta, Malta",GregLi707
"""been""","Uman, Ukraine",GregLi707
"""been""","Porec, Croatia",GregLi707
"""been""","Rome, Italy",GregLi707
"""been""","Plitvice Lakes National Park, Croatia",GregLi707
"""been""","Monterey, CA, USA",GregLi707
"""been""","Oyster Bay, NY, USA",GregLi707
"""been""","Orlando, FL, USA",GregLi707
"""been""","Montauk, NY, USA",GregLi707
"""been""","Malaga, Spain",GregLi707
"""been""","Palm Beach, Australia",GregLi707
"""been""","Glen Cove, NY, USA",GregLi707
"""been""","Montreal, Quebec, Canada",GregLi707
"""been""","Dunedin, FL, USA",GregLi707
"""been""","Geneva, Switzerland",GregLi707
"""been""","Kazanlak, Bulgaria",GregLi707
"""been""","Nendaz, Switzerland",GregLi707
"""been""","Famagusta, Cyprus",GregLi707
"""been""","Kyrenia, Cyprus",GregLi707
"""been""","Edmonton, Alberta, Canada",GregLi707
"""been""","Fort Lauderdale, FL, USA",GregLi707
"""been""","Yevpatoriya, Europe",GregLi707
"""been""","Key Largo, FL, USA",GregLi707
"""been""","Niagara Falls, Ontario, Canada",GregLi707
"""been""","Key West, FL, USA",GregLi707
"""been""","Bal Harbour, FL, USA",GregLi707
"""been""","London, Ontario, Canada",GregLi707
"""been""","Sunny Beach, Bulgaria",GregLi707
"""been""","San Francisco, CA, USA",GregLi707
"""been""","Agadir, Morocco",GregLi707
"""been""","Catania, Italy",GregLi707
"""been""","St. Petersburg, Russia",GregLi707
"""been""","Istanbul, Turkey",GregLi707
"""been""","Marrakech, Morocco",GregLi707
"""been""","Washington DC, DC, USA",GregLi707
"""been""","Philadelphia, PA, USA",GregLi707
"""been""","Warsaw, Poland",GregLi707
"""been""","Alushta, Europe",GregLi707
"""been""","Cupertino, CA, USA",GregLi707
"""been""","Barcelona, Spain",GregLi707
"""been""","Druskininkai, Lithuania",GregLi707
"""been""","Sousse, Tunisia",GregLi707
"""been""","Odessa, Ukraine",GregLi707
"""been""","Lausanne, Switzerland",GregLi707
"""been""","Esto-Sadok, Russia",GregLi707
"""been""","Kirov, Russia",GregLi707
"""been""","Milpitas, CA, USA",GregLi707
"""been""","Mona Vale, Australia",GregLi707
"""been""","Montreux, Switzerland",GregLi707
"""been""","Gruyeres, Switzerland",GregLi707
"""been""","La Marsa, Tunisia",GregLi707
"""been""","Hurghada, Egypt",GregLi707
"""been""","Tel Aviv, Israel",GregLi707
"""been""","Poznan, Poland",GregLi707
"""been""","Jerusalem, Israel",GregLi707
"""been""","Hammamet, Tunisia",GregLi707
"""been""","Lavey-les-Bains, Switzerland",GregLi707
"""been""","Monastir, Tunisia",GregLi707
"""been""","Paphos, Cyprus",GregLi707
"""been""","Riga, Latvia",GregLi707
"""been""","Limassol City, Cyprus",GregLi707
"""been""","Palanga, Lithuania",GregLi707
"""been""","Anaheim, CA, USA",GregLi707
"""been""","Athens, Greece",GregLi707
"""been""","Tula, Russia",GregLi707
"""been""","Tarpon Springs, FL, USA",GregLi707
"""been""","Pula, Croatia",GregLi707
"""been""","Vilnius, Lithuania",GregLi707
"""been""","Yalta, Europe",GregLi707
"""been""","Port El Kantaoui, Tunisia",GregLi707
"""been""","Bryansk, Russia",GregLi707
"""been""","Lviv, Ukraine",GregLi707
"""been""","Polyanytsya, Ukraine",GregLi707
"""been""","Cairo, Egypt",GregLi707
"""been""","Khimki, Russia",GregLi707
"""been""","Moscow, Russia",GregLi707
"""been""","Dubrovnik, Croatia",GregLi707
"""been""","Bruges, Belgium",GregLi707
"""been""","Les Menuires, France",GregLi707
"""been""","Lodz, Poland",GregLi707
"""been""","Sao Paulo, Brazil",GregLi707
"""been""","Freeport, NY, USA",GregLi707
"""been""","El-Jem, Tunisia",GregLi707
"""been""","Minsk, Belarus",GregLi707
"""been""","Krasnaya Polyana, Russia",GregLi707
"""been""","Luxor, Egypt",GregLi707
"""been""","Flagstaff, AZ, USA",GregLi707
"""been""","Tarrytown, NY, USA",GregLi707
"""been""","Tunis, Tunisia",GregLi707
"""been""","Zell am See, Austria",GregLi707
"""been""","Hannover, Germany",GregLi707
"""been""","Sochi, Russia",GregLi707
"""been""","Sudak, Europe",GregLi707
"""been""","Rostov-on-Don, Russia",GregLi707
"""been""","Antalya, Turkey",GregLi707
"""been""","Sevastopol, Europe",GregLi707
"""been""","Zagreb, Croatia",GregLi707
"""been""","Alanya, Turkey",GregLi707
"""been""","Beijing, China",GregLi707
"""been""","Tampa, FL, USA",GregLi707
"""been""","Los Angeles, CA, USA",GregLi707
"""been""","Fremont, CA, USA",GregLi707
"""been""","Vancouver, British Columbia, Canada",GregLi707
"""been""","Kotor, Montenegro",GregLi707
"""been""","Almaty, Kazakhstan",GregLi707
"""been""","Ayia Napa, Cyprus",GregLi707
"""been""","Oakland, CA, USA",GregLi707
"""been""","Miami, FL, USA",GregLi707
"""been""","Krk, Croatia",GregLi707
"""been""","Miami Beach, FL, USA",GregLi707
"""been""","Las Vegas, NV, USA",GregLi707
"""been""","Helsinki, Finland",GregLi707
"""been""","Side, Turkey",GregLi707
"""been""","Boston, MA, USA",GregLi707
"""been""","Prague, Czech Republic",GregLi707
"""been""","Klaipeda, Lithuania",GregLi707
"""been""","Kemer, Turkey",GregLi707
"""been""","Dubai, United Arab Emirates",GregLi707
"""been""","New Orleans, LA, USA",GregLi707
"""been""","Bucharest, Romania",GregLi707
"""been""","Shanghai, China",GregLi707
"""been""","Meribel, France",GregLi707
"""been""","Nida, Lithuania",GregLi707
"""been""","Budva, Montenegro",GregLi707
"""been""","Grand Canyon National Park, AZ, USA",GregLi707
"""been""","Clearwater, FL, USA",GregLi707
"""been""","Val Thorens, France",GregLi707
"""been""","Yekaterinburg, Russia",GregLi707
"""been""","Kielce, Poland",GregLi707
"""been""","Katoomba, Australia",GregLi707
"""been""","Krakow, Poland",GregLi707
"""been""","Nusa Dua, Indonesia",GregLi707
"""been""","Phoenix, AZ, USA",GregLi707
"""been""","Berlin, Germany",GregLi707
"""been""","Vallejo, CA, USA",GregLi707
"""been""","Zermatt, Switzerland",GregLi707
"""been""","Eureka, CA, USA",GregLi707
"""been""","Marco Island, FL, USA",GregLi707
"""been""","Niagara Falls, NY, USA",GregLi707
"""been""","Ottawa, Ontario, Canada",GregLi707
"""been""","Ivano-Frankivsk, Ukraine",GregLi707
"""been""","Seattle, WA, USA",GregLi707
"""been""","Trakai, Lithuania",GregLi707
"""been""","Ghent, Belgium",GregLi707
"""been""","Kyiv (Kiev), Ukraine",GregLi707
"""been""","Guangzhou, China",GregLi707
"""been""","Santa Cruz, CA, USA",GregLi707
"""been""","Santa Clarita, CA, USA",GregLi707
"""been""","Lille, France",GregLi707
"""been""","Santa Barbara, CA, USA",GregLi707
"""been""","Sfax, Tunisia",GregLi707
"""been""","Sydney, Australia",GregLi707
"""been""","Toronto, Ontario, Canada",GregLi707
"""been""","Vinnytsia, Ukraine",GregLi707
"""been""","Melbourne, Australia",GregLi707
"""been""","Bratislava, Slovakia",GregLi707
"""been""","Rivne, Ukraine",GregLi707
"""been""","Nur-Sultan, Kazakhstan",GregLi707
"""been""","New York City, NY, USA",GregLi707
"""been""","Budapest, Hungary",GregLi707
