tag,place,user
"""been""","North Myrtle Beach, SC, USA",Hanger24
"""been""","Boca Raton, FL, USA",Hanger24
"""been""","El Segundo, CA, USA",Hanger24
"""been""","Ixelles, Belgium",Hanger24
"""been""","La Mirada, CA, USA",Hanger24
"""been""","Half Moon Bay, CA, USA",Hanger24
"""been""","Milan, Italy",Hanger24
"""been""","Vienna, Austria",Hanger24
"""been""","SeaTac, WA, USA",Hanger24
"""been""","Nashville, TN, USA",Hanger24
"""been""","Laguna Beach, CA, USA",Hanger24
"""been""","Leon, Mexico",Hanger24
"""been""","Mexicali, Mexico",Hanger24
"""been""","Savannah, GA, USA",Hanger24
"""been""","Heidelberg, Germany",Hanger24
"""been""","Jimenez, Mexico",Hanger24
"""been""","Bonita Springs, FL, USA",Hanger24
"""been""","Barbados, Caribbean",Hanger24
"""been""","Buntingford, UK",Hanger24
"""been""","Baltimore, MD, USA",Hanger24
"""been""","Guatape, Colombia",Hanger24
"""been""","Bridgetown, Barbados",Hanger24
"""been""","Palm Beach, FL, USA",Hanger24
"""been""","Coventry, UK",Hanger24
"""been""","San Pedro, Belize",Hanger24
"""been""","Caye Caulker, Belize",Hanger24
"""been""","Playa Blanca, Spain",Hanger24
"""been""","Tikal National Park, Guatemala",Hanger24
"""been""","Niagara Falls, NY, USA",Hanger24
"""been""","Peten, Guatemala",Hanger24
"""been""","Manzanillo, Mexico",Hanger24
"""been""","Mazatlan, Mexico",Hanger24
"""been""","El Remate, Guatemala",Hanger24
"""been""","Belize City, Belize",Hanger24
"""been""","Calgary, Alberta, Canada",Hanger24
"""been""","Brisbane, Australia",Hanger24
"""been""","Guadalajara, Mexico",Hanger24
"""been""","Banff, Alberta, Canada",Hanger24
"""been""","Puerto Vallarta, Mexico",Hanger24
"""been""","Jacksonville, FL, USA",Hanger24
"""been""","Stuttgart, Germany",Hanger24
"""been""","Puerto de San Benito, Mexico",Hanger24
"""been""","Salt Lake City, UT, USA",Hanger24
"""been""","Havana, Cuba",Hanger24
"""want""","Cuba, Caribbean",Hanger24
"""been""","Toulouse, France",Hanger24
"""been""","Port Angeles, WA, USA",Hanger24
"""been""","Sitges, Spain",Hanger24
"""been""","Tucson, AZ, USA",Hanger24
"""been""","Glasgow, UK",Hanger24
"""been""","Montserrat, Spain",Hanger24
"""been""","Medellin, Colombia",Hanger24
"""been""","Chihuahua, Mexico",Hanger24
"""been""","Pflugerville, TX, USA",Hanger24
"""been""","Corona del Mar, CA, USA",Hanger24
"""been""","Corona, CA, USA",Hanger24
"""been""","Spokane, WA, USA",Hanger24
"""been""","Ciudad Juarez, Mexico",Hanger24
"""been""","Acapulco, Mexico",Hanger24
"""been""","Oranjestad, Aruba",Hanger24
"""been""","Palm - Eagle Beach, Aruba",Hanger24
"""been""","Friday Harbor, WA, USA",Hanger24
"""been""","Giverny, France",Hanger24
"""been""","Worthing, Barbados",Hanger24
"""been""","San Francisco, CA, USA",Hanger24
"""been""","Royston, UK",Hanger24
"""been""","San Antonio, TX, USA",Hanger24
"""been""","Caro, MI, USA",Hanger24
"""been""","Washington DC, DC, USA",Hanger24
