tag,place,user
"""been""","Batchelor, Australia",Hotelsareourlife
"""been""","Wellington, New Zealand",Hotelsareourlife
"""been""","Kakadu National Park, Australia",Hotelsareourlife
"""been""","Uluru-Kata Tjuta National Park, Australia",Hotelsareourlife
"""been""","Narita, Japan",Hotelsareourlife
"""been""","Gosford, Australia",Hotelsareourlife
"""been""","Armidale, Australia",Hotelsareourlife
"""been""","Newtown, Australia",Hotelsareourlife
"""been""","Surfers Paradise, Australia",Hotelsareourlife
"""been""","Warners Bay, Australia",Hotelsareourlife
"""been""","Bruce, Australia",Hotelsareourlife
"""been""","Speers Point, Australia",Hotelsareourlife
"""been""","Bangkok, Thailand",Hotelsareourlife
"""been""","Erina, Australia",Hotelsareourlife
"""been""","Broadbeach, Australia",Hotelsareourlife
"""been""","Busselton, Australia",Hotelsareourlife
"""been""","Cessnock, Australia",Hotelsareourlife
"""been""","Otaki Beach, New Zealand",Hotelsareourlife
"""been""","Currumbin, Australia",Hotelsareourlife
"""been""","Erina Heights, Australia",Hotelsareourlife
"""been""","Newcastle, Australia",Hotelsareourlife
"""been""","Berrima, Australia",Hotelsareourlife
"""been""","New York City, NY, USA",Hotelsareourlife
"""been""","Adelaide River, Australia",Hotelsareourlife
"""been""","Minato, Japan",Hotelsareourlife
"""been""","Ho Chi Minh City, Vietnam",Hotelsareourlife
"""been""","Port Macquarie, Australia",Hotelsareourlife
"""been""","Charlestown, Australia",Hotelsareourlife
"""been""","Setagaya, Japan",Hotelsareourlife
"""been""","Shinjuku, Japan",Hotelsareourlife
"""been""","North Sydney, Australia",Hotelsareourlife
"""been""","Neutral Bay, Australia",Hotelsareourlife
"""been""","Argenton, Australia",Hotelsareourlife
"""been""","Swansea, Australia",Hotelsareourlife
"""been""","Coffs Harbour, Australia",Hotelsareourlife
"""been""","Coolangatta, Australia",Hotelsareourlife
"""been""","Canberra, Australia",Hotelsareourlife
"""been""","Taree, Australia",Hotelsareourlife
"""been""","Terrigal, Australia",Hotelsareourlife
"""been""","Orange, CA, USA",Hotelsareourlife
"""been""","Humpty Doo, Australia",Hotelsareourlife
"""been""","Arnhem, Australia",Hotelsareourlife
"""been""","Saitama, Japan",Hotelsareourlife
"""been""","Baulkham Hills, Australia",Hotelsareourlife
"""been""","Kuta, Indonesia",Hotelsareourlife
"""been"",""fave""","Adelaide, Australia",Hotelsareourlife
"""been""","Jabiru, Australia",Hotelsareourlife
"""want""","Singapore, Singapore",Hotelsareourlife
"""been"",""fave""","Hobart, Australia",Hotelsareourlife
"""been""","Wamberal, Australia",Hotelsareourlife
"""been""","Toronto, Australia",Hotelsareourlife
"""been""","North Ryde, Australia",Hotelsareourlife
"""been""","Brisbane, Australia",Hotelsareourlife
"""been""","Auckland Central, New Zealand",Hotelsareourlife
"""been""","Alice Springs, Australia",Hotelsareourlife
"""been""","Parramatta, Australia",Hotelsareourlife
"""been""","Sydney, Australia",Hotelsareourlife
"""been""","Darwin, Australia",Hotelsareourlife
"""been""","Melbourne, Australia",Hotelsareourlife
"""been""","Yulara, Australia",Hotelsareourlife
"""been""","Las Vegas, NV, USA",Hotelsareourlife
"""been""","Napier, New Zealand",Hotelsareourlife
"""been""","Main Beach, Australia",Hotelsareourlife
"""been""","Los Angeles, CA, USA",Hotelsareourlife
"""been""","Anaheim, CA, USA",Hotelsareourlife
