tag,place,user
"""been""","Rome, Italy",IPAgenoa
"""been""","San Vito lo Capo, Italy",IPAgenoa
"""been""","Newport, RI, USA",IPAgenoa
"""been""","Papeete, French Polynesia",IPAgenoa
"""been""","San Francisco, CA, USA",IPAgenoa
"""been""","Yellowstone National Park, WY, USA",IPAgenoa
"""been""","Fort Lauderdale, FL, USA",IPAgenoa
"""been""","Baltimore, MD, USA",IPAgenoa
"""been""","Arlington, VA, USA",IPAgenoa
"""been""","Barcelona, Spain",IPAgenoa
"""been""","Syracuse, Italy",IPAgenoa
"""been""","Mexico City, Mexico",IPAgenoa
"""been""","Virginia Beach, VA, USA",IPAgenoa
"""been""","Williamsburg, VA, USA",IPAgenoa
"""been""","Alba, Italy",IPAgenoa
"""been""","Santa Monica, CA, USA",IPAgenoa
"""been""","Natick, MA, USA",IPAgenoa
"""been""","Bradshaw, MD, USA",IPAgenoa
"""been""","Ocean City, MD, USA",IPAgenoa
"""been""","Madrid, Spain",IPAgenoa
"""been""","Hunt Valley, MD, USA",IPAgenoa
"""been""","Lima, Peru",IPAgenoa
"""been""","Camogli, Italy",IPAgenoa
"""been""","Miami Beach, FL, USA",IPAgenoa
"""been""","Niagara Falls, NY, USA",IPAgenoa
"""been""","Los Angeles, CA, USA",IPAgenoa
"""been""","Orlando, FL, USA",IPAgenoa
"""been""","Washington DC, DC, USA",IPAgenoa
"""been""","Trapani, Italy",IPAgenoa
"""been""","Moab, UT, USA",IPAgenoa
"""been""","Boston, MA, USA",IPAgenoa
"""been""","Bonagia, Italy",IPAgenoa
"""been""","New Orleans, LA, USA",IPAgenoa
"""been""","Keystone, SD, USA",IPAgenoa
"""been""","Redwood National Park, CA, USA",IPAgenoa
"""been""","Parkton, MD, USA",IPAgenoa
"""been""","Brooklyn, NY, USA",IPAgenoa
"""been""","Dedham, MA, USA",IPAgenoa
"""been""","Bourne, MA, USA",IPAgenoa
"""been""","Fontane Bianche, Italy",IPAgenoa
"""been""","Buzzards Bay, MA, USA",IPAgenoa
