tag,place,user
"""been""","Alappuzha, India",IndiaWanderlust
"""been""","Kigali, Rwanda",IndiaWanderlust
"""been""","Munnar, India",IndiaWanderlust
"""been""","Varkala Town, India",IndiaWanderlust
"""been""","London, UK",IndiaWanderlust
"""been""","Goma, Democratic Republic of the Congo",IndiaWanderlust
"""been""","Thiruvananthapuram (Trivandrum), India",IndiaWanderlust
"""been""","Nairobi, Kenya",IndiaWanderlust
"""been""","Ooty (Udhagamandalam), India",IndiaWanderlust
"""been""","Cairo, Egypt",IndiaWanderlust
"""been""","Thekkady, India",IndiaWanderlust
"""been""","Kochi (Cochin), India",IndiaWanderlust
"""been""","Riyadh, Saudi Arabia",IndiaWanderlust
"""been""","Butembo, Democratic Republic of the Congo",IndiaWanderlust
"""been""","Addis Ababa, Ethiopia",IndiaWanderlust
"""been""","Paris, France",IndiaWanderlust
"""been""","Udaipur, India",IndiaWanderlust
"""been""","Zurich, Switzerland",IndiaWanderlust
"""been""","Entebbe, Uganda",IndiaWanderlust
"""been""","Interlaken, Switzerland",IndiaWanderlust
"""been""","Ferney-Voltaire, France",IndiaWanderlust
"""been""","Khartoum, Sudan",IndiaWanderlust
"""been""","Rumbek, South Sudan",IndiaWanderlust
"""been""","Jeddah, Saudi Arabia",IndiaWanderlust
"""been""","Uvira, Democratic Republic of the Congo",IndiaWanderlust
"""been""","Kampala, Uganda",IndiaWanderlust
"""been""","Dubai, United Arab Emirates",IndiaWanderlust
"""been""","Rome, Italy",IndiaWanderlust
"""been""","Imphal, India",IndiaWanderlust
"""been""","Kohima, India",IndiaWanderlust
"""been""","Bern, Switzerland",IndiaWanderlust
"""been""","Boston, MA, USA",IndiaWanderlust
"""been""","Jamaica, NY, USA",IndiaWanderlust
"""been""","Vienna, Austria",IndiaWanderlust
"""been""","Mumbai, India",IndiaWanderlust
"""been""","Mysuru (Mysore), India",IndiaWanderlust
"""been""","Juba, South Sudan",IndiaWanderlust
"""been""","Kolkata (Calcutta), India",IndiaWanderlust
"""been""","Chennai (Madras), India",IndiaWanderlust
"""been""","Washington DC, DC, USA",IndiaWanderlust
"""been""","Geneva, Switzerland",IndiaWanderlust
"""been""","Kinshasa, Democratic Republic of the Congo",IndiaWanderlust
"""been""","Pune, India",IndiaWanderlust
"""been""","Niagara Falls, NY, USA",IndiaWanderlust
"""been""","Kisangani, Democratic Republic of the Congo",IndiaWanderlust
"""been""","Kovalam, India",IndiaWanderlust
"""been""","Pondicherry, India",IndiaWanderlust
"""been""","Ranchi, India",IndiaWanderlust
"""been""","Bukavu, Democratic Republic of the Congo",IndiaWanderlust
"""been""","Gangtok, India",IndiaWanderlust
"""been""","Indore, India",IndiaWanderlust
"""been""","Edinburgh, UK",IndiaWanderlust
"""been""","Bengaluru, India",IndiaWanderlust
"""been""","Wau, South Sudan",IndiaWanderlust
"""been""","Gisenyi, Rwanda",IndiaWanderlust
"""been""","Jodhpur, India",IndiaWanderlust
"""been""","Panjim, India",IndiaWanderlust
"""been""","Srinagar, India",IndiaWanderlust
"""been""","Jammu City, India",IndiaWanderlust
"""been""","Hyderabad, India",IndiaWanderlust
"""been""","Republic, WA, USA",IndiaWanderlust
"""been""","Los Angeles, CA, USA",IndiaWanderlust
