tag,place,user
"""been""","Milwaukee, WI, USA",JDufay
"""been""","Las Vegas, NV, USA",JDufay
"""been""","Louisville, KY, USA",JDufay
"""been""","Denver, CO, USA",JDufay
"""been""","Coronado, CA, USA",JDufay
"""been""","Houston, TX, USA",JDufay
"""been""","Chicago, IL, USA",JDufay
"""been""","Jacksonville, FL, USA",JDufay
"""been""","Long Beach, CA, USA",JDufay
"""been""","Myrtle Beach, SC, USA",JDufay
"""been""","Charlotte, NC, USA",JDufay
"""been""","Albuquerque, NM, USA",JDufay
"""been""","Taos, NM, USA",JDufay
"""been""","New Orleans, LA, USA",JDufay
"""been""","Tucson, AZ, USA",JDufay
"""been""","San Diego, CA, USA",JDufay
"""been""","Anchorage, AK, USA",JDufay
