tag,place,user
"""been""","Jersey City, NJ, USA",JPVM13
"""been""","Wall Township, NJ, USA",JPVM13
"""been""","Santa Fe, NM, USA",JPVM13
"""been"",""fave""","Barcelona, Spain",JPVM13
"""been""","San Francisco, CA, USA",JPVM13
"""been""","Neptune, NJ, USA",JPVM13
"""been""","Reims, France",JPVM13
"""been""","Tours, France",JPVM13
"""been""","Syracuse, NY, USA",JPVM13
"""been""","Tucson, AZ, USA",JPVM13
"""been""","Marseille, France",JPVM13
"""been""","Marigot Bay, St. Lucia",JPVM13
"""been"",""fave""","Coronado, CA, USA",JPVM13
"""been""","Wysox, PA, USA",JPVM13
"""been""","Mesa, AZ, USA",JPVM13
"""been""","Miami, FL, USA",JPVM13
"""been""","Miami Beach, FL, USA",JPVM13
"""been""","Tampa, FL, USA",JPVM13
"""been""","Sonoma, CA, USA",JPVM13
"""been""","Scranton, PA, USA",JPVM13
"""been""","Mount Laurel, NJ, USA",JPVM13
"""been""","Stratford-upon-Avon, UK",JPVM13
"""been""","Gatlinburg, TN, USA",JPVM13
"""been""","Luray, VA, USA",JPVM13
"""been""","Harpers Ferry, WV, USA",JPVM13
"""been""","Chartres, France",JPVM13
"""want""","Copenhagen, Denmark",JPVM13
"""been""","Charleston, SC, USA",JPVM13
"""been""","Monte-Carlo, Monaco",JPVM13
"""been"",""fave""","Monaco-Ville, Monaco",JPVM13
"""been""","West Bay, Honduras",JPVM13
"""been""","Burlington, VT, USA",JPVM13
"""been""","Amboise, France",JPVM13
"""been""","Davenport, IA, USA",JPVM13
"""been""","Montpelier, VT, USA",JPVM13
"""been""","Homosassa, FL, USA",JPVM13
"""been""","Newark, NJ, USA",JPVM13
"""been""","Savannah, GA, USA",JPVM13
"""been""","Lavallette, NJ, USA",JPVM13
"""been"",""fave""","Nice, France",JPVM13
"""been""","Baltimore, MD, USA",JPVM13
"""been""","Vezelay, France",JPVM13
"""been""","Albuquerque, NM, USA",JPVM13
"""been""","Flemington, NJ, USA",JPVM13
"""been""","Dijon, France",JPVM13
"""been""","Beaune, France",JPVM13
"""been""","Anaheim, CA, USA",JPVM13
"""been""","Colorado Springs, CO, USA",JPVM13
"""been""","Pompano Beach, FL, USA",JPVM13
"""been""","Autun, France",JPVM13
"""been""","Auxerre, France",JPVM13
"""been""","Coba, Mexico",JPVM13
"""been""","Robbinsville, NJ, USA",JPVM13
"""been""","Englishtown, NJ, USA",JPVM13
"""been""","Bar Harbor, ME, USA",JPVM13
"""been""","Bath, UK",JPVM13
"""been""","Rockford, IL, USA",JPVM13
"""been""","Brooklyn, NY, USA",JPVM13
"""been""","Estes Park, CO, USA",JPVM13
"""been""","Fredericksburg, VA, USA",JPVM13
"""been""","Providence, RI, USA",JPVM13
"""want""","Athens, Greece",JPVM13
"""been""","Grasse, France",JPVM13
"""want""","Palma de Mallorca, Spain",JPVM13
"""been""","Cannes, France",JPVM13
"""been""","Tarpon Springs, FL, USA",JPVM13
"""want""","Frankfurt, Germany",JPVM13
"""want""","Antibes, France",JPVM13
"""been""","Hilton Head, SC, USA",JPVM13
"""been""","Killington, VT, USA",JPVM13
"""been""","Dixon, IL, USA",JPVM13
"""been""","Walnut Creek, CA, USA",JPVM13
"""been""","Ocean City, NJ, USA",JPVM13
"""been""","Seattle, WA, USA",JPVM13
"""been""","Ocean Grove, NJ, USA",JPVM13
"""been""","Guatemala City, Guatemala",JPVM13
"""been""","San Jose, CA, USA",JPVM13
"""been""","Fort Pierce, FL, USA",JPVM13
"""been""","Charlottesville, VA, USA",JPVM13
"""been""","Fort Myers, FL, USA",JPVM13
"""been""","Fort Myers Beach, FL, USA",JPVM13
"""been""","Chesapeake, VA, USA",JPVM13
"""been""","Carmel, CA, USA",JPVM13
"""want""","Vienna, Austria",JPVM13
"""been""","Denver, CO, USA",JPVM13
"""been""","Lady Lake, FL, USA",JPVM13
"""been""","Brigantine, NJ, USA",JPVM13
"""been""","Portsmouth, NH, USA",JPVM13
"""been""","North Wildwood, NJ, USA",JPVM13
"""been"",""fave""","New York City, NY, USA",JPVM13
"""been""","Richmond, VA, USA",JPVM13
"""been""","Chandler, AZ, USA",JPVM13
"""been""","Port Saint Lucie, FL, USA",JPVM13
"""been""","Cambridge, MA, USA",JPVM13
"""been""","Fort Lauderdale, FL, USA",JPVM13
"""want""","Mumbai, India",JPVM13
"""want""","Salzburg, Austria",JPVM13
"""been""","Capitola, CA, USA",JPVM13
"""been""","Key West, FL, USA",JPVM13
"""been""","Manasquan, NJ, USA",JPVM13
"""been""","Cherry Hill, NJ, USA",JPVM13
"""been""","Carcassonne Center, France",JPVM13
"""been""","Manahawkin, NJ, USA",JPVM13
"""been""","Newport, RI, USA",JPVM13
"""want""","Antalya, Turkey",JPVM13
"""been""","Los Alamos, NM, USA",JPVM13
"""been""","Ocala, FL, USA",JPVM13
"""want""","Honolulu, HI, USA",JPVM13
"""been"",""fave""","Luxor, Egypt",JPVM13
"""been""","Beverly Hills, CA, USA",JPVM13
"""been""","Aswan, Egypt",JPVM13
"""been"",""fave""","Cairo, Egypt",JPVM13
"""been""","Giza, Egypt",JPVM13
"""been""","Paris, ME, USA",JPVM13
"""want""","Amsterdam, The Netherlands",JPVM13
"""been""","Cape May, NJ, USA",JPVM13
"""been""","Portsmouth, UK",JPVM13
"""been""","Southampton, UK",JPVM13
"""want""","Zurich, Switzerland",JPVM13
"""been""","Boston, MA, USA",JPVM13
"""been"",""want"",""fave""","Paris, France",JPVM13
