tag,place,user
"""been""","Vancouver, British Columbia, Canada",JasmeetCHD
"""been""","San Francisco, CA, USA",JasmeetCHD
"""been""","Amritsar, India",JasmeetCHD
"""been""","Bangkok, Thailand",JasmeetCHD
"""been""","Beijing, China",JasmeetCHD
"""been""","Abu Dhabi, United Arab Emirates",JasmeetCHD
"""been""","Grand Baie, Africa",JasmeetCHD
"""been""","Dubai, United Arab Emirates",JasmeetCHD
"""been""","Kuala Lumpur, Malaysia",JasmeetCHD
"""been""","Mohali, India",JasmeetCHD
"""been""","Agra, India",JasmeetCHD
"""been""","Macau, China",JasmeetCHD
"""been""","Shanghai, China",JasmeetCHD
"""been""","Hong Kong, China",JasmeetCHD
"""been""","Candolim, India",JasmeetCHD
"""been""","New York City, NY, USA",JasmeetCHD
"""been""","Singapore, Singapore",JasmeetCHD
"""been""","Gurugram (Gurgaon), India",JasmeetCHD
"""been""","Vadodara, India",JasmeetCHD
"""been""","Shenzhen, China",JasmeetCHD
"""been""","Sharjah, United Arab Emirates",JasmeetCHD
"""been""","Kasauli, India",JasmeetCHD
"""been""","Toronto, Ontario, Canada",JasmeetCHD
"""been""","Cascavelle, Africa",JasmeetCHD
"""been""","Panchkula, India",JasmeetCHD
"""been""","Jaipur, India",JasmeetCHD
"""been""","Mauritius, Africa",JasmeetCHD
"""been""","Pamplemousses, Africa",JasmeetCHD
"""been""","Port Louis, Africa",JasmeetCHD
"""been""","Shimla, India",JasmeetCHD
"""been""","New Delhi, India",JasmeetCHD
"""been""","Hyderabad, India",JasmeetCHD
"""been""","Guangzhou, China",JasmeetCHD
"""been""","Ludhiana, India",JasmeetCHD
"""been""","Cologne, Germany",JasmeetCHD
"""been""","Hangzhou, China",JasmeetCHD
"""been""","Lucerne, Switzerland",JasmeetCHD
"""been"",""want""","Providenciales, Turks and Caicos",JasmeetCHD
"""been""","Frankfurt, Germany",JasmeetCHD
"""been""","Kovalam, India",JasmeetCHD
"""been""","Los Angeles, CA, USA",JasmeetCHD
"""been""","Bathinda, India",JasmeetCHD
"""been""","Orlando, FL, USA",JasmeetCHD
"""been""","Miami, FL, USA",JasmeetCHD
"""been""","Miami Beach, FL, USA",JasmeetCHD
"""been""","Chamarel, Africa",JasmeetCHD
"""been"",""want""","Las Vegas, NV, USA",JasmeetCHD
"""been""","Benaulim, India",JasmeetCHD
"""been""","Kochi (Cochin), India",JasmeetCHD
"""been""","Jalandhar, India",JasmeetCHD
"""been""","Thiruvananthapuram (Trivandrum), India",JasmeetCHD
"""been""","Shaoxing, China",JasmeetCHD
"""been""","Ernakulam, India",JasmeetCHD
"""been""","Chandigarh, India",JasmeetCHD
"""been""","Paris, France",JasmeetCHD
"""been""","Naples, Italy",JasmeetCHD
