tag,place,user
"""been""","San Francisco, CA, USA",JennyG475
"""been""","Adelaide, Australia",JennyG475
"""been""","Enmore, Australia",JennyG475
"""been""","Balmain, Australia",JennyG475
"""been""","Mullumbimby, Australia",JennyG475
"""been""","Warriewood, Australia",JennyG475
"""been""","Mountain Village, CO, USA",JennyG475
"""been""","Haberfield, Australia",JennyG475
"""been""","Berry Springs, Australia",JennyG475
"""been""","North Sydney, Australia",JennyG475
"""been""","Cheltenham, UK",JennyG475
"""been""","Hawkshead, UK",JennyG475
"""been""","Leichhardt, Australia",JennyG475
"""been""","North Vancouver, British Columbia, Canada",JennyG475
"""been""","Edinburgh, UK",JennyG475
"""been""","Melbourne, Australia",JennyG475
"""been""","West Vancouver, British Columbia, Canada",JennyG475
"""been""","Darwin, Australia",JennyG475
"""been""","Wagga Wagga, Australia",JennyG475
"""been""","Telluride, CO, USA",JennyG475
"""been""","Sydney, Australia",JennyG475
"""been""","Brockhampton, UK",JennyG475
"""been""","Drummoyne, Australia",JennyG475
"""been""","Newtown, Australia",JennyG475
"""been""","Los Angeles, CA, USA",JennyG475
"""been""","Chiyoda, Japan",JennyG475
"""been""","Tuross Head, Australia",JennyG475
"""been""","Whistler, British Columbia, Canada",JennyG475
"""been""","Chuo, Japan",JennyG475
"""been""","Bankstown, Australia",JennyG475
"""been""","Vancouver, British Columbia, Canada",JennyG475
"""been""","Leura, Australia",JennyG475
"""been""","Seaforth, Australia",JennyG475
"""been""","Kyoto, Japan",JennyG475
"""been""","Lochranza, UK",JennyG475
"""been""","Grantham, UK",JennyG475
"""been""","Isle of Arran, UK",JennyG475
"""been""","Canberra, Australia",JennyG475
"""been""","London, UK",JennyG475
"""been""","Coton, UK",JennyG475
"""been""","Eton, UK",JennyG475
"""been""","Sausalito, CA, USA",JennyG475
"""been""","Windsor, UK",JennyG475
"""been""","Brodick, UK",JennyG475
