tag,place,user
"""want""","Nashville, TN, USA",JerriandTrevor
"""been""","Sturgis, SD, USA",JerriandTrevor
"""want""","La Paz, Mexico",JerriandTrevor
"""been""","North Vancouver, British Columbia, Canada",JerriandTrevor
"""want""","Amsterdam, The Netherlands",JerriandTrevor
"""been""","Baguio, Philippines",JerriandTrevor
"""want""","San Juan, Philippines",JerriandTrevor
"""been""","Braulio Carrillo National Park, Costa Rica",JerriandTrevor
"""been""","El Roble, Costa Rica",JerriandTrevor
"""want""","Sihanoukville, Cambodia",JerriandTrevor
"""been"",""fave""","San Luis, Costa Rica",JerriandTrevor
"""been"",""fave""","Tagbilaran City, Philippines",JerriandTrevor
"""been"",""fave""","Malapascua Island, Philippines",JerriandTrevor
"""want""","Sepang, Malaysia",JerriandTrevor
"""want""","Half Moon Bay, CA, USA",JerriandTrevor
"""want""","Barcelona, Spain",JerriandTrevor
"""want""","Canggu, Indonesia",JerriandTrevor
"""want""","Bogota, Colombia",JerriandTrevor
"""want""","Isle de Guadalupe, Mexico",JerriandTrevor
"""been""","Billings, MT, USA",JerriandTrevor
"""been""","Playa Hermosa, Costa Rica",JerriandTrevor
"""been""","San Francisco, CA, USA",JerriandTrevor
"""been""","Paquera, Costa Rica",JerriandTrevor
"""been""","Waterloo, Ontario, Canada",JerriandTrevor
"""want""","Wilderness, South Africa",JerriandTrevor
"""been""","Naranjo, Costa Rica",JerriandTrevor
"""want""","San Miguel, El Salvador",JerriandTrevor
"""been""","Tawala, Philippines",JerriandTrevor
"""been"",""fave""","La Jolla, CA, USA",JerriandTrevor
"""want""","Paraiso, Mexico",JerriandTrevor
"""want""","Orlando, FL, USA",JerriandTrevor
"""been""","Great Falls, MT, USA",JerriandTrevor
"""been""","Quesada, Costa Rica",JerriandTrevor
"""been""","Las Galeras, Dominican Republic",JerriandTrevor
"""want""","Sipacate, Guatemala",JerriandTrevor
"""been""","Fernie, British Columbia, Canada",JerriandTrevor
"""want""","Denarau Island, Fiji",JerriandTrevor
"""been""","Ixtapa, Mexico",JerriandTrevor
"""been""","Maalaea, HI, USA",JerriandTrevor
"""been""","Butte, MT, USA",JerriandTrevor
"""want""","Dar es Salaam, Tanzania",JerriandTrevor
"""been""","Alajuela, Costa Rica",JerriandTrevor
"""been""","La Fortuna de San Carlos, Costa Rica",JerriandTrevor
"""want""","Da Nang, Vietnam",JerriandTrevor
"""been""","Tarcoles, Costa Rica",JerriandTrevor
"""want""","Taguig City, Philippines",JerriandTrevor
"""been""","Dominical, Costa Rica",JerriandTrevor
"""want""","Kitchener, Ontario, Canada",JerriandTrevor
"""been""","Canas, Costa Rica",JerriandTrevor
"""been""","Helena, MT, USA",JerriandTrevor
"""been""","Brasilito, Costa Rica",JerriandTrevor
"""want""","Buenos Aires, Argentina",JerriandTrevor
"""been"",""want""","Perth, Australia",JerriandTrevor
"""been""","Gillette, WY, USA",JerriandTrevor
"""been""","Radium Hot Springs, British Columbia, Canada",JerriandTrevor
"""want""","Whitehorse, Yukon, Canada",JerriandTrevor
"""been"",""fave""","Manzanillo, Costa Rica",JerriandTrevor
"""want""","Colombo, Sri Lanka",JerriandTrevor
"""been""","Bohol Island, Philippines",JerriandTrevor
"""been""","Revelstoke, British Columbia, Canada",JerriandTrevor
"""want""","Madrid, Spain",JerriandTrevor
"""been"",""fave""","Puerto Princesa, Philippines",JerriandTrevor
"""want""","Koror, Palau",JerriandTrevor
"""been""","Hastings, Barbados",JerriandTrevor
"""been""","Liberia, Costa Rica",JerriandTrevor
"""been""","Saskatoon, Saskatchewan, Canada",JerriandTrevor
"""been""","Regina, Saskatchewan, Canada",JerriandTrevor
"""want""","Subic, Philippines",JerriandTrevor
"""been""","Moose Jaw, Saskatchewan, Canada",JerriandTrevor
"""want""","Cape Town Central, South Africa",JerriandTrevor
"""want""","Bentota, Sri Lanka",JerriandTrevor
"""want""","Sainte-Anne, Guadeloupe",JerriandTrevor
"""want""","Cat Ba, Vietnam",JerriandTrevor
"""been"",""fave""","Freeport, Bahamas",JerriandTrevor
