tag,place,user
"""been""","West Hollywood, CA, USA",Jette108
"""been""","San Diego, CA, USA",Jette108
"""been""","Playa de Cura, Spain",Jette108
"""been""","Puerto Rico, Spain",Jette108
"""been""","Kastrup, Denmark",Jette108
"""been""","Sedona, AZ, USA",Jette108
"""been""","Tarm, Denmark",Jette108
"""been""","Bornholm, Denmark",Jette108
"""want""","Seattle, WA, USA",Jette108
"""been""","Roenne, Denmark",Jette108
"""want""","Zell am See, Austria",Jette108
"""been""","Cala Millor, Spain",Jette108
"""want""","Perth, Australia",Jette108
"""been""","Molle, Sweden",Jette108
"""been""","Milan, Italy",Jette108
"""been""","Kolkata (Calcutta), India",Jette108
"""been""","Darjeeling, India",Jette108
"""been""","Bergen, Norway",Jette108
"""been""","Berlin, Germany",Jette108
"""been""","Virum, Denmark",Jette108
"""been""","Granada, Spain",Jette108
"""been""","Marina del Rey, CA, USA",Jette108
"""been""","Torremolinos, Spain",Jette108
"""been""","Fort Lauderdale, FL, USA",Jette108
"""been""","Kissimmee, FL, USA",Jette108
"""want""","Bayeux, France",Jette108
"""been""","Freeport, Bahamas",Jette108
"""been""","Immenstadt im Allgau, Germany",Jette108
"""been""","Frederiksberg, Denmark",Jette108
"""been""","St. Petersburg, Russia",Jette108
"""been""","Mijas, Spain",Jette108
"""been""","Tallinn, Estonia",Jette108
"""been"",""fave""","Monterey, CA, USA",Jette108
"""been""","Frankfurt, Germany",Jette108
"""been""","Orlando, FL, USA",Jette108
"""want""","Reading, UK",Jette108
"""been"",""fave""","Hamburg, Germany",Jette108
"""been""","Oxford, UK",Jette108
"""want""","Calgary, Alberta, Canada",Jette108
"""want""","Lake Louise, Alberta, Canada",Jette108
"""been""","La Jolla, CA, USA",Jette108
"""been"",""want""","Cape Canaveral, FL, USA",Jette108
"""been""","Zion National Park, UT, USA",Jette108
"""been""","Aarhus, Denmark",Jette108
"""been""","Torekov, Sweden",Jette108
"""been"",""fave""","Gangtok, India",Jette108
"""been""","Billund, Denmark",Jette108
"""been""","Gothenburg, Sweden",Jette108
"""been""","Esbjerg, Denmark",Jette108
"""been""","Punakha, Bhutan",Jette108
"""been""","Helsinki, Finland",Jette108
"""been""","Heraklion, Greece",Jette108
"""been""","Fuengirola, Spain",Jette108
"""been""","Redwood National Park, CA, USA",Jette108
"""been"",""fave""","Nassau, Bahamas",Jette108
"""been""","Nerja, Spain",Jette108
"""been""","Budapest, Hungary",Jette108
"""been"",""want"",""fave""","Thimphu, Bhutan",Jette108
"""want""","Adelaide, Australia",Jette108
"""been""","Naestved, Denmark",Jette108
"""been""","Bridgetown, Barbados",Jette108
"""been""","Ciutadella, Spain",Jette108
"""been""","Arlington, VA, USA",Jette108
"""been""","Palma de Mallorca, Spain",Jette108
"""been""","Bath, UK",Jette108
"""been""","Lindos, Greece",Jette108
"""want""","St. Helena, CA, USA",Jette108
"""been""","Les Eyzies-de-Tayac-Sireuil, France",Jette108
"""been""","Hersonissos, Greece",Jette108
"""been""","Skagen, Denmark",Jette108
"""been""","Rhodes Town, Greece",Jette108
"""been""","St. John's, Antigua and Barbuda",Jette108
"""been""","Grand Cayman, Cayman Islands",Jette108
"""been""","Washington DC, DC, USA",Jette108
"""been""","Flam, Norway",Jette108
"""been""","Kongens Lyngby, Denmark",Jette108
"""been""","Klampenborg, Denmark",Jette108
