tag,place,user
"""been""","Grand Rapids, MI, USA",Jimgo
"""been""","Detroit, MI, USA",Jimgo
"""been""","Seville, Spain",Jimgo
"""been""","Singapore, Singapore",Jimgo
"""want""","Berlin, Germany",Jimgo
"""been""","South Lake Tahoe, CA, USA",Jimgo
"""been""","San Miguel de Allende, Mexico",Jimgo
"""been""","Granada, Spain",Jimgo
"""been""","Highwood, IL, USA",Jimgo
"""been""","Orlando, FL, USA",Jimgo
"""been""","Salt Lake City, UT, USA",Jimgo
"""been""","San Jose, Costa Rica",Jimgo
"""been""","Vernon Hills, IL, USA",Jimgo
"""been""","Cleveland, OH, USA",Jimgo
"""been""","Dearborn, MI, USA",Jimgo
"""been""","St. Petersburg, Russia",Jimgo
"""been""","Macau, China",Jimgo
"""been""","Scottsdale, AZ, USA",Jimgo
"""been""","Balestrand, Norway",Jimgo
"""been""","Boise, ID, USA",Jimgo
"""been""","Rome, Italy",Jimgo
"""been""","Tokyo, Japan",Jimgo
"""been""","Savannah, GA, USA",Jimgo
"""been""","Baltimore, MD, USA",Jimgo
"""been""","Sedona, AZ, USA",Jimgo
"""been""","Nashville, TN, USA",Jimgo
"""been""","Englewood, CO, USA",Jimgo
"""been""","Punta Arenas, Chile",Jimgo
"""been""","Norman, OK, USA",Jimgo
"""been""","Reno, NV, USA",Jimgo
"""been""","Quebec City, Quebec, Canada",Jimgo
"""been""","Montreal, Quebec, Canada",Jimgo
"""been""","Geiranger, Norway",Jimgo
"""been""","London, UK",Jimgo
"""been""","Hyannis, MA, USA",Jimgo
"""been""","Naples, Italy",Jimgo
"""been""","Minot, ND, USA",Jimgo
"""been""","Nashville, IN, USA",Jimgo
"""been""","Nelson, New Zealand",Jimgo
"""been""","Wenatchee, WA, USA",Jimgo
"""been""","Boulder, CO, USA",Jimgo
"""been""","Lake George, NY, USA",Jimgo
"""been""","King George Island, Antarctica",Jimgo
"""been""","Ocean City, MD, USA",Jimgo
"""been""","Jerusalem, Israel",Jimgo
"""been""","Tel Aviv, Israel",Jimgo
"""been""","Fort Wayne, IN, USA",Jimgo
"""been""","Virginia Beach, VA, USA",Jimgo
"""been""","Lincolnwood, IL, USA",Jimgo
"""been""","Niagara Falls, Ontario, Canada",Jimgo
"""been""","San Juan, Puerto Rico",Jimgo
"""been""","Florence, Italy",Jimgo
"""been""","Palermo, Italy",Jimgo
"""been""","Galena, IL, USA",Jimgo
"""been""","Taormina, Italy",Jimgo
"""been""","Laguna Beach, CA, USA",Jimgo
"""been""","Lancaster, PA, USA",Jimgo
"""been""","Evanston, IL, USA",Jimgo
"""been""","Ocho Rios, Jamaica",Jimgo
"""been""","Green Bay, WI, USA",Jimgo
"""been""","Hershey, PA, USA",Jimgo
"""been""","Wildwood, NJ, USA",Jimgo
"""been""","Las Vegas, NV, USA",Jimgo
"""been""","Toronto, Ontario, Canada",Jimgo
"""been""","Geneva, Switzerland",Jimgo
"""been""","Los Angeles, CA, USA",Jimgo
"""been""","Prescott, AZ, USA",Jimgo
