tag,place,user
"""been""","Las Vegas, NV, USA",Joethesailor2014
"""been""","Laughlin, NV, USA",Joethesailor2014
"""been""","Long Beach, CA, USA",Joethesailor2014
"""been""","Lakewood, CA, USA",Joethesailor2014
"""been""","Oak Glen, CA, USA",Joethesailor2014
"""been""","Lancaster, CA, USA",Joethesailor2014
"""been""","Boulder City, NV, USA",Joethesailor2014
"""been""","San Juan del Sur, Nicaragua",Joethesailor2014
"""been""","Los Alamitos, CA, USA",Joethesailor2014
"""been""","Yucaipa, CA, USA",Joethesailor2014
"""been""","Casper, WY, USA",Joethesailor2014
"""been""","Los Angeles, CA, USA",Joethesailor2014
"""been""","Torrance, CA, USA",Joethesailor2014
"""been""","Carlsbad, CA, USA",Joethesailor2014
"""been""","Hesperia, CA, USA",Joethesailor2014
"""been""","Beaumont, CA, USA",Joethesailor2014
"""been""","Grand Canyon National Park, AZ, USA",Joethesailor2014
"""been""","Esteli, Nicaragua",Joethesailor2014
"""been""","Idyllwild, CA, USA",Joethesailor2014
"""been""","Montelimar, Nicaragua",Joethesailor2014
"""been""","Hemet, CA, USA",Joethesailor2014
"""been""","Murrieta, CA, USA",Joethesailor2014
"""been""","Cedar City, UT, USA",Joethesailor2014
"""been""","Chino, CA, USA",Joethesailor2014
"""been""","San Jacinto, CA, USA",Joethesailor2014
"""been"",""want""","Managua, Nicaragua",Joethesailor2014
"""been""","Buellton, CA, USA",Joethesailor2014
"""been""","Maricopa, CA, USA",Joethesailor2014
"""been""","Pahrump, NV, USA",Joethesailor2014
"""been""","Gilroy, CA, USA",Joethesailor2014
"""been""","Downey, CA, USA",Joethesailor2014
"""been""","Charlotte, NC, USA",Joethesailor2014
"""been""","Lake Forest, CA, USA",Joethesailor2014
"""been""","Perris, CA, USA",Joethesailor2014
"""been""","Baker, CA, USA",Joethesailor2014
"""been""","Houston, TX, USA",Joethesailor2014
"""been""","Littlerock, CA, USA",Joethesailor2014
"""been""","Redlands, CA, USA",Joethesailor2014
"""been""","San Bernardino, CA, USA",Joethesailor2014
"""been""","Anaheim, CA, USA",Joethesailor2014
"""been""","Salinas, CA, USA",Joethesailor2014
"""been""","Santa Barbara, CA, USA",Joethesailor2014
"""been""","Riverside, CA, USA",Joethesailor2014
"""been""","Monterey, CA, USA",Joethesailor2014
"""been""","Pasadena, CA, USA",Joethesailor2014
"""been""","San Diego, CA, USA",Joethesailor2014
"""been""","Moreno Valley, CA, USA",Joethesailor2014
"""been""","Barstow, CA, USA",Joethesailor2014
"""been""","Calimesa, CA, USA",Joethesailor2014
