tag,place,user
"""been""","Minneapolis, MN, USA",Josh547
"""been""","Rosemont, IL, USA",Josh547
"""been""","New Marlborough, MA, USA",Josh547
"""been""","Pittsfield, MA, USA",Josh547
"""been""","Beverly Hills, CA, USA",Josh547
"""been""","San Francisco, CA, USA",Josh547
"""been""","Albuquerque, NM, USA",Josh547
"""been""","Washington DC, DC, USA",Josh547
"""been""","Snowmass Village, CO, USA",Josh547
"""been""","Naples, FL, USA",Josh547
"""been""","Buffalo, NY, USA",Josh547
"""been""","Craryville, NY, USA",Josh547
"""been""","Copake, NY, USA",Josh547
"""been""","London, UK",Josh547
"""been""","Pittsford, NY, USA",Josh547
"""been""","Irondequoit, NY, USA",Josh547
"""been""","Fairport, NY, USA",Josh547
"""been""","Spencerport, NY, USA",Josh547
"""been""","Geneva, NY, USA",Josh547
"""been""","Rochester, NY, USA",Josh547
"""been""","West Hollywood, CA, USA",Josh547
"""been""","Marfa, TX, USA",Josh547
"""been""","Santa Monica, CA, USA",Josh547
"""been""","Los Angeles, CA, USA",Josh547
"""been""","Basel, Switzerland",Josh547
"""been""","Houston, TX, USA",Josh547
"""been""","Miami Beach, FL, USA",Josh547
"""been""","Venice, Italy",Josh547
"""been""","New York City, NY, USA",Josh547
"""been""","Henrietta, NY, USA",Josh547
"""been""","Chicago, IL, USA",Josh547
"""been""","Quemado, NM, USA",Josh547
