tag,place,user
"""been""","Isle of Skye, UK",Josiezona
"""been""","Bergen, Norway",Josiezona
"""been""","Las Vegas, NV, USA",Josiezona
"""been""","Edinburgh, UK",Josiezona
"""been""","Lone Pine, CA, USA",Josiezona
"""been""","Lomita, CA, USA",Josiezona
"""been""","Corona, CA, USA",Josiezona
"""been""","Las Vegas, NM, USA",Josiezona
"""been""","Roswell, NM, USA",Josiezona
"""been""","Post, TX, USA",Josiezona
"""been""","Plano, TX, USA",Josiezona
"""been""","Alamogordo, NM, USA",Josiezona
"""been""","Houston, TX, USA",Josiezona
"""been""","San Diego, CA, USA",Josiezona
"""been""","Torrance, CA, USA",Josiezona
"""been""","Dundalk, Ireland",Josiezona
"""been""","Redondo Beach, CA, USA",Josiezona
"""been""","Dallas, TX, USA",Josiezona
"""been""","Fort Thomas, AZ, USA",Josiezona
"""been""","Parker, AZ, USA",Josiezona
"""been""","Belfast, UK",Josiezona
"""been""","Sydney, Australia",Josiezona
"""been""","Portrush, UK",Josiezona
"""been""","Wichita Falls, TX, USA",Josiezona
"""been""","Prague, Czech Republic",Josiezona
"""been""","Dublin, Ireland",Josiezona
"""been""","Bisbee, AZ, USA",Josiezona
"""been""","Sligachan, UK",Josiezona
