tag,place,user
"""been""","Acapulco, Mexico",Joyce109
"""been""","Seward, AK, USA",Joyce109
"""been""","Male, Asia",Joyce109
"""been""","Oklahoma City, OK, USA",Joyce109
"""been""","Phoenix, AZ, USA",Joyce109
"""been""","Fort Lauderdale, FL, USA",Joyce109
"""been""","New Orleans, LA, USA",Joyce109
"""been""","Scottsdale, AZ, USA",Joyce109
"""been""","Charlotte Amalie, U.S. Virgin Islands",Joyce109
"""been""","West Hollywood, CA, USA",Joyce109
"""been""","Mazatlan, Mexico",Joyce109
"""been""","Manzanillo, Mexico",Joyce109
"""been""","Santa Monica, CA, USA",Joyce109
"""been""","Boise, ID, USA",Joyce109
"""been""","St. Lucia, Caribbean",Joyce109
"""been""","Castries, St. Lucia",Joyce109
"""been""","Cabo San Lucas, Mexico",Joyce109
"""been""","Philipsburg, St Martin \u002F St Maarten",Joyce109
"""been""","South Lake Tahoe, CA, USA",Joyce109
"""been""","Las Vegas, NV, USA",Joyce109
"""been""","Honolulu, HI, USA",Joyce109
"""been""","Tulum, Mexico",Joyce109
"""been""","Playa del Carmen, Mexico",Joyce109
"""been""","Lakewood, CA, USA",Joyce109
"""been""","Palm Springs, CA, USA",Joyce109
"""been""","Hilo, HI, USA",Joyce109
"""been""","Long Beach, CA, USA",Joyce109
"""been""","Palm Desert, CA, USA",Joyce109
"""been""","Barbados, Caribbean",Joyce109
"""been""","Oakland, CA, USA",Joyce109
"""been""","Fresno, CA, USA",Joyce109
"""been""","Miami Beach, FL, USA",Joyce109
"""been""","Los Angeles, CA, USA",Joyce109
"""been""","Miami, FL, USA",Joyce109
"""been""","San Luis Obispo, CA, USA",Joyce109
"""been""","Solvang, CA, USA",Joyce109
"""been""","Baltimore, MD, USA",Joyce109
"""been""","Atlanta, GA, USA",Joyce109
"""been"",""fave""","Costa Mesa, CA, USA",Joyce109
"""been""","Carmel, CA, USA",Joyce109
"""been""","Montego Bay, Jamaica",Joyce109
"""been""","Ocho Rios, Jamaica",Joyce109
"""been""","Negril, Jamaica",Joyce109
"""been""","Cleveland, OH, USA",Joyce109
"""been"",""want"",""fave""","Cancun, Mexico",Joyce109
"""been"",""fave""","Chicago, IL, USA",Joyce109
"""been""","Pasadena, CA, USA",Joyce109
"""been""","Oceanside, CA, USA",Joyce109
"""been""","Puerto Morelos, Mexico",Joyce109
"""been""","Salt Lake City, UT, USA",Joyce109
"""been""","Garden Grove, CA, USA",Joyce109
"""been""","Nashville, TN, USA",Joyce109
"""been""","San Simeon, CA, USA",Joyce109
"""been""","Laguna Beach, CA, USA",Joyce109
"""been""","Ensenada, Mexico",Joyce109
"""been""","San Juan, Puerto Rico",Joyce109
"""been""","Grand Cayman, Cayman Islands",Joyce109
"""been""","Dominican Republic, Caribbean",Joyce109
"""been""","Beverly Hills, CA, USA",Joyce109
"""been""","New York City, NY, USA",Joyce109
"""been""","Downey, CA, USA",Joyce109
"""been""","Huntington Beach, CA, USA",Joyce109
"""been""","San Francisco, CA, USA",Joyce109
"""been""","Sacramento, CA, USA",Joyce109
"""been""","Seattle, WA, USA",Joyce109
"""been""","Washington DC, DC, USA",Joyce109
"""been""","Lahaina, HI, USA",Joyce109
"""been""","Phenix City, AL, USA",Joyce109
"""been""","Temecula, CA, USA",Joyce109
"""been"",""fave""","Bedford Park, IL, USA",Joyce109
"""been""","Santa Barbara, CA, USA",Joyce109
