tag,place,user
"""been""","Las Vegas, NV, USA",JuneL337
"""been""","Laughlin, NV, USA",JuneL337
"""want""","Seminyak, Indonesia",JuneL337
"""been""","Long Beach, CA, USA",JuneL337
"""been""","Phoenix, AZ, USA",JuneL337
"""been""","Avalon, CA, USA",JuneL337
"""been""","Napa, CA, USA",JuneL337
"""been""","Jaisalmer, India",JuneL337
"""been""","Alexandria, VA, USA",JuneL337
"""been""","Jodhpur, India",JuneL337
"""want""","Hurghada, Egypt",JuneL337
"""want""","Nuku'alofa, Tonga",JuneL337
"""want""","Singapore, Singapore",JuneL337
"""been""","Chicago, IL, USA",JuneL337
"""want""","Porto, Portugal",JuneL337
"""been""","Baton Rouge, LA, USA",JuneL337
"""been""","South Lake Tahoe, CA, USA",JuneL337
"""been""","Pismo Beach, CA, USA",JuneL337
"""been""","Prescott, AZ, USA",JuneL337
"""been""","Los Angeles, CA, USA",JuneL337
"""been""","Fresno, CA, USA",JuneL337
"""been""","Agra, India",JuneL337
"""been""","Minneapolis, MN, USA",JuneL337
"""been""","Biloxi, MS, USA",JuneL337
"""been""","Garden Grove, CA, USA",JuneL337
"""want""","Bodrum City, Turkey",JuneL337
"""been""","Deadwood, SD, USA",JuneL337
"""been""","Arlington, VA, USA",JuneL337
"""been""","Sintra, Portugal",JuneL337
"""want""","Split, Croatia",JuneL337
"""been""","Funchal, Portugal",JuneL337
"""been"",""want""","Dubrovnik, Croatia",JuneL337
"""been""","Udaipur, India",JuneL337
"""been""","San Juan, Puerto Rico",JuneL337
"""want""","Ravello, Italy",JuneL337
"""been""","West Palm Beach, FL, USA",JuneL337
"""been""","Malibu, CA, USA",JuneL337
"""been""","Manhattan Beach, CA, USA",JuneL337
"""want""","Yalta, Europe",JuneL337
"""want""","Andorra la Vella, Andorra",JuneL337
"""been""","Portland, OR, USA",JuneL337
"""been"",""fave""","Eureka Springs, AR, USA",JuneL337
"""been""","Lucerne, Switzerland",JuneL337
"""want""","Paphos, Cyprus",JuneL337
"""want""","Oaxaca, Mexico",JuneL337
"""been""","Limassol City, Cyprus",JuneL337
"""been""","Cancun, Mexico",JuneL337
"""been""","Fatima, Portugal",JuneL337
"""been"",""want""","Lisbon, Portugal",JuneL337
"""been""","Mexico City, Mexico",JuneL337
"""want""","Toronto, Ontario, Canada",JuneL337
"""been""","Batalha, Portugal",JuneL337
"""been""","Marina del Rey, CA, USA",JuneL337
"""been""","Mariposa, CA, USA",JuneL337
"""been""","Green Valley, AZ, USA",JuneL337
"""been""","Salt Lake City, UT, USA",JuneL337
"""been""","Astoria, OR, USA",JuneL337
"""been""","Scottsdale, AZ, USA",JuneL337
"""been""","Sedona, AZ, USA",JuneL337
"""been""","Coimbra, Portugal",JuneL337
"""want""","Biarritz, France",JuneL337
"""been""","Kusadasi, Turkey",JuneL337
"""been""","Larnaca, Cyprus",JuneL337
"""been""","Reno, NV, USA",JuneL337
"""been""","Yountville, CA, USA",JuneL337
"""been""","Baltimore, MD, USA",JuneL337
"""been""","La Jolla, CA, USA",JuneL337
"""been""","Puerto Morelos, Mexico",JuneL337
"""want""","Savannah, GA, USA",JuneL337
"""been""","Big Sur, CA, USA",JuneL337
"""been""","Albuquerque, NM, USA",JuneL337
"""been""","Watrous, NM, USA",JuneL337
"""been""","Grand Canyon National Park, AZ, USA",JuneL337
"""been""","Colmar, France",JuneL337
"""been""","Orvieto, Italy",JuneL337
"""been""","Basel, Switzerland",JuneL337
"""been""","Sequoia and Kings Canyon National Park, CA, USA",JuneL337
"""been""","Strasbourg, France",JuneL337
"""been""","Tempe, AZ, USA",JuneL337
"""been""","Laguna Beach, CA, USA",JuneL337
"""been""","Coalinga, CA, USA",JuneL337
"""want""","Montreal, Quebec, Canada",JuneL337
"""want""","Quebec City, Quebec, Canada",JuneL337
"""been""","Nashville, TN, USA",JuneL337
"""been""","Keystone, SD, USA",JuneL337
"""want""","Budapest, Hungary",JuneL337
"""been""","SeaTac, WA, USA",JuneL337
"""been""","Amarillo, TX, USA",JuneL337
"""been""","Nassau, Bahamas",JuneL337
"""been""","Caen, France",JuneL337
"""been""","Playa del Carmen, Mexico",JuneL337
"""been""","Christiansted, U.S. Virgin Islands",JuneL337
"""want""","Bayeux, France",JuneL337
"""been""","Tulum, Mexico",JuneL337
"""want""","Krakow, Poland",JuneL337
"""want""","Luxembourg City, Luxembourg",JuneL337
"""want""","Merida, Mexico",JuneL337
"""been""","Redwood National Park, CA, USA",JuneL337
"""been"",""fave""","Saint Julian's, Malta",JuneL337
"""been""","Seaside, OR, USA",JuneL337
"""been""","Palm Beach, FL, USA",JuneL337
"""been""","Charlotte Amalie, U.S. Virgin Islands",JuneL337
"""been""","Willemstad, Curacao",JuneL337
"""want""","Varadero, Cuba",JuneL337
