tag,place,user
"""been"",""fave""","Grand Turk, Turks and Caicos",KeeThaQueen
"""been""","Freeport, Bahamas",KeeThaQueen
"""been""","Miami Beach, FL, USA",KeeThaQueen
"""been""","Los Angeles, CA, USA",KeeThaQueen
"""been""","Miami, FL, USA",KeeThaQueen
"""been""","Tampa, FL, USA",KeeThaQueen
"""been""","Paradise Island, Bahamas",KeeThaQueen
"""been""","New York City, NY, USA",KeeThaQueen
"""been""","Nassau, Bahamas",KeeThaQueen
"""been""","North Miami, FL, USA",KeeThaQueen
"""been"",""fave""","Santa Monica, CA, USA",KeeThaQueen
