tag,place,user
"""been""","San Francisco, CA, USA",Kimmvel
"""been""","South San Francisco, CA, USA",Kimmvel
"""been""","Fredericksburg, TX, USA",Kimmvel
"""been""","Grapevine, TX, USA",Kimmvel
"""been""","Dallas, TX, USA",Kimmvel
"""been""","Webster, TX, USA",Kimmvel
"""been""","New Orleans, LA, USA",Kimmvel
"""been""","Los Angeles, CA, USA",Kimmvel
"""been""","Siesta Key, FL, USA",Kimmvel
"""been""","Orlando, FL, USA",Kimmvel
"""been""","Friendswood, TX, USA",Kimmvel
"""been""","Santa Monica, CA, USA",Kimmvel
"""been""","Sausalito, CA, USA",Kimmvel
"""been""","Magnolia, TX, USA",Kimmvel
"""been""","Ingram, TX, USA",Kimmvel
"""been""","Austin, TX, USA",Kimmvel
"""been""","Houston, TX, USA",Kimmvel
"""been""","Las Vegas, NV, USA",Kimmvel
"""been""","Vacherie, LA, USA",Kimmvel
"""been""","Stafford, TX, USA",Kimmvel
"""been""","Chicago, IL, USA",Kimmvel
"""been""","Lake Charles, LA, USA",Kimmvel
