tag,place,user
"""been""","Binghamton, NY, USA",LA-JH1
"""been""","Lincoln City, OR, USA",LA-JH1
"""been""","San Simeon, CA, USA",LA-JH1
"""been""","Celebration, FL, USA",LA-JH1
"""been""","The Royal Town of Sutton Coldfield, UK",LA-JH1
"""been""","Sandy, UT, USA",LA-JH1
"""been""","Dayton, OH, USA",LA-JH1
"""been""","Cayucos, CA, USA",LA-JH1
"""been""","Castroville, CA, USA",LA-JH1
"""been""","Narragansett, RI, USA",LA-JH1
"""been""","Biggs Junction, OR, USA",LA-JH1
"""been""","Nottingham, UK",LA-JH1
"""been""","Bushkill, PA, USA",LA-JH1
"""been""","Maalaea, HI, USA",LA-JH1
"""been""","Death Valley Junction, CA, USA",LA-JH1
"""been""","Bradenton, FL, USA",LA-JH1
"""been""","Tamworth, UK",LA-JH1
"""been""","Coos Bay, OR, USA",LA-JH1
"""been""","Niagara Falls, Ontario, Canada",LA-JH1
"""been""","Rugby, ND, USA",LA-JH1
"""been""","Camden, NJ, USA",LA-JH1
"""been""","Halfway, OR, USA",LA-JH1
"""been""","La Grande, OR, USA",LA-JH1
"""been""","Scarborough, UK",LA-JH1
"""been""","Santa Clarita, CA, USA",LA-JH1
"""been""","Naperville, IL, USA",LA-JH1
"""been""","Santa Cruz, CA, USA",LA-JH1
"""been""","Santa Barbara, CA, USA",LA-JH1
"""been""","Reading, UK",LA-JH1
"""been""","Big Pine, CA, USA",LA-JH1
"""been""","Philadelphia, PA, USA",LA-JH1
"""been""","Sheffield, UK",LA-JH1
"""been""","Ocala, FL, USA",LA-JH1
"""been""","Sand City, CA, USA",LA-JH1
"""been""","Devils Tower, WY, USA",LA-JH1
"""been""","Lakeland, FL, USA",LA-JH1
"""been""","Mammoth Lakes, CA, USA",LA-JH1
"""been""","Johnston, RI, USA",LA-JH1
"""been""","Oxford, UK",LA-JH1
"""been""","Lynchburg, TN, USA",LA-JH1
"""been""","Beverly Hills, CA, USA",LA-JH1
"""been""","Kirkby-in-Ashfield, UK",LA-JH1
"""been""","Ludlow, UK",LA-JH1
"""been""","Shrewsbury, UK",LA-JH1
"""been""","Louth, UK",LA-JH1
"""been""","Trowell, UK",LA-JH1
"""been""","Dunchurch, UK",LA-JH1
"""been""","Joseph, OR, USA",LA-JH1
"""been""","John Day, OR, USA",LA-JH1
"""been""","Cardiff-by-the-Sea, CA, USA",LA-JH1
"""been""","Fort Lauderdale, FL, USA",LA-JH1
"""been""","Costa Teguise, Spain",LA-JH1
"""been""","San Gregorio, CA, USA",LA-JH1
"""been""","San Fernando, CA, USA",LA-JH1
"""been""","Punaluu, HI, USA",LA-JH1
"""been""","Capitola, CA, USA",LA-JH1
"""been""","San Gabriel, CA, USA",LA-JH1
"""been""","Cedar Rapids, IA, USA",LA-JH1
"""been""","San Clemente, CA, USA",LA-JH1
"""been""","Del Mar, CA, USA",LA-JH1
"""been""","Key Largo, FL, USA",LA-JH1
"""been""","Sorrento, Italy",LA-JH1
"""been""","West Hollywood, CA, USA",LA-JH1
"""been""","Naples, Italy",LA-JH1
"""been""","Davenport, CA, USA",LA-JH1
"""been""","West Covina, CA, USA",LA-JH1
"""been""","Kalamaki, Greece",LA-JH1
"""been""","Lookout Mountain, TN, USA",LA-JH1
"""been""","Port Saint Lucie, FL, USA",LA-JH1
"""been""","Chloride, AZ, USA",LA-JH1
"""been""","London, UK",LA-JH1
"""been""","Munich, Germany",LA-JH1
"""been""","Leicester, UK",LA-JH1
"""been""","Mansfield, UK",LA-JH1
"""been""","San Marino, CA, USA",LA-JH1
"""been""","Denver, CO, USA",LA-JH1
"""been""","Sandusky, OH, USA",LA-JH1
"""been""","St. Augustine, FL, USA",LA-JH1
"""been""","San Luis Obispo, CA, USA",LA-JH1
"""been""","Columbia, SC, USA",LA-JH1
"""been""","Vatican City, Vatican City",LA-JH1
"""been""","Houston, TX, USA",LA-JH1
"""been""","Wilmette, IL, USA",LA-JH1
"""been""","Pigeon Forge, TN, USA",LA-JH1
"""been""","Kissimmee, FL, USA",LA-JH1
"""been""","Carmel, CA, USA",LA-JH1
"""been""","Fort Myers, FL, USA",LA-JH1
"""been""","San Jose, CA, USA",LA-JH1
"""been""","Reykjavik, Iceland",LA-JH1
"""been""","Cardiff, UK",LA-JH1
"""been""","Rome, Italy",LA-JH1
"""been""","Carlsbad, CA, USA",LA-JH1
"""been""","Northampton, UK",LA-JH1
"""been""","Hillsboro, OR, USA",LA-JH1
"""been""","Newark, NJ, USA",LA-JH1
"""been""","Camarillo, CA, USA",LA-JH1
"""been""","South Pasadena, CA, USA",LA-JH1
"""been""","Craven Arms, UK",LA-JH1
"""been""","Cambria, CA, USA",LA-JH1
"""been""","Honokaa, HI, USA",LA-JH1
"""been""","Hilo, HI, USA",LA-JH1
"""been""","Evanston, WY, USA",LA-JH1
"""been""","Captain Cook, HI, USA",LA-JH1
"""been""","Cooperstown, NY, USA",LA-JH1
"""been""","Butte, MT, USA",LA-JH1
"""been""","San Bernardino, CA, USA",LA-JH1
"""been""","Knoxville, TN, USA",LA-JH1
"""been""","Waterbury, VT, USA",LA-JH1
"""been""","Long Lawford, UK",LA-JH1
"""been""","Bakersfield, CA, USA",LA-JH1
"""been""","Dana Point, CA, USA",LA-JH1
"""been""","Baldwin Park, CA, USA",LA-JH1
"""been""","Jupiter, FL, USA",LA-JH1
"""been""","Daly City, CA, USA",LA-JH1
"""been""","Baker, CA, USA",LA-JH1
"""been""","Britt, IA, USA",LA-JH1
"""been""","Port Orange, FL, USA",LA-JH1
"""been""","Ocean View, HI, USA",LA-JH1
"""been""","Wawona, CA, USA",LA-JH1
"""been""","Colorado Springs, CO, USA",LA-JH1
"""been""","Naalehu, HI, USA",LA-JH1
"""been""","Wynne, AR, USA",LA-JH1
"""been""","Des Moines, IA, USA",LA-JH1
"""been""","Culver City, CA, USA",LA-JH1
"""been""","Ripon, WI, USA",LA-JH1
"""been""","Pisa, Italy",LA-JH1
"""been""","Jersey City, NJ, USA",LA-JH1
"""been""","Burbank, CA, USA",LA-JH1
"""been""","Danville, IL, USA",LA-JH1
"""been""","Ketchikan, AK, USA",LA-JH1
"""been""","Arlington, TX, USA",LA-JH1
"""been""","Commerce, CA, USA",LA-JH1
"""been""","Tillamook, OR, USA",LA-JH1
"""been""","Alhambra, CA, USA",LA-JH1
"""been""","Mablethorpe, UK",LA-JH1
"""been""","Tuba City, AZ, USA",LA-JH1
"""been""","Hilton Head, SC, USA",LA-JH1
