tag,place,user
"""been""","San Antonio, TX, USA",LNLew
"""been""","Corona del Mar, CA, USA",LNLew
"""been""","Aliso Viejo, CA, USA",LNLew
"""been""","Lone Pine, CA, USA",LNLew
"""been""","Phoenix, AZ, USA",LNLew
"""been""","Santa Fe, NM, USA",LNLew
"""been""","Pendleton, OR, USA",LNLew
"""been""","Ashland, OR, USA",LNLew
"""been""","Bruceton Mills, WV, USA",LNLew
"""been""","Blue Jay, CA, USA",LNLew
"""been""","Big Sur, CA, USA",LNLew
"""been""","The Dalles, OR, USA",LNLew
"""been""","Toronto, Ontario, Canada",LNLew
"""been""","Santa Maria, CA, USA",LNLew
"""been""","Bishop, CA, USA",LNLew
"""been""","Bodega Bay, CA, USA",LNLew
"""been""","Medford, OR, USA",LNLew
"""been"",""fave""","Managua, Nicaragua",LNLew
"""been""","Tucson, AZ, USA",LNLew
"""been""","Long Beach, CA, USA",LNLew
"""been""","Oak Glen, CA, USA",LNLew
"""been""","Yosemite National Park, CA, USA",LNLew
"""been""","Mammoth Lakes, CA, USA",LNLew
"""been""","Columbia, CA, USA",LNLew
"""been""","Pomona, CA, USA",LNLew
"""been""","Three Rivers, CA, USA",LNLew
"""been""","Twin Peaks, CA, USA",LNLew
"""been""","Rosarito, Mexico",LNLew
"""been""","Sharpsburg, MD, USA",LNLew
"""been""","Patagonia, AZ, USA",LNLew
"""been""","Running Springs, CA, USA",LNLew
"""been""","Harpers Ferry, WV, USA",LNLew
"""been""","Lake Arrowhead, CA, USA",LNLew
"""been""","Big Pine, CA, USA",LNLew
"""been""","Laguna Niguel, CA, USA",LNLew
"""been""","Big Bear City, CA, USA",LNLew
"""been""","Rocheport, MO, USA",LNLew
"""been""","Hancock, MD, USA",LNLew
"""been""","Morro Bay, CA, USA",LNLew
"""been""","Paso Robles, CA, USA",LNLew
"""been""","Laguna Beach, CA, USA",LNLew
"""been""","Guadalupe, CA, USA",LNLew
"""been""","Tacoma, WA, USA",LNLew
"""been""","Oakland, MD, USA",LNLew
"""been""","Cedar Glen, CA, USA",LNLew
"""been""","McKittrick, MO, USA",LNLew
"""been""","Point Reyes Station, CA, USA",LNLew
"""been""","Hood River, OR, USA",LNLew
"""been""","Cape Coral, FL, USA",LNLew
"""been""","San Juan Capistrano, CA, USA",LNLew
"""been""","Sonoita, AZ, USA",LNLew
"""been""","Fort Myers, FL, USA",LNLew
"""been""","Williamsport, MD, USA",LNLew
"""been""","Boonville, MO, USA",LNLew
"""been""","Richland, WA, USA",LNLew
"""been""","Hilo, HI, USA",LNLew
"""been""","Lee Vining, CA, USA",LNLew
"""been""","Pasadena, CA, USA",LNLew
"""been""","Seattle, WA, USA",LNLew
"""been""","Mission Viejo, CA, USA",LNLew
"""been""","Collinsville, IL, USA",LNLew
"""been""","Fort Lauderdale, FL, USA",LNLew
"""been""","San Clemente, CA, USA",LNLew
"""been""","Walla Walla, WA, USA",LNLew
"""been""","Kailua-Kona, HI, USA",LNLew
"""been""","Palm Springs, CA, USA",LNLew
"""been""","Mono Hot Springs, CA, USA",LNLew
"""been""","Brian Head, UT, USA",LNLew
"""been""","Manhattan Beach, CA, USA",LNLew
"""been""","Redlands, CA, USA",LNLew
"""been""","Salt Lake City, UT, USA",LNLew
"""been""","Washington DC, DC, USA",LNLew
"""been""","Redondo Beach, CA, USA",LNLew
"""been""","Sanibel Island, FL, USA",LNLew
"""been""","Troutdale, OR, USA",LNLew
"""been""","Bakersfield, CA, USA",LNLew
"""been""","Dana Point, CA, USA",LNLew
"""been""","Malibu, CA, USA",LNLew
"""been""","Hollywood, FL, USA",LNLew
"""been""","La Grande, OR, USA",LNLew
"""been""","Brunswick, MD, USA",LNLew
"""been""","Kansas City, MO, USA",LNLew
"""been""","Clinton, MO, USA",LNLew
"""been""","June Lake, CA, USA",LNLew
"""been""","Estero, FL, USA",LNLew
"""been""","South Pasadena, CA, USA",LNLew
"""been""","Heber City, UT, USA",LNLew
"""been""","West Mifflin, PA, USA",LNLew
"""been""","Rockwood, PA, USA",LNLew
"""been""","Newport Beach, CA, USA",LNLew
"""been""","Silverton, OR, USA",LNLew
"""been""","Hartford, IL, USA",LNLew
"""been""","Crestline, CA, USA",LNLew
"""been""","Pineland, FL, USA",LNLew
"""been""","Pittsburgh, PA, USA",LNLew
"""been""","Hermann, MO, USA",LNLew
"""been""","Saint Louis, MO, USA",LNLew
"""been""","Cumberland, MD, USA",LNLew
"""been""","Los Angeles, CA, USA",LNLew
"""been""","Miami, FL, USA",LNLew
"""been""","Jamestown, CA, USA",LNLew
"""been""","Fullerton, CA, USA",LNLew
"""been""","Greensboro, PA, USA",LNLew
"""been""","Irvine, CA, USA",LNLew
"""been""","Los Alamos, CA, USA",LNLew
"""been""","Parowan, UT, USA",LNLew
"""been""","Mesa, AZ, USA",LNLew
"""been""","Banff National Park, Alberta, Canada",LNLew
"""been""","Niagara Falls, Ontario, Canada",LNLew
"""been""","Banff, Alberta, Canada",LNLew
"""been""","Leesburg, VA, USA",LNLew
"""been""","Sausalito, CA, USA",LNLew
"""been""","Everett, WA, USA",LNLew
"""been""","Lake Louise, Alberta, Canada",LNLew
"""been""","Calgary, Alberta, Canada",LNLew
"""been""","Las Vegas, NV, USA",LNLew
"""been""","Anaheim, CA, USA",LNLew
"""been""","Saint Charles, MO, USA",LNLew
"""been""","Big Pool, MD, USA",LNLew
"""been""","Chicago, IL, USA",LNLew
"""been""","Oceanside, CA, USA",LNLew
