tag,place,user
"""been""","Boston, MA, USA",LadyGoodman615
"""been""","Malibu, CA, USA",LadyGoodman615
"""been""","Los Angeles, CA, USA",LadyGoodman615
"""been""","Miami, FL, USA",LadyGoodman615
"""been""","Austin, TX, USA",LadyGoodman615
"""been""","Louisville, KY, USA",LadyGoodman615
"""been""","Delray Beach, FL, USA",LadyGoodman615
"""been""","New York City, NY, USA",LadyGoodman615
"""been""","Carson, CA, USA",LadyGoodman615
"""been""","Palm Beach, FL, USA",LadyGoodman615
"""been""","West Palm Beach, FL, USA",LadyGoodman615
"""been""","Asheville, NC, USA",LadyGoodman615
"""been""","Juno Beach, FL, USA",LadyGoodman615
"""been""","Pinehurst, NC, USA",LadyGoodman615
"""been""","Painesville, OH, USA",LadyGoodman615
"""been""","Chicago, IL, USA",LadyGoodman615
"""been""","Paris, France",LadyGoodman615
"""been""","Cleveland, OH, USA",LadyGoodman615
"""been""","Concord, OH, USA",LadyGoodman615
"""been""","Columbus, OH, USA",LadyGoodman615
"""been""","Edgartown, MA, USA",LadyGoodman615
"""been""","Vineyard Haven, MA, USA",LadyGoodman615
"""been""","Memphis, TN, USA",LadyGoodman615
"""been""","Beachwood, OH, USA",LadyGoodman615
"""been""","Beverly Hills, CA, USA",LadyGoodman615
"""been""","Chagrin Falls, OH, USA",LadyGoodman615
"""been""","Woodmere, OH, USA",LadyGoodman615
"""been""","Seattle, WA, USA",LadyGoodman615
"""been""","Atlanta, GA, USA",LadyGoodman615
"""been""","San Francisco, CA, USA",LadyGoodman615
"""been""","Atlantic City, NJ, USA",LadyGoodman615
"""been""","Philadelphia, PA, USA",LadyGoodman615
"""been""","Cincinnati, OH, USA",LadyGoodman615
"""been""","Naples, FL, USA",LadyGoodman615
"""been""","Dickson, TN, USA",LadyGoodman615
"""been""","Nashville, TN, USA",LadyGoodman615
"""been""","Las Vegas, NV, USA",LadyGoodman615
"""been""","Kirtland, OH, USA",LadyGoodman615
"""been""","Euclid, OH, USA",LadyGoodman615
"""been""","Santa Monica, CA, USA",LadyGoodman615
"""been""","Orange, OH, USA",LadyGoodman615
"""been""","West Hollywood, CA, USA",LadyGoodman615
