tag,place,user
"""been""","Kyoto, Japan",Lauriefarr1
"""been""","Sorrento, Italy",Lauriefarr1
"""been""","Palm - Eagle Beach, Aruba",Lauriefarr1
"""been""","Tampa, FL, USA",Lauriefarr1
"""been""","Naples, Italy",Lauriefarr1
"""been""","Los Angeles, CA, USA",Lauriefarr1
"""been""","Miami, FL, USA",Lauriefarr1
"""been""","Osaka, Japan",Lauriefarr1
"""been""","Oakland, CA, USA",Lauriefarr1
"""been""","Miami Beach, FL, USA",Lauriefarr1
"""been""","Las Vegas, NV, USA",Lauriefarr1
"""been""","Chicago, IL, USA",Lauriefarr1
"""been""","Montreal, Quebec, Canada",Lauriefarr1
"""been""","Munich, Germany",Lauriefarr1
"""been""","Quebec City, Quebec, Canada",Lauriefarr1
"""been""","London, UK",Lauriefarr1
"""been""","Acapulco, Mexico",Lauriefarr1
"""been""","Paris, France",Lauriefarr1
"""been""","Phoenix, AZ, USA",Lauriefarr1
"""been""","Amsterdam, The Netherlands",Lauriefarr1
"""been""","Rome, Italy",Lauriefarr1
"""been""","Salzburg, Austria",Lauriefarr1
"""been""","Nassau, Bahamas",Lauriefarr1
"""been""","Annapolis, MD, USA",Lauriefarr1
"""been""","Anaheim, CA, USA",Lauriefarr1
"""been""","Stockholm, Sweden",Lauriefarr1
"""been""","Newport, RI, USA",Lauriefarr1
"""been""","Hamilton, Bermuda",Lauriefarr1
"""been""","Brussels, Belgium",Lauriefarr1
"""been""","Napa, CA, USA",Lauriefarr1
"""been""","Marbella, Spain",Lauriefarr1
"""been""","Martha's Vineyard, MA, USA",Lauriefarr1
"""been""","Nantucket, MA, USA",Lauriefarr1
"""been""","York, UK",Lauriefarr1
"""been""","Tijuana, Mexico",Lauriefarr1
"""been""","Sausalito, CA, USA",Lauriefarr1
"""been""","Portland, ME, USA",Lauriefarr1
"""been""","Santa Barbara, CA, USA",Lauriefarr1
"""been""","Honolulu, HI, USA",Lauriefarr1
"""been""","Torremolinos, Spain",Lauriefarr1
"""been""","New Orleans, LA, USA",Lauriefarr1
"""been""","Memphis, TN, USA",Lauriefarr1
"""been""","Asheville, NC, USA",Lauriefarr1
"""been""","Boston, MA, USA",Lauriefarr1
"""been""","Seville, Spain",Lauriefarr1
"""been""","Vienna, Austria",Lauriefarr1
"""been""","Poipu, HI, USA",Lauriefarr1
"""been""","Niagara Falls, NY, USA",Lauriefarr1
"""been""","Milan, Italy",Lauriefarr1
"""been""","Rio de Janeiro, Brazil",Lauriefarr1
"""been""","Nashville, TN, USA",Lauriefarr1
"""been""","Pittsburgh, PA, USA",Lauriefarr1
"""been""","Central Saanich, British Columbia, Canada",Lauriefarr1
"""been""","Berlin, Germany",Lauriefarr1
"""been""","Santa Monica, CA, USA",Lauriefarr1
"""been""","Toronto, Ontario, Canada",Lauriefarr1
"""been""","Berkeley, CA, USA",Lauriefarr1
"""been""","North Myrtle Beach, SC, USA",Lauriefarr1
"""been""","Algarve, Portugal",Lauriefarr1
"""been""","Kailua-Kona, HI, USA",Lauriefarr1
"""been""","Alameda, CA, USA",Lauriefarr1
"""been""","Cincinnati, OH, USA",Lauriefarr1
"""been""","Albufeira, Portugal",Lauriefarr1
"""been""","Seoul, South Korea",Lauriefarr1
"""been""","Lahaina, HI, USA",Lauriefarr1
"""been""","Buenos Aires, Argentina",Lauriefarr1
"""been""","Seattle, WA, USA",Lauriefarr1
"""been""","Sao Paulo, Brazil",Lauriefarr1
"""been""","Melbourne, Australia",Lauriefarr1
"""been""","San Diego, CA, USA",Lauriefarr1
"""been""","Ocean City, MD, USA",Lauriefarr1
"""been""","Atlantic City, NJ, USA",Lauriefarr1
"""been""","Sydney, Australia",Lauriefarr1
"""been""","Edinburgh, UK",Lauriefarr1
"""been""","Birmingham, UK",Lauriefarr1
"""been""","Frankfurt, Germany",Lauriefarr1
"""been""","Tortola, British Virgin Islands",Lauriefarr1
"""been""","Spello, Italy",Lauriefarr1
"""been""","Oxford, UK",Lauriefarr1
"""been""","New York City, NY, USA",Lauriefarr1
