tag,place,user
"""been""","Porto Alegre, Brazil",Leonardo_RJ_Brazil
"""been""","Los Angeles, CA, USA",Leonardo_RJ_Brazil
"""been""","Foz do Iguacu, Brazil",Leonardo_RJ_Brazil
"""been""","Sao Paulo, Brazil",Leonardo_RJ_Brazil
"""been""","Fortaleza, Brazil",Leonardo_RJ_Brazil
"""been""","Val d'Isere, France",Leonardo_RJ_Brazil
"""been""","Las Vegas, NV, USA",Leonardo_RJ_Brazil
"""been""","Paris, France",Leonardo_RJ_Brazil
"""been""","Flaine, France",Leonardo_RJ_Brazil
"""been""","Lisbon, Portugal",Leonardo_RJ_Brazil
"""been""","Orlando, FL, USA",Leonardo_RJ_Brazil
"""been""","Rio de Janeiro, Brazil",Leonardo_RJ_Brazil
"""been""","Chamonix, France",Leonardo_RJ_Brazil
