tag,place,user
"""been""","Columbus, OH, USA",LisaRepo
"""want""","Buenos Aires, Argentina",LisaRepo
"""been""","Galveston, TX, USA",LisaRepo
"""want""","Hurghada, Egypt",LisaRepo
"""want""","Jerusalem, Israel",LisaRepo
"""want""","Tel Aviv, Israel",LisaRepo
"""been""","Santa Monica, CA, USA",LisaRepo
"""been""","Dallas, TX, USA",LisaRepo
"""been""","Brooklyn, NY, USA",LisaRepo
"""been""","Houston, TX, USA",LisaRepo
"""been""","Lodi, CA, USA",LisaRepo
"""been""","Marina del Rey, CA, USA",LisaRepo
"""been""","Phoenix, AZ, USA",LisaRepo
"""been""","Tucson, AZ, USA",LisaRepo
"""been""","San Antonio, TX, USA",LisaRepo
"""been""","Fort Lauderdale, FL, USA",LisaRepo
"""been""","Napa, CA, USA",LisaRepo
"""want""","Niagara Falls, NY, USA",LisaRepo
"""been""","San Francisco, CA, USA",LisaRepo
"""been""","Seattle, WA, USA",LisaRepo
"""been""","Palm Springs, CA, USA",LisaRepo
"""been""","San Diego, CA, USA",LisaRepo
"""been""","Monrovia, CA, USA",LisaRepo
"""been""","Reno, NV, USA",LisaRepo
"""been""","Beverly Hills, CA, USA",LisaRepo
"""been""","Daytona Beach, FL, USA",LisaRepo
"""been""","Santa Fe, NM, USA",LisaRepo
"""been""","Cupertino, CA, USA",LisaRepo
"""been""","Santa Barbara, CA, USA",LisaRepo
"""been""","Colorado Springs, CO, USA",LisaRepo
"""been""","Daly City, CA, USA",LisaRepo
"""want""","New York City, NY, USA",LisaRepo
"""been""","Dublin, CA, USA",LisaRepo
"""been""","Parker, AZ, USA",LisaRepo
"""been""","Livermore, CA, USA",LisaRepo
"""been""","Salt Lake City, UT, USA",LisaRepo
"""been""","Charlotte, NC, USA",LisaRepo
"""been""","North Las Vegas, NV, USA",LisaRepo
"""been""","Corpus Christi, TX, USA",LisaRepo
"""want""","Dubai, United Arab Emirates",LisaRepo
"""been""","Portland, OR, USA",LisaRepo
"""been""","Austin, TX, USA",LisaRepo
"""been""","Atlanta, GA, USA",LisaRepo
"""been""","Las Vegas, NV, USA",LisaRepo
"""been""","Carlsbad, CA, USA",LisaRepo
"""want""","Cairo, Egypt",LisaRepo
"""been""","Coronado, CA, USA",LisaRepo
"""been""","Denver, CO, USA",LisaRepo
"""been""","New Orleans, LA, USA",LisaRepo
"""been""","Asheville, NC, USA",LisaRepo
"""been""","Los Angeles, CA, USA",LisaRepo
"""been""","Anaheim, CA, USA",LisaRepo
"""been""","Tampa, FL, USA",LisaRepo
"""been""","Miami Beach, FL, USA",LisaRepo
"""been""","Orlando, FL, USA",LisaRepo
"""been""","Miami, FL, USA",LisaRepo
"""been""","Stevenson Ranch, CA, USA",LisaRepo
