tag,place,user
"""been"",""fave""","Cancun, Mexico",Loouie
"""been""","Fort Myers Beach, FL, USA",Loouie
"""been""","Fort Myers, FL, USA",Loouie
"""been"",""fave""","Florence, Italy",Loouie
"""been""","Pisa, Italy",Loouie
"""been""","Edinburgh, UK",Loouie
"""been""","Dublin, Ireland",Loouie
"""been""","Las Vegas, NV, USA",Loouie
"""been""","New York City, NY, USA",Loouie
"""want""","Havana, Cuba",Loouie
"""been""","Clarksville, TN, USA",Loouie
"""been""","Palm Springs, CA, USA",Loouie
"""been""","Sydney, Australia",Loouie
"""been""","Napa, CA, USA",Loouie
"""been""","Murrieta, CA, USA",Loouie
"""been""","Playa del Carmen, Mexico",Loouie
"""been""","Indian Wells, CA, USA",Loouie
"""been""","Cabo San Lucas, Mexico",Loouie
"""been""","Westlake Village, CA, USA",Loouie
"""been""","Hemet, CA, USA",Loouie
"""been"",""fave""","San Diego, CA, USA",Loouie
"""been""","Sandy, UT, USA",Loouie
"""been""","Banning, CA, USA",Loouie
"""been""","Framingham, MA, USA",Loouie
"""been""","Catania, Italy",Loouie
"""want""","Messina, Italy",Loouie
"""been""","San Francisco, CA, USA",Loouie
"""been""","Mesquite, NV, USA",Loouie
"""been""","Idyllwild, CA, USA",Loouie
"""been""","Mountain Center, CA, USA",Loouie
"""been""","Victoria, British Columbia, Canada",Loouie
"""been""","Vancouver, British Columbia, Canada",Loouie
"""been""","Honolulu, HI, USA",Loouie
"""been""","Temecula, CA, USA",Loouie
"""been"",""fave""","Venice, Italy",Loouie
"""been""","Vatican City, Vatican City",Loouie
"""been""","Hollywood, FL, USA",Loouie
"""want"",""fave""","Rome, Italy",Loouie
"""been""","Park City, UT, USA",Loouie
"""been""","Washington DC, DC, USA",Loouie
"""been"",""want""","Boston, MA, USA",Loouie
"""been"",""fave""","Puerto Vallarta, Mexico",Loouie
"""been""","Ontario, CA, USA",Loouie
"""want""","Bangkok, Thailand",Loouie
"""been""","Spring Valley, CA, USA",Loouie
"""been""","Nashville, TN, USA",Loouie
"""been""","Snowbird, UT, USA",Loouie
"""been""","Anaheim, CA, USA",Loouie
"""been""","Arroyo Seco, NM, USA",Loouie
"""been""","London, UK",Loouie
"""want""","Baltimore, MD, USA",Loouie
"""been"",""fave""","Atlanta, GA, USA",Loouie
"""been""","Cherry Valley, CA, USA",Loouie
"""been""","Taos, NM, USA",Loouie
"""been""","Jersey City, NJ, USA",Loouie
"""been""","Chicago, IL, USA",Loouie
"""been""","Orlando, FL, USA",Loouie
"""been""","Cape Coral, FL, USA",Loouie
"""been""","Tampa, FL, USA",Loouie
"""been""","Solvang, CA, USA",Loouie
"""been""","Dallas, TX, USA",Loouie
"""been""","Denver, CO, USA",Loouie
