tag,place,user
"""been""","Albuquerque, NM, USA",LuvToTravel0899
"""been""","Sao Miguel, Portugal",LuvToTravel0899
"""been""","Reykjavik, Iceland",LuvToTravel0899
"""been""","Ponta Delgada, Portugal",LuvToTravel0899
"""been""","Atlanta, GA, USA",LuvToTravel0899
"""been""","Channel Islands National Park, CA, USA",LuvToTravel0899
"""been""","Kabetogama, MN, USA",LuvToTravel0899
"""been""","Galena, IL, USA",LuvToTravel0899
"""been""","Concrete, WA, USA",LuvToTravel0899
"""been""","Whitehorse, Yukon, Canada",LuvToTravel0899
"""been""","Rapid City, SD, USA",LuvToTravel0899
"""been""","Fredericksburg, TX, USA",LuvToTravel0899
"""been""","Ayutthaya, Thailand",LuvToTravel0899
"""been""","Ribeira Grande, Portugal",LuvToTravel0899
"""been""","Kanchanaburi, Thailand",LuvToTravel0899
"""been""","Sequoia and Kings Canyon National Park, CA, USA",LuvToTravel0899
"""been""","Prairie du Chien, WI, USA",LuvToTravel0899
"""been""","Helsinki, Finland",LuvToTravel0899
"""been""","Lake City, MN, USA",LuvToTravel0899
"""been""","Stockholm, Sweden",LuvToTravel0899
"""been""","Voyageurs National Park, MN, USA",LuvToTravel0899
"""been""","Madrid, Spain",LuvToTravel0899
"""been""","Beijing, China",LuvToTravel0899
"""been""","Port Angeles, WA, USA",LuvToTravel0899
"""been""","Playa del Carmen, Mexico",LuvToTravel0899
"""been""","Upper Lake, CA, USA",LuvToTravel0899
"""been""","Redondo Beach, CA, USA",LuvToTravel0899
"""been""","Owatonna, MN, USA",LuvToTravel0899
"""been""","Juneau, AK, USA",LuvToTravel0899
"""been""","Stavanger, Norway",LuvToTravel0899
"""been""","Oslo, Norway",LuvToTravel0899
"""been""","Chester, CA, USA",LuvToTravel0899
"""been""","Lincoln, NE, USA",LuvToTravel0899
"""been""","Minneapolis, MN, USA",LuvToTravel0899
"""been""","Bangkok, Thailand",LuvToTravel0899
"""been""","Oxnard, CA, USA",LuvToTravel0899
"""been""","Lakefield, MN, USA",LuvToTravel0899
"""been""","Flam, Norway",LuvToTravel0899
"""been""","Ely, MN, USA",LuvToTravel0899
"""been""","Cozumel, Mexico",LuvToTravel0899
"""been""","Horta, Portugal",LuvToTravel0899
"""been""","Skagway, AK, USA",LuvToTravel0899
"""been""","Grand Marais, MN, USA",LuvToTravel0899
"""been""","Green Bay, WI, USA",LuvToTravel0899
"""been""","Nordeste, Portugal",LuvToTravel0899
"""been""","Bergen, Norway",LuvToTravel0899
"""been""","Ketchikan, AK, USA",LuvToTravel0899
"""been""","Key West, FL, USA",LuvToTravel0899
"""been""","Charlottetown, Prince Edward Island, Canada",LuvToTravel0899
"""been""","Eureka, CA, USA",LuvToTravel0899
"""been""","Exeter, CA, USA",LuvToTravel0899
"""been""","Soudan, MN, USA",LuvToTravel0899
"""been""","Sydney, Australia",LuvToTravel0899
"""been""","Halifax, Nova Scotia, Canada",LuvToTravel0899
"""been""","Xi'an, China",LuvToTravel0899
"""been""","Vantaa, Finland",LuvToTravel0899
"""been""","Guilin, China",LuvToTravel0899
"""want""","Providenciales, Turks and Caicos",LuvToTravel0899
"""been""","Furnas, Portugal",LuvToTravel0899
"""been""","Orlando, FL, USA",LuvToTravel0899
"""been""","Miami, FL, USA",LuvToTravel0899
"""been""","Tybee Island, GA, USA",LuvToTravel0899
"""been""","Alpine, TX, USA",LuvToTravel0899
"""been""","Kristiansand, Norway",LuvToTravel0899
"""been""","Port Hawkesbury, Nova Scotia, Canada",LuvToTravel0899
"""been""","Cedar Falls, IA, USA",LuvToTravel0899
"""been""","Tallinn, Estonia",LuvToTravel0899
"""been""","Austin, TX, USA",LuvToTravel0899
"""been""","Rochester, MN, USA",LuvToTravel0899
"""been""","Santiago, Chile",LuvToTravel0899
"""been""","Enfield, Nova Scotia, Canada",LuvToTravel0899
"""been""","Dickinson, ND, USA",LuvToTravel0899
"""been""","Fergus Falls, MN, USA",LuvToTravel0899
"""been""","Nuuk, Greenland",LuvToTravel0899
"""been""","Wawa, Ontario, Canada",LuvToTravel0899
"""been""","Bayahibe, Dominican Republic",LuvToTravel0899
