tag,place,user
"""been""","New York City, NY, USA",LwindVta
"""been""","Little Rock, AR, USA",LwindVta
"""been""","Carpinteria, CA, USA",LwindVta
"""been""","Soufriere, St. Lucia",LwindVta
"""been"",""fave""","Ventura, CA, USA",LwindVta
"""been""","Kissimmee, FL, USA",LwindVta
"""been""","San Jose, CA, USA",LwindVta
"""been""","Summerland, CA, USA",LwindVta
"""been""","Castries, St. Lucia",LwindVta
"""been""","Carmel, CA, USA",LwindVta
"""been"",""fave""","St. Lucia, Caribbean",LwindVta
"""been""","Fort Lauderdale, FL, USA",LwindVta
"""want""","Naples, FL, USA",LwindVta
"""been""","Palm Springs, CA, USA",LwindVta
"""been""","Cozumel, Mexico",LwindVta
"""been""","Atlanta, GA, USA",LwindVta
"""been""","Baltimore, MD, USA",LwindVta
"""been""","El Portal, CA, USA",LwindVta
"""been""","Albuquerque, NM, USA",LwindVta
"""been""","Williamsburg, VA, USA",LwindVta
"""been""","La Mirada, CA, USA",LwindVta
"""been""","Cancun, Mexico",LwindVta
"""been"",""want""","Savannah, GA, USA",LwindVta
"""been"",""want""","Venice, Italy",LwindVta
"""been""","St. George's, Grenada",LwindVta
"""been""","Montgomery, AL, USA",LwindVta
"""been""","Tijuana, Mexico",LwindVta
"""been""","San Luis Obispo, CA, USA",LwindVta
"""want""","St. Augustine, FL, USA",LwindVta
"""been"",""want""","Placencia, Belize",LwindVta
"""been""","Orlando, FL, USA",LwindVta
"""been""","Siena, Italy",LwindVta
"""been""","Glendale, CA, USA",LwindVta
"""been""","Palm - Eagle Beach, Aruba",LwindVta
"""been""","Frederiksted, U.S. Virgin Islands",LwindVta
"""been""","Oranjestad, Aruba",LwindVta
"""been""","Christiansted, U.S. Virgin Islands",LwindVta
"""been""","Caves Branch, Belize",LwindVta
"""been""","Panama City, Panama",LwindVta
"""been""","Aruba, Caribbean",LwindVta
"""been"",""want""","St. Croix, U.S. Virgin Islands",LwindVta
"""been""","St. John's, Antigua and Barbuda",LwindVta
"""been""","Vancouver, British Columbia, Canada",LwindVta
"""been""","Washington DC, DC, USA",LwindVta
"""been""","Carle Place, NY, USA",LwindVta
"""been""","Port Saint Lucie, FL, USA",LwindVta
"""been""","Yosemite National Park, CA, USA",LwindVta
"""been""","Philadelphia, PA, USA",LwindVta
"""been""","Tucson, AZ, USA",LwindVta
"""been""","Gettysburg, PA, USA",LwindVta
"""been""","Seligman, AZ, USA",LwindVta
"""been""","San Francisco, CA, USA",LwindVta
"""been""","Charleston, SC, USA",LwindVta
"""been""","Santa Fe, NM, USA",LwindVta
"""want""","Sarasota, FL, USA",LwindVta
"""been""","Portland, OR, USA",LwindVta
