tag,place,user
"""been""","Gettysburg, PA, USA",Lynnsie60
"""been""","Portland, ME, USA",Lynnsie60
"""been""","Phoenix, AZ, USA",Lynnsie60
"""been""","Ocho Rios, Jamaica",Lynnsie60
"""been""","Oklahoma City, OK, USA",Lynnsie60
"""been"",""want""","Philadelphia, PA, USA",Lynnsie60
"""been""","Long Beach, CA, USA",Lynnsie60
"""been""","Napa, CA, USA",Lynnsie60
"""been""","Fiumicino, Italy",Lynnsie60
"""been""","St. Paul's Bay, Malta",Lynnsie60
"""been""","Las Vegas, NV, USA",Lynnsie60
"""been""","Wildwood, NJ, USA",Lynnsie60
"""been""","Vienna, Austria",Lynnsie60
"""been""","Bar Harbor, ME, USA",Lynnsie60
"""been""","Milan, Italy",Lynnsie60
"""been""","Brooklyn, NY, USA",Lynnsie60
"""been""","Providence, RI, USA",Lynnsie60
"""been""","St. Petersburg, Russia",Lynnsie60
"""been"",""want""","Austin, TX, USA",Lynnsie60
"""been""","Frascati, Italy",Lynnsie60
"""been""","Pismo Beach, CA, USA",Lynnsie60
"""been""","Ixtapa, Mexico",Lynnsie60
"""been""","Memphis, TN, USA",Lynnsie60
"""been""","Porto, Portugal",Lynnsie60
"""been""","Coye-la-Foret, France",Lynnsie60
"""been""","Chicago, IL, USA",Lynnsie60
"""been""","Stowe, VT, USA",Lynnsie60
"""been""","Francestown, NH, USA",Lynnsie60
"""been""","Newbury Park, CA, USA",Lynnsie60
"""been""","Los Angeles, CA, USA",Lynnsie60
"""been""","Columbus, OH, USA",Lynnsie60
"""been"",""want""","Tampa, FL, USA",Lynnsie60
"""been""","Galveston, TX, USA",Lynnsie60
"""been""","Louisville, KY, USA",Lynnsie60
"""been""","Miami Beach, FL, USA",Lynnsie60
"""been""","Niagara Falls, NY, USA",Lynnsie60
"""been""","Sonoma, CA, USA",Lynnsie60
"""been""","Cabo San Lucas, Mexico",Lynnsie60
"""been""","Bergamo, Italy",Lynnsie60
"""been""","Stockholm, Sweden",Lynnsie60
"""been""","Sliema, Malta",Lynnsie60
"""been""","Southport, UK",Lynnsie60
"""been""","Park City, UT, USA",Lynnsie60
"""been""","Baltimore, MD, USA",Lynnsie60
"""been""","Buffalo, NY, USA",Lynnsie60
"""been""","Roissy-en-France, France",Lynnsie60
"""been""","South Lake Tahoe, CA, USA",Lynnsie60
"""want""","Flagstaff, AZ, USA",Lynnsie60
"""been""","Port Aransas, TX, USA",Lynnsie60
"""been""","Cambria, CA, USA",Lynnsie60
"""been""","Anaheim, CA, USA",Lynnsie60
"""been"",""want""","Rome, Italy",Lynnsie60
"""been"",""want""","Paris, France",Lynnsie60
"""been""","Naples, Italy",Lynnsie60
"""been""","Cairo, Egypt",Lynnsie60
"""been""","Zurich, Switzerland",Lynnsie60
"""been""","Tallinn, Estonia",Lynnsie60
"""been""","London, UK",Lynnsie60
"""been""","Antwerp, Belgium",Lynnsie60
"""been""","Rhodes, Greece",Lynnsie60
"""been""","Munich, Germany",Lynnsie60
"""been""","Kansas City, MO, USA",Lynnsie60
"""been""","Moab, UT, USA",Lynnsie60
"""been""","Banff, Alberta, Canada",Lynnsie60
"""been""","Aspen, CO, USA",Lynnsie60
"""been""","Niagara Falls, Ontario, Canada",Lynnsie60
"""been""","West Palm Beach, FL, USA",Lynnsie60
"""been""","Hollywood, FL, USA",Lynnsie60
"""been""","Pompano Beach, FL, USA",Lynnsie60
"""been""","Puerto Vallarta, Mexico",Lynnsie60
"""been""","Colorado Springs, CO, USA",Lynnsie60
"""been""","Portland, OR, USA",Lynnsie60
"""been""","Mazatlan, Mexico",Lynnsie60
"""been""","Eureka Springs, AR, USA",Lynnsie60
"""been""","Washington DC, DC, USA",Lynnsie60
"""been""","Knoxville, TN, USA",Lynnsie60
"""been""","Amsterdam, The Netherlands",Lynnsie60
"""been""","Florence, Italy",Lynnsie60
"""been""","Barcelona, Spain",Lynnsie60
"""been""","Lisbon, Portugal",Lynnsie60
"""been""","Hershey, PA, USA",Lynnsie60
"""been""","Runaway Bay, Jamaica",Lynnsie60
"""been""","San Antonio, TX, USA",Lynnsie60
"""been""","Kanab, UT, USA",Lynnsie60
"""want""","San Francisco, CA, USA",Lynnsie60
