tag,place,user
"""been""","Whitefish, MT, USA",M16303
"""been""","Kissimmee, FL, USA",M16303
"""been""","Carmel, CA, USA",M16303
"""been""","Carlsbad, CA, USA",M16303
"""been""","San Jose, CA, USA",M16303
"""been""","Orlando, FL, USA",M16303
"""been""","Niagara Falls, Ontario, Canada",M16303
"""been""","Denver, CO, USA",M16303
"""been""","San Luis Obispo, CA, USA",M16303
"""been""","La Mesa, CA, USA",M16303
"""been""","La Jolla, CA, USA",M16303
"""been""","Pasadena, CA, USA",M16303
"""been""","Monterey, CA, USA",M16303
"""been""","New York City, NY, USA",M16303
"""been""","Bigfork, MT, USA",M16303
"""been""","Puerto Vallarta, Mexico",M16303
"""been""","Rome, Italy",M16303
"""been""","Surprise, AZ, USA",M16303
"""been""","Williamsburg, VA, USA",M16303
"""been""","San Jose, Costa Rica",M16303
"""been""","Virginia Beach, VA, USA",M16303
"""been""","Laguna Beach, CA, USA",M16303
"""been""","Seattle, WA, USA",M16303
"""been""","Washington DC, DC, USA",M16303
"""been""","Myrtle Beach, SC, USA",M16303
"""been""","Half Moon Bay, CA, USA",M16303
"""been""","San Simeon, CA, USA",M16303
"""been""","San Diego, CA, USA",M16303
"""been""","Deming, NM, USA",M16303
"""been""","Panama City, Panama",M16303
"""been""","Seven Mile Beach, Cayman Islands",M16303
"""been""","Daytona Beach, FL, USA",M16303
"""been""","Palm - Eagle Beach, Aruba",M16303
"""been""","Houston, TX, USA",M16303
"""been""","Oranjestad, Aruba",M16303
"""been""","Ensenada, Mexico",M16303
"""been""","New Orleans, LA, USA",M16303
"""been""","Dallas, TX, USA",M16303
"""been""","Boston, MA, USA",M16303
"""been""","Cancun, Mexico",M16303
"""been""","West Hollywood, CA, USA",M16303
"""been""","Charleston, SC, USA",M16303
"""been""","Sedona, AZ, USA",M16303
"""been""","Scottsdale, AZ, USA",M16303
"""been""","Guilin, China",M16303
"""been""","Buffalo, NY, USA",M16303
"""been""","Palm Springs, CA, USA",M16303
"""been""","Palm Desert, CA, USA",M16303
"""been""","Flagstaff, AZ, USA",M16303
"""been""","Reno, NV, USA",M16303
"""been""","Laughlin, NV, USA",M16303
"""been""","Las Vegas, NV, USA",M16303
"""been""","Coronado, CA, USA",M16303
"""been""","Shanghai, China",M16303
"""been""","Austin, TX, USA",M16303
"""been""","Sonoma, CA, USA",M16303
"""been""","Miami, FL, USA",M16303
"""been""","Pismo Beach, CA, USA",M16303
"""been""","Miami Beach, FL, USA",M16303
"""been""","Los Angeles, CA, USA",M16303
"""been""","Tampa, FL, USA",M16303
"""been""","Chicago, IL, USA",M16303
"""been""","Venice, Italy",M16303
"""been""","Beijing, China",M16303
"""been""","Portland, OR, USA",M16303
"""been""","Calistoga, CA, USA",M16303
"""been""","Brooklyn, NY, USA",M16303
"""been""","Newport Beach, CA, USA",M16303
"""been""","Luling, TX, USA",M16303
"""been""","San Francisco, CA, USA",M16303
"""been""","Big Sur, CA, USA",M16303
"""been""","Santa Fe, NM, USA",M16303
"""been""","Arlington, VA, USA",M16303
"""been""","Vancouver, British Columbia, Canada",M16303
"""been""","Garden Grove, CA, USA",M16303
"""been""","Coeur d'Alene, ID, USA",M16303
"""been""","Spokane, WA, USA",M16303
"""been""","Tucson, AZ, USA",M16303
"""been""","Philadelphia, PA, USA",M16303
"""been""","Mammoth Lakes, CA, USA",M16303
"""been""","Beverly Hills, CA, USA",M16303
"""want""","Paris, France",M16303
"""been""","Naples, Italy",M16303
"""been""","Santa Barbara, CA, USA",M16303
"""been""","San Juan, Puerto Rico",M16303
"""want""","London, UK",M16303
"""been""","Kingston, ID, USA",M16303
"""been""","Mystic, CT, USA",M16303
"""been""","Providence, RI, USA",M16303
"""been""","Sacramento, CA, USA",M16303
"""been""","Cabo San Lucas, Mexico",M16303
"""been""","Florence, Italy",M16303
"""been""","Anaheim, CA, USA",M16303
"""been""","Pisa, Italy",M16303
"""been""","Santa Monica, CA, USA",M16303
"""been""","Phoenix, AZ, USA",M16303
"""been""","Niagara Falls, NY, USA",M16303
"""been""","Napa, CA, USA",M16303
"""been""","Baltimore, MD, USA",M16303
"""been""","Atlanta, GA, USA",M16303
"""been""","Long Beach, CA, USA",M16303
"""been""","Avalon, CA, USA",M16303
