tag,place,user
"""been""","Wakefield, RI, USA",M2020VPjanem
"""been""","South Kingstown, RI, USA",M2020VPjanem
"""been""","Quebec City, Quebec, Canada",M2020VPjanem
"""been""","Narragansett, RI, USA",M2020VPjanem
"""been""","Playa Paraiso, Mexico",M2020VPjanem
"""been""","San Diego, CA, USA",M2020VPjanem
"""been""","Lee, MA, USA",M2020VPjanem
"""been""","El Segundo, CA, USA",M2020VPjanem
"""been""","Stockbridge, MA, USA",M2020VPjanem
"""been""","Key Largo, FL, USA",M2020VPjanem
"""been""","Foxborough, MA, USA",M2020VPjanem
"""been""","Washington DC, DC, USA",M2020VPjanem
"""been""","Cape May, NJ, USA",M2020VPjanem
"""been""","West Kingston, RI, USA",M2020VPjanem
"""been""","Boston, MA, USA",M2020VPjanem
"""been""","Brooklyn, NY, USA",M2020VPjanem
"""been""","Jamestown, RI, USA",M2020VPjanem
"""been""","Anaheim, CA, USA",M2020VPjanem
"""been""","New York City, NY, USA",M2020VPjanem
"""been""","Ottawa, Ontario, Canada",M2020VPjanem
"""been""","Reykjavik, Iceland",M2020VPjanem
"""been""","Manhattan Beach, CA, USA",M2020VPjanem
"""been""","Playa del Carmen, Mexico",M2020VPjanem
"""been""","Charlotte, NC, USA",M2020VPjanem
"""been""","Miami Beach, FL, USA",M2020VPjanem
