tag,place,user
"""want""","Forster, Australia",MSUmindy
"""been""","Northbrook, IL, USA",MSUmindy
"""been""","Merrillville, IN, USA",MSUmindy
"""been""","Domodossola, Italy",MSUmindy
"""want""","Jindabyne, Australia",MSUmindy
"""want""","Arrowtown, New Zealand",MSUmindy
"""been""","Oak Brook, IL, USA",MSUmindy
"""been""","Michigan City, IN, USA",MSUmindy
"""been""","Council Bluffs, IA, USA",MSUmindy
"""been""","Middlebury, IN, USA",MSUmindy
"""want""","Skagen, Denmark",MSUmindy
"""been""","Heidelberg, Germany",MSUmindy
"""want""","Staten Island, NY, USA",MSUmindy
"""been""","Saranac Lake, NY, USA",MSUmindy
"""want""","Give, Denmark",MSUmindy
"""want""","Tortona, Italy",MSUmindy
"""been""","Owen Sound, Ontario, Canada",MSUmindy
"""been""","Vienna, Austria",MSUmindy
"""been""","Kitchener, Ontario, Canada",MSUmindy
"""been""","Reston, VA, USA",MSUmindy
"""been""","Daytona Beach, FL, USA",MSUmindy
"""want""","Teton Village, WY, USA",MSUmindy
"""want""","Mt. Cook Village, New Zealand",MSUmindy
"""been""","Plainfield, IN, USA",MSUmindy
"""been""","DeLand, FL, USA",MSUmindy
"""want""","Coogee, Australia",MSUmindy
"""been""","Mishawaka, IN, USA",MSUmindy
"""been""","Tobermory, Ontario, Canada",MSUmindy
"""been""","Indianapolis, IN, USA",MSUmindy
"""want""","Franz Josef, New Zealand",MSUmindy
"""been""","Schenectady, NY, USA",MSUmindy
"""want""","Valletta, Malta",MSUmindy
"""want""","Loreto, Italy",MSUmindy
"""been""","Newport News, VA, USA",MSUmindy
"""been""","Tysons Corner, VA, USA",MSUmindy
"""want""","Fox Glacier, New Zealand",MSUmindy
"""been""","Waterloo, Ontario, Canada",MSUmindy
"""been""","Murano, Italy",MSUmindy
"""been""","Roanoke, VA, USA",MSUmindy
"""been""","Alatri, Italy",MSUmindy
"""been""","Santa Monica, CA, USA",MSUmindy
"""been""","Clearwater, FL, USA",MSUmindy
"""want""","Mooloolaba, Australia",MSUmindy
"""want""","Cocoa Beach, FL, USA",MSUmindy
"""been""","South Bend, IN, USA",MSUmindy
"""want""","Kerikeri, New Zealand",MSUmindy
"""want""","West Yellowstone, MT, USA",MSUmindy
"""been""","Missoula, MT, USA",MSUmindy
"""been""","Alabaster, AL, USA",MSUmindy
"""been""","East Glacier Park, MT, USA",MSUmindy
"""been""","Cheektowaga, NY, USA",MSUmindy
"""been"",""want""","Washington DC, DC, USA",MSUmindy
"""want""","Oslo, Norway",MSUmindy
"""want""","Truro, Nova Scotia, Canada",MSUmindy
"""been""","Fairport, NY, USA",MSUmindy
"""want""","West Bay, Cayman Islands",MSUmindy
"""been""","Gettysburg, PA, USA",MSUmindy
"""been""","Essex, VT, USA",MSUmindy
"""been""","Austintown, OH, USA",MSUmindy
"""been""","Jefferson, TX, USA",MSUmindy
"""want""","Little Torch Key, FL, USA",MSUmindy
"""want""","Brisbane, Australia",MSUmindy
"""been""","Grand Isle, VT, USA",MSUmindy
"""want""","Cairns, Australia",MSUmindy
"""been""","Normal, IL, USA",MSUmindy
"""want""","Yulara, Australia",MSUmindy
"""been""","Bradenton, FL, USA",MSUmindy
"""been""","Crescent Beach, FL, USA",MSUmindy
"""want""","Darwin, Australia",MSUmindy
"""been""","Owensboro, KY, USA",MSUmindy
"""been""","Dayton, OH, USA",MSUmindy
"""want""","Sydney, Australia",MSUmindy
"""been""","Louisville, KY, USA",MSUmindy
"""want""","Alice Springs, Australia",MSUmindy
"""been""","Hershey, PA, USA",MSUmindy
"""been""","West Des Moines, IA, USA",MSUmindy
"""been""","Bratislava, Slovakia",MSUmindy
"""been""","Kingsville, OH, USA",MSUmindy
"""been""","Collingwood, Ontario, Canada",MSUmindy
"""been""","Baraboo, WI, USA",MSUmindy
"""want""","Bunya Mountains, Australia",MSUmindy
"""been""","Coralville, IA, USA",MSUmindy
"""been""","Rutland, VT, USA",MSUmindy
"""been""","Quincy, IL, USA",MSUmindy
"""been""","Lake City, FL, USA",MSUmindy
"""been""","Bloomington, IL, USA",MSUmindy
"""been""","Gainesville, FL, USA",MSUmindy
"""want""","Greymouth, New Zealand",MSUmindy
"""been""","Richmond, VA, USA",MSUmindy
"""want""","Hokitika, New Zealand",MSUmindy
"""been""","Lake Mary, FL, USA",MSUmindy
"""been""","Peru, IL, USA",MSUmindy
"""been""","Manassas, VA, USA",MSUmindy
"""want""","Cedar Key, FL, USA",MSUmindy
"""been""","Schaumburg, IL, USA",MSUmindy
"""want""","Bern, Switzerland",MSUmindy
"""want""","Whangarei, New Zealand",MSUmindy
"""been""","Branson West, MO, USA",MSUmindy
"""want""","Geneva, Switzerland",MSUmindy
"""been""","Vilano Beach, FL, USA",MSUmindy
"""been""","St. George, UT, USA",MSUmindy
"""been""","Atlanta, GA, USA",MSUmindy
"""been""","Franklin, TN, USA",MSUmindy
"""been""","Springfield, VA, USA",MSUmindy
"""been""","Chesapeake, VA, USA",MSUmindy
"""been""","Rawlins, WY, USA",MSUmindy
"""want""","Carmel Valley, CA, USA",MSUmindy
"""been""","Charlottesville, VA, USA",MSUmindy
"""want""","Geraldton, Australia",MSUmindy
"""been""","Lakeland, FL, USA",MSUmindy
"""want""","Margaret River, Australia",MSUmindy
"""want""","South Lake Tahoe, CA, USA",MSUmindy
"""want""","Palmerston North, New Zealand",MSUmindy
"""been""","Ocala, FL, USA",MSUmindy
"""want""","Invercargill, New Zealand",MSUmindy
"""been""","Omaha, NE, USA",MSUmindy
"""want""","Warrnambool, Australia",MSUmindy
"""want""","Milford Sound, New Zealand",MSUmindy
"""been"",""want""","New York City, NY, USA",MSUmindy
"""want""","Queenstown, New Zealand",MSUmindy
"""been""","Shipshewana, IN, USA",MSUmindy
"""want""","St Kilda, Australia",MSUmindy
"""been""","Binghamton, NY, USA",MSUmindy
"""want""","Basel, Switzerland",MSUmindy
"""been""","Plattsburgh, NY, USA",MSUmindy
"""want""","Bondi, Australia",MSUmindy
"""been""","Wisconsin Dells, WI, USA",MSUmindy
"""been""","Wilmington, NY, USA",MSUmindy
"""been""","Goodlettsville, TN, USA",MSUmindy
"""been""","Green River, UT, USA",MSUmindy
"""been""","Staunton, VA, USA",MSUmindy
"""been""","Port Saint Lucie, FL, USA",MSUmindy
"""been""","Champaign, IL, USA",MSUmindy
"""been""","Mount Dora, FL, USA",MSUmindy
"""been""","West Hollywood, CA, USA",MSUmindy
"""been""","Dubuque, IA, USA",MSUmindy
"""been""","Flagler Beach, FL, USA",MSUmindy
"""been""","Titusville, FL, USA",MSUmindy
"""want""","San Diego, CA, USA",MSUmindy
"""want""","Kihei, HI, USA",MSUmindy
"""been""","Quincy, FL, USA",MSUmindy
"""want""","Anse Marcel, St Martin \u002F St Maarten",MSUmindy
"""been""","Kalispell, MT, USA",MSUmindy
"""been""","Naples, FL, USA",MSUmindy
"""been""","Saint Charles, IL, USA",MSUmindy
"""want""","Fort Lauderdale, FL, USA",MSUmindy
"""been""","Mount Vernon, IL, USA",MSUmindy
"""been""","Sandusky, OH, USA",MSUmindy
"""want""","Blaavand, Denmark",MSUmindy
"""been""","Rochester, NY, USA",MSUmindy
"""been""","Geneva, NY, USA",MSUmindy
"""want""","Wyong, Australia",MSUmindy
"""want""","Seattle, WA, USA",MSUmindy
"""been""","Yellowstone National Park, WY, USA",MSUmindy
"""want""","Skagway, AK, USA",MSUmindy
"""been""","Houston, TX, USA",MSUmindy
"""been""","Corning, NY, USA",MSUmindy
"""been""","Torrey, UT, USA",MSUmindy
"""been""","Lebanon, TN, USA",MSUmindy
"""been""","Columbia, SC, USA",MSUmindy
"""want""","Yamba, Australia",MSUmindy
"""been""","New Port Richey, FL, USA",MSUmindy
"""been""","Beverly Hills, CA, USA",MSUmindy
"""been""","Fort Myers, FL, USA",MSUmindy
"""been""","Fort Myers Beach, FL, USA",MSUmindy
"""been""","Kissimmee, FL, USA",MSUmindy
"""been""","Honolulu, HI, USA",MSUmindy
"""been""","Cedar Rapids, IA, USA",MSUmindy
"""been""","Fort Pierce, FL, USA",MSUmindy
"""been""","Koloa, HI, USA",MSUmindy
"""been""","Asheville, NC, USA",MSUmindy
"""been"",""want""","Denver, CO, USA",MSUmindy
"""been"",""want""","St. Augustine, FL, USA",MSUmindy
"""been""","Peoria, IL, USA",MSUmindy
"""been""","Santa Claus, IN, USA",MSUmindy
"""want""","Cape Canaveral, FL, USA",MSUmindy
"""want""","Lisbon, Portugal",MSUmindy
"""been""","Branson, MO, USA",MSUmindy
"""want""","Kalbarri, Australia",MSUmindy
"""been""","Winchester, VA, USA",MSUmindy
"""been""","Lihue, HI, USA",MSUmindy
"""been""","Custer, SD, USA",MSUmindy
"""been""","Williamsburg, VA, USA",MSUmindy
"""been"",""want""","Poipu, HI, USA",MSUmindy
"""been""","Positano, Italy",MSUmindy
"""been""","Laramie, WY, USA",MSUmindy
"""been""","Wheeling, WV, USA",MSUmindy
"""been""","Utica, NY, USA",MSUmindy
"""been""","Waimea, HI, USA",MSUmindy
"""been""","Princeville, HI, USA",MSUmindy
"""want""","Porto Santo Stefano, Italy",MSUmindy
"""want""","St. Moritz, Switzerland",MSUmindy
"""been""","Bowling Green, KY, USA",MSUmindy
"""been""","Bryce Canyon City, UT, USA",MSUmindy
"""been""","Nashville, MI, USA",MSUmindy
"""been""","Niagara Falls, Ontario, Canada",MSUmindy
"""want""","Coolangatta, Australia",MSUmindy
"""been""","Mississauga, Ontario, Canada",MSUmindy
"""been""","Wall, SD, USA",MSUmindy
"""want""","Coromandel, New Zealand",MSUmindy
"""been""","Spooner, WI, USA",MSUmindy
"""been""","State College, PA, USA",MSUmindy
"""been""","Columbia, TN, USA",MSUmindy
"""been""","Harrisburg, PA, USA",MSUmindy
"""want""","Carrum Downs, Australia",MSUmindy
"""been""","Kingston, Ontario, Canada",MSUmindy
"""been""","Springfield, MO, USA",MSUmindy
"""been""","New Era, MI, USA",MSUmindy
"""been""","New Buffalo, MI, USA",MSUmindy
"""been""","Lexington, KY, USA",MSUmindy
"""been""","Guelph, Ontario, Canada",MSUmindy
"""been""","Brantford, Ontario, Canada",MSUmindy
"""want""","Rio de Janeiro, Brazil",MSUmindy
"""want""","Trevi, Italy",MSUmindy
"""been""","Huntsville, AL, USA",MSUmindy
"""been""","Brampton, Ontario, Canada",MSUmindy
"""want""","Mosfellsbaer, Iceland",MSUmindy
"""been""","Barrie, Ontario, Canada",MSUmindy
"""want""","Newcastle, Australia",MSUmindy
"""been""","Marion, IN, USA",MSUmindy
"""been""","Traverse City, MI, USA",MSUmindy
"""been""","Iowa City, IA, USA",MSUmindy
"""want""","Pokolbin, Australia",MSUmindy
"""been""","Plymouth, MI, USA",MSUmindy
"""want""","New Plymouth, New Zealand",MSUmindy
"""been""","Birch Run, MI, USA",MSUmindy
"""been""","Southfield, MI, USA",MSUmindy
"""want""","Mermaid Beach, Australia",MSUmindy
"""want""","Halifax, Nova Scotia, Canada",MSUmindy
"""want""","Katherine, Australia",MSUmindy
"""want""","Biggera Waters, Australia",MSUmindy
"""want""","Wellington, New Zealand",MSUmindy
"""been""","Sheboygan, WI, USA",MSUmindy
"""want""","Grand Anse, Grenada",MSUmindy
"""been""","Lake Placid, NY, USA",MSUmindy
"""been""","Foley, AL, USA",MSUmindy
"""been""","Columbus, OH, USA",MSUmindy
"""been""","San Gimignano, Italy",MSUmindy
"""been""","Albany, NY, USA",MSUmindy
"""been""","Florence, AL, USA",MSUmindy
"""been""","DuBois, PA, USA",MSUmindy
"""want""","Sydney Olympic Park, Australia",MSUmindy
"""been""","Portage, MI, USA",MSUmindy
"""been""","Assisi, Italy",MSUmindy
"""been""","Port Huron, MI, USA",MSUmindy
"""want""","Christchurch, New Zealand",MSUmindy
"""been""","Sikeston, MO, USA",MSUmindy
"""been""","Huntington, WV, USA",MSUmindy
"""want""","Broome, Australia",MSUmindy
"""been""","Lake Mills, WI, USA",MSUmindy
"""want""","McLaren Vale, Australia",MSUmindy
"""been""","Lake Geneva, WI, USA",MSUmindy
"""want""","Ballarat, Australia",MSUmindy
"""been""","Columbus, IN, USA",MSUmindy
"""want""","Noosaville, Australia",MSUmindy
"""want""","Mount Gambier, Australia",MSUmindy
"""want""","Melbourne, Australia",MSUmindy
"""want""","Mangere, New Zealand",MSUmindy
"""been""","Mitchell, SD, USA",MSUmindy
"""been""","Cleveland, TN, USA",MSUmindy
"""want""","Windhoek, Namibia",MSUmindy
"""want""","White House, Jamaica",MSUmindy
"""want""","Saint John, New Brunswick, Canada",MSUmindy
"""want""","Vila Nova de Milfontes, Portugal",MSUmindy
"""been""","Stevensville, MI, USA",MSUmindy
"""been""","Sterling Heights, MI, USA",MSUmindy
"""want""","Auckland Central, New Zealand",MSUmindy
"""been""","Joliet, IL, USA",MSUmindy
"""want""","Echuca, Australia",MSUmindy
"""want""","Hamilton, New Zealand",MSUmindy
"""been""","Galena, IL, USA",MSUmindy
"""been""","Whitehall, MI, USA",MSUmindy
"""want""","Big Pine Key, FL, USA",MSUmindy
"""want""","Fredericton, New Brunswick, Canada",MSUmindy
"""been""","Valparaiso, IN, USA",MSUmindy
"""been""","Florence, KY, USA",MSUmindy
"""been""","Waynesboro, VA, USA",MSUmindy
"""want""","Bright, Australia",MSUmindy
"""been""","Lincolnwood, IL, USA",MSUmindy
"""been""","Kokomo, IN, USA",MSUmindy
"""been""","Bay City, MI, USA",MSUmindy
"""been""","Muncie, IN, USA",MSUmindy
"""been""","Fort Wayne, IN, USA",MSUmindy
"""been""","La Crosse, WI, USA",MSUmindy
"""been""","Cleveland, OH, USA",MSUmindy
"""want""","Longyearbyen, Norway",MSUmindy
"""been"",""want""","Jackson, WY, USA",MSUmindy
"""been""","Wausau, WI, USA",MSUmindy
"""been""","Montgomery, AL, USA",MSUmindy
"""been""","Somerset, PA, USA",MSUmindy
"""been""","New Paltz, NY, USA",MSUmindy
"""been""","Kingston, NY, USA",MSUmindy
"""want""","Bologna, Italy",MSUmindy
"""want""","Mudgee, Australia",MSUmindy
"""been""","Geneva, IL, USA",MSUmindy
"""been""","Nashville, IN, USA",MSUmindy
"""been""","Williamston, MI, USA",MSUmindy
"""want""","Victoria, British Columbia, Canada",MSUmindy
"""been""","Bradenton Beach, FL, USA",MSUmindy
"""want""","Vancouver, British Columbia, Canada",MSUmindy
"""want""","Esperance, Australia",MSUmindy
"""been""","Frankfort, KY, USA",MSUmindy
"""been""","Waukesha, WI, USA",MSUmindy
"""been""","Belleville, MI, USA",MSUmindy
"""been""","Sturgis, SD, USA",MSUmindy
"""want""","Red River, NM, USA",MSUmindy
"""been""","Niagara Falls, NY, USA",MSUmindy
"""want""","Dolo, Italy",MSUmindy
"""want""","Assago, Italy",MSUmindy
"""been""","Spearfish, SD, USA",MSUmindy
"""been""","Penn Yan, NY, USA",MSUmindy
"""been""","Findlay, OH, USA",MSUmindy
"""been""","Schiphol, The Netherlands",MSUmindy
"""been""","Lombard, IL, USA",MSUmindy
"""been""","Ka'anapali, HI, USA",MSUmindy
"""been""","Bessemer, MI, USA",MSUmindy
"""been""","Ypsilanti, MI, USA",MSUmindy
"""been""","Bennington, VT, USA",MSUmindy
"""want""","Duck Key, FL, USA",MSUmindy
"""want""","Rye, Australia",MSUmindy
"""want""","Kamloops, British Columbia, Canada",MSUmindy
"""want""","Harrison Hot Springs, British Columbia, Canada",MSUmindy
"""been""","Great Falls, MT, USA",MSUmindy
"""been""","Hoover, AL, USA",MSUmindy
"""been""","Erie, PA, USA",MSUmindy
"""want""","Riomaggiore, Italy",MSUmindy
"""been""","Lebanon, OH, USA",MSUmindy
"""been""","Maggie Valley, NC, USA",MSUmindy
"""want""","Portofino, Italy",MSUmindy
"""want""","Broken Hill, Australia",MSUmindy
"""want""","Ventimiglia, Italy",MSUmindy
"""been""","Norfolk, VA, USA",MSUmindy
"""want""","Oamaru, New Zealand",MSUmindy
"""want""","Armidale, Australia",MSUmindy
"""want""","Russell, New Zealand",MSUmindy
"""want""","Policoro, Italy",MSUmindy
"""want""","Bathurst, Australia",MSUmindy
"""been""","Brattleboro, VT, USA",MSUmindy
"""want""","Hilo, HI, USA",MSUmindy
"""been""","Monument Valley, UT, USA",MSUmindy
"""want""","Cockburn Town, Turks and Caicos",MSUmindy
"""been""","Kingsland, GA, USA",MSUmindy
"""been""","Waimea, HI, USA",MSUmindy
"""been""","Brentwood, TN, USA",MSUmindy
"""been""","Billings, MT, USA",MSUmindy
"""been""","Bozeman, MT, USA",MSUmindy
"""been""","Lancaster, PA, USA",MSUmindy
"""want""","Bend, OR, USA",MSUmindy
"""been""","Lima, OH, USA",MSUmindy
"""want""","Swakopmund, Namibia",MSUmindy
"""been""","Haliburton, Ontario, Canada",MSUmindy
"""been""","White Cloud, MI, USA",MSUmindy
"""want""","Tanunda, Australia",MSUmindy
"""been""","Virginia Beach, VA, USA",MSUmindy
"""been""","Battle Creek, MI, USA",MSUmindy
"""want""","Robe, Australia",MSUmindy
"""been""","Moline, IL, USA",MSUmindy
"""been""","Bath, MI, USA",MSUmindy
"""want""","Lido degli Estensi, Italy",MSUmindy
"""want""","Calgary, Alberta, Canada",MSUmindy
"""been""","Midland, MI, USA",MSUmindy
"""want""","Lake Louise, Alberta, Canada",MSUmindy
"""been""","North Platte, NE, USA",MSUmindy
"""want""","Banff, Alberta, Canada",MSUmindy
"""been""","Covington, KY, USA",MSUmindy
"""been""","Jefferson City, MO, USA",MSUmindy
"""been""","Comstock Park, MI, USA",MSUmindy
"""been""","Silver Spring, MD, USA",MSUmindy
"""been""","Jackson, MI, USA",MSUmindy
"""been""","Annapolis, MD, USA",MSUmindy
"""been""","Saint Augustine Beach, FL, USA",MSUmindy
"""been""","Danbury, CT, USA",MSUmindy
"""been""","Burano, Italy",MSUmindy
"""been""","Ironwood, MI, USA",MSUmindy
"""been""","Pentwater, MI, USA",MSUmindy
"""been""","Weeki Wachee, FL, USA",MSUmindy
"""been""","Ellicott City, MD, USA",MSUmindy
"""been""","Effingham, IL, USA",MSUmindy
"""been""","Old Saybrook, CT, USA",MSUmindy
"""been""","Fairfax, VA, USA",MSUmindy
"""been""","Allenspark, CO, USA",MSUmindy
"""been""","St. Pete Beach, FL, USA",MSUmindy
"""been""","Fiumicino, Italy",MSUmindy
"""been""","St. Petersburg, FL, USA",MSUmindy
"""been""","Cottonwood, AZ, USA",MSUmindy
"""been""","Los Angeles, CA, USA",MSUmindy
"""been""","Decatur, AL, USA",MSUmindy
"""been""","Baveno, Italy",MSUmindy
"""been""","Escalante, UT, USA",MSUmindy
"""want""","Milan, Italy",MSUmindy
"""been""","Kalamazoo, MI, USA",MSUmindy
"""been"",""want""","Minneapolis, MN, USA",MSUmindy
"""been""","Gaylord, MI, USA",MSUmindy
"""been""","Elk Grove Village, IL, USA",MSUmindy
"""been""","Sanford, FL, USA",MSUmindy
"""been""","Sarasota, FL, USA",MSUmindy
"""want""","Napa, CA, USA",MSUmindy
"""been""","Orillia, Ontario, Canada",MSUmindy
"""been""","Alexandria, VA, USA",MSUmindy
"""been""","Ames, IA, USA",MSUmindy
"""been""","Sullivan's Island, SC, USA",MSUmindy
"""been""","Phoenix, AZ, USA",MSUmindy
"""been""","Deadwood, SD, USA",MSUmindy
"""been""","Falls Church, VA, USA",MSUmindy
"""want""","Grindavik, Iceland",MSUmindy
"""want""","Hella, Iceland",MSUmindy
"""been""","Flint, MI, USA",MSUmindy
"""been""","Owosso, MI, USA",MSUmindy
"""been""","Marshall, MI, USA",MSUmindy
"""been""","Sault Ste. Marie, MI, USA",MSUmindy
"""want""","Palm - Eagle Beach, Aruba",MSUmindy
"""want""","Seven Mile Beach, Cayman Islands",MSUmindy
"""been""","New Haven, CT, USA",MSUmindy
"""been""","Apache Junction, AZ, USA",MSUmindy
