tag,place,user
"""been""","Noumea, New Caledonia",MTF95
"""been""","Las Vegas, NV, USA",MTF95
"""been""","Anaheim, CA, USA",MTF95
"""been""","Coffs Harbour, Australia",MTF95
"""been""","Buena Park, CA, USA",MTF95
"""been""","Upper Coomera, Australia",MTF95
"""been""","Dubbo, Australia",MTF95
"""been""","Port Vila, Vanuatu",MTF95
"""been""","Manhattan Beach, CA, USA",MTF95
"""been""","Noosaville, Australia",MTF95
"""been""","Laie, HI, USA",MTF95
"""been""","Los Angeles, CA, USA",MTF95
"""been""","Honolulu, HI, USA",MTF95
"""been""","Lifou, New Caledonia",MTF95
