tag,place,user
"""been""","Limerick, Ireland",MX378
"""been""","Ballintoy, UK",MX378
"""been""","Sligo, Ireland",MX378
"""been""","Ballycastle, Ireland",MX378
"""been""","Honolulu, HI, USA",MX378
"""been""","Newport Beach, CA, USA",MX378
"""been""","Costa Mesa, CA, USA",MX378
"""been""","Naples, Italy",MX378
"""been""","Long Beach, CA, USA",MX378
"""been""","Moorea, French Polynesia",MX378
"""been""","Pasadena, CA, USA",MX378
"""been""","Alpine, CA, USA",MX378
"""been""","Auckland Central, New Zealand",MX378
"""been""","Cashel, Ireland",MX378
"""been""","Chino, CA, USA",MX378
"""been""","Upland, CA, USA",MX378
"""been""","Chino Hills, CA, USA",MX378
"""been""","Cong, Ireland",MX378
"""been""","Arue, French Polynesia",MX378
"""been""","Rome, Italy",MX378
"""been""","Hinuera, New Zealand",MX378
