tag,place,user
"""been""","Paris, France",M_Araby7
"""been""","Berlin, Germany",M_Araby7
"""been""","Cairo, Egypt",M_Araby7
"""been""","Mecca, Saudi Arabia",M_Araby7
"""been""","Beirut, Lebanon",M_Araby7
"""been""","Catania, Italy",M_Araby7
"""been""","Vienna, Austria",M_Araby7
"""been""","London, UK",M_Araby7
"""been""","Alexandria, Egypt",M_Araby7
"""been""","Sharm El Sheikh, Egypt",M_Araby7
"""been""","Clichy, France",M_Araby7
"""been""","Munich, Germany",M_Araby7
"""been""","Milan, Italy",M_Araby7
"""been""","Steinheim am Albuch, Germany",M_Araby7
"""been""","Plailly, France",M_Araby7
"""been""","St. Petersburg, Russia",M_Araby7
"""been""","Levallois-Perret, France",M_Araby7
"""been""","New York City, NY, USA",M_Araby7
"""been""","Medina, Saudi Arabia",M_Araby7
"""been""","Los Angeles, CA, USA",M_Araby7
"""been""","Cologne, Germany",M_Araby7
"""been""","Vichy, France",M_Araby7
"""been""","Stuttgart, Germany",M_Araby7
"""been""","Nantes, France",M_Araby7
"""been""","Syracuse, Italy",M_Araby7
"""been""","Taormina, Italy",M_Araby7
"""been""","Rome, Italy",M_Araby7
"""been""","Palermo, Italy",M_Araby7
"""been""","Barcelona, Spain",M_Araby7
"""been""","Lille, France",M_Araby7
"""been""","Dubai, United Arab Emirates",M_Araby7
"""been""","Lisbon, Portugal",M_Araby7
"""been""","Amboise, France",M_Araby7
"""been""","Santa Monica, CA, USA",M_Araby7
"""been""","Budapest, Hungary",M_Araby7
"""been""","Parndorf, Austria",M_Araby7
"""been""","Agira, Italy",M_Araby7
"""been""","El Alamein, Egypt",M_Araby7
"""been""","Soma Bay, Egypt",M_Araby7
"""been""","Makadi Bay, Egypt",M_Araby7
"""been""","Bruges, Belgium",M_Araby7
