tag,place,user
"""been""","Santa Barbara, CA, USA",MachThree
"""been""","Boston, MA, USA",MachThree
"""been""","Malibu, CA, USA",MachThree
"""been""","Washington DC, DC, USA",MachThree
"""been""","Honolulu, HI, USA",MachThree
"""been""","Sacramento, CA, USA",MachThree
"""been""","Redondo Beach, CA, USA",MachThree
"""been""","Manhattan Beach, CA, USA",MachThree
"""been""","Simi Valley, CA, USA",MachThree
"""been""","Santa Monica, CA, USA",MachThree
"""been""","Buena Park, CA, USA",MachThree
"""been""","West Hollywood, CA, USA",MachThree
"""been""","Marina del Rey, CA, USA",MachThree
"""been""","Burbank, CA, USA",MachThree
"""been""","Alexandria, VA, USA",MachThree
"""been""","Anaheim, CA, USA",MachThree
"""been""","Nashville, TN, USA",MachThree
"""been""","Palm Springs, CA, USA",MachThree
"""been""","Rochester, NY, USA",MachThree
"""been""","Coronado, CA, USA",MachThree
"""been""","Albuquerque, NM, USA",MachThree
"""been""","Carmel, CA, USA",MachThree
"""been""","Hermosa Beach, CA, USA",MachThree
"""been""","Torrance, CA, USA",MachThree
"""been""","Solvang, CA, USA",MachThree
"""been""","New York City, NY, USA",MachThree
"""been""","Los Angeles, CA, USA",MachThree
"""been""","San Marino, CA, USA",MachThree
"""been""","Pasadena, CA, USA",MachThree
"""been""","Oceanside, CA, USA",MachThree
"""been""","Orlando, FL, USA",MachThree
"""been""","Monterey, CA, USA",MachThree
"""been""","Montecito, CA, USA",MachThree
"""been""","Las Vegas, NV, USA",MachThree
"""been""","Jacksonville, FL, USA",MachThree
"""been""","Ventura, CA, USA",MachThree
"""been""","Kula, HI, USA",MachThree
"""been""","El Segundo, CA, USA",MachThree
"""been""","Lahaina, HI, USA",MachThree
"""been""","South San Francisco, CA, USA",MachThree
"""been""","San Simeon, CA, USA",MachThree
"""been""","Hana, HI, USA",MachThree
"""been""","Pebble Beach, CA, USA",MachThree
"""been""","Rancho Palos Verdes, CA, USA",MachThree
"""been""","Big Bear Lake, CA, USA",MachThree
"""been""","Newark, NJ, USA",MachThree
"""been""","Pittsford, NY, USA",MachThree
"""been""","Victoria, British Columbia, Canada",MachThree
"""been""","Beverly Hills, CA, USA",MachThree
"""been""","Wailea, HI, USA",MachThree
"""been""","Vancouver, British Columbia, Canada",MachThree
"""been""","Ka'anapali, HI, USA",MachThree
"""been""","Kapalua, HI, USA",MachThree
"""been""","San Francisco, CA, USA",MachThree
"""been""","Seattle, WA, USA",MachThree
"""been""","Culver City, CA, USA",MachThree
"""been""","Wailuku, HI, USA",MachThree
"""been""","Santa Fe, NM, USA",MachThree
"""been""","Reston, VA, USA",MachThree
