tag,place,user
"""been""","Chicago, IL, USA",Maggie358
"""been""","Playa del Carmen, Mexico",Maggie358
"""been""","Amsterdam, The Netherlands",Maggie358
"""been""","Los Angeles, CA, USA",Maggie358
"""been""","Cabo San Lucas, Mexico",Maggie358
"""been""","Miami, FL, USA",Maggie358
"""been""","Redondo Beach, CA, USA",Maggie358
"""been""","Big Bear Lake, CA, USA",Maggie358
"""been""","Miami Beach, FL, USA",Maggie358
"""been""","Paris, France",Maggie358
"""been""","Cairo, Egypt",Maggie358
"""been""","Sharm El Sheikh, Egypt",Maggie358
"""been""","Boston, MA, USA",Maggie358
"""been"",""fave""","Beirut, Lebanon",Maggie358
"""been""","Washington DC, DC, USA",Maggie358
"""been""","New York City, NY, USA",Maggie358
"""been""","Honolulu, HI, USA",Maggie358
"""been"",""fave""","Singapore, Singapore",Maggie358
"""been""","Santa Monica, CA, USA",Maggie358
"""been""","Montreal, Quebec, Canada",Maggie358
"""been""","Woodland, CA, USA",Maggie358
"""been"",""fave""","Rio de Janeiro, Brazil",Maggie358
"""been""","Hong Kong, China",Maggie358
"""been""","Vancouver, British Columbia, Canada",Maggie358
"""been""","Garden Grove, CA, USA",Maggie358
"""been""","Buenos Aires, Argentina",Maggie358
"""been""","Negril, Jamaica",Maggie358
"""been""","San Antonio, TX, USA",Maggie358
"""been""","San Francisco, CA, USA",Maggie358
"""been""","Victoria, British Columbia, Canada",Maggie358
"""been""","Playa Matapalo, Costa Rica",Maggie358
"""been""","San Diego, CA, USA",Maggie358
"""been""","Las Vegas, NV, USA",Maggie358
"""been""","Cancun, Mexico",Maggie358
"""been""","Munich, Germany",Maggie358
"""been""","Anaheim, CA, USA",Maggie358
"""been""","London, UK",Maggie358
"""been""","Punta Cana, Dominican Republic",Maggie358
"""been""","Puerto Plata, Dominican Republic",Maggie358
"""been""","Puerto Vallarta, Mexico",Maggie358
"""been""","Austin, TX, USA",Maggie358
"""been""","Houston, TX, USA",Maggie358
