tag,place,user
"""been""","Avarua, Cook Islands",MagicFlute
"""been""","Bluffton, SC, USA",MagicFlute
"""been""","York, UK",MagicFlute
"""been""","Upminster, UK",MagicFlute
"""been""","Hong Kong, China",MagicFlute
"""been""","Malibu, CA, USA",MagicFlute
"""been""","Sedona, AZ, USA",MagicFlute
"""been""","Boston, MA, USA",MagicFlute
"""been""","Budleigh Salterton, UK",MagicFlute
"""been""","Rarotonga, Cook Islands",MagicFlute
"""been""","Alnwick, UK",MagicFlute
"""been""","Honfleur, France",MagicFlute
"""been""","Exeter, UK",MagicFlute
"""been""","Dartmouth, UK",MagicFlute
"""been""","Christchurch, New Zealand",MagicFlute
"""been""","Plymouth, UK",MagicFlute
"""been""","Yealmpton, UK",MagicFlute
"""been""","Lynton, UK",MagicFlute
"""been""","Leeds, UK",MagicFlute
"""been""","Paris, France",MagicFlute
"""been""","London, UK",MagicFlute
"""been""","Fort Lauderdale, FL, USA",MagicFlute
"""been""","Sausalito, CA, USA",MagicFlute
"""been""","Coronado, CA, USA",MagicFlute
"""been""","Savannah, GA, USA",MagicFlute
"""been""","Barnstaple, UK",MagicFlute
"""been""","Maidstone, UK",MagicFlute
"""been""","Monterey, CA, USA",MagicFlute
"""been""","Auckland Central, New Zealand",MagicFlute
"""been""","Tonbridge, UK",MagicFlute
"""been""","Sevenoaks, UK",MagicFlute
"""been""","Chicago, IL, USA",MagicFlute
"""been""","Miami, FL, USA",MagicFlute
"""been""","Chagford, UK",MagicFlute
"""been""","San Marino, CA, USA",MagicFlute
"""been""","Melbourne, Australia",MagicFlute
"""been""","Los Angeles, CA, USA",MagicFlute
"""been""","La Jolla, CA, USA",MagicFlute
"""been""","New York City, NY, USA",MagicFlute
"""been""","Wateringbury, UK",MagicFlute
"""been""","Sydney, Australia",MagicFlute
"""been""","Kingswear, UK",MagicFlute
"""been""","Boca Raton, FL, USA",MagicFlute
"""been""","La Membrolle-sur-Choisille, France",MagicFlute
"""been""","Saint-Paterne, France",MagicFlute
"""been""","Port Angeles, WA, USA",MagicFlute
"""been""","Vannes, France",MagicFlute
"""been""","Morro Bay, CA, USA",MagicFlute
"""been""","Laguna Beach, CA, USA",MagicFlute
"""been""","Hawkhurst, UK",MagicFlute
"""been""","Santa Barbara, CA, USA",MagicFlute
"""been""","Palm Beach, FL, USA",MagicFlute
"""been""","Tudeley, UK",MagicFlute
"""been""","Victoria, British Columbia, Canada",MagicFlute
"""been""","Vaux-sur-Mer, France",MagicFlute
"""been""","Brasted, UK",MagicFlute
