tag,place,user
"""been""","Venice, Italy",Mary58th
"""been""","Helsinki, Finland",Mary58th
"""been""","Caceres, Spain",Mary58th
"""been""","Hollywood, FL, USA",Mary58th
"""been""","El Arenal, Spain",Mary58th
"""been""","Indianapolis, IN, USA",Mary58th
"""been""","West Palm Beach, FL, USA",Mary58th
"""want""","Modica, Italy",Mary58th
"""been""","Malibu, CA, USA",Mary58th
"""been""","St. Petersburg, FL, USA",Mary58th
"""been""","Washington DC, DC, USA",Mary58th
"""been""","Daytona Beach, FL, USA",Mary58th
"""been""","Sitges, Spain",Mary58th
"""been""","Oslo, Norway",Mary58th
"""been""","Bal Harbour, FL, USA",Mary58th
"""been""","Sedona, AZ, USA",Mary58th
"""been""","Scottsdale, AZ, USA",Mary58th
"""been""","Winter Park, FL, USA",Mary58th
"""been""","Cabo San Lucas, Mexico",Mary58th
"""been""","La Romana, Dominican Republic",Mary58th
"""been""","Simi Valley, CA, USA",Mary58th
"""been""","Madrid, Spain",Mary58th
"""been""","Longboat Key, FL, USA",Mary58th
"""been""","Sausalito, CA, USA",Mary58th
"""been""","Coral Gables, FL, USA",Mary58th
"""been""","Machu Picchu, Peru",Mary58th
"""been"",""want""","Chicago, IL, USA",Mary58th
"""been"",""want""","Los Angeles, CA, USA",Mary58th
"""been""","Louisville, KY, USA",Mary58th
"""been""","Prague, Czech Republic",Mary58th
"""been""","Santo Domingo, Dominican Republic",Mary58th
"""been""","Arlington, VA, USA",Mary58th
"""been""","Annapolis, MD, USA",Mary58th
"""been""","Sea Island, GA, USA",Mary58th
"""been""","Tallinn, Estonia",Mary58th
"""been""","Mazatlan, Mexico",Mary58th
"""been""","Puerto Vallarta, Mexico",Mary58th
"""been""","Mamora Bay, Antigua and Barbuda",Mary58th
"""been""","Las Vegas, NV, USA",Mary58th
"""been""","Fiesole, Italy",Mary58th
"""been""","Florence, Italy",Mary58th
"""been""","South Haven, MI, USA",Mary58th
"""been""","Palm Beach, FL, USA",Mary58th
"""been""","Cadiz, Spain",Mary58th
"""been""","Les Deux-Alpes, France",Mary58th
"""been""","Cordoba, Spain",Mary58th
"""been""","Vatican City, Vatican City",Mary58th
"""been""","Rome, Italy",Mary58th
"""been""","Juneau, AK, USA",Mary58th
"""been""","Lake Geneva, WI, USA",Mary58th
"""been""","Aventura, FL, USA",Mary58th
"""been""","Columbus, OH, USA",Mary58th
"""been""","Acapulco, Mexico",Mary58th
"""been""","Munich, Germany",Mary58th
"""been""","Savannah, GA, USA",Mary58th
"""been""","London, UK",Mary58th
"""been""","Bonita Springs, FL, USA",Mary58th
"""been""","Pompeii, Italy",Mary58th
"""been""","Naples, Italy",Mary58th
"""been""","Seville, Spain",Mary58th
"""been""","Granada, Spain",Mary58th
"""been""","Burbank, CA, USA",Mary58th
"""been""","Antwerp, Belgium",Mary58th
"""been""","St. Moritz, Switzerland",Mary58th
"""been""","Cleveland, OH, USA",Mary58th
"""been""","Dingle, Ireland",Mary58th
"""been""","Kenmare, Ireland",Mary58th
"""been""","French Lick, IN, USA",Mary58th
"""been""","Malaga, Spain",Mary58th
"""been""","Ghent, Belgium",Mary58th
"""been""","Orlando, FL, USA",Mary58th
"""been""","Corfu Town, Greece",Mary58th
"""been""","La Jolla, CA, USA",Mary58th
"""been""","Telluride, CO, USA",Mary58th
"""been""","San Jose, Costa Rica",Mary58th
"""been""","Oranjestad, Aruba",Mary58th
"""been""","Seven Mile Beach, Cayman Islands",Mary58th
"""been""","Bruges, Belgium",Mary58th
"""been""","George Town, Cayman Islands",Mary58th
"""been"",""fave""","Eze, France",Mary58th
"""been""","La Quinta, CA, USA",Mary58th
"""been""","Palma de Mallorca, Spain",Mary58th
"""been""","Cannes, France",Mary58th
"""been""","Galena, IL, USA",Mary58th
"""been""","Boca Raton, FL, USA",Mary58th
"""been""","Skokie, IL, USA",Mary58th
"""been""","Buffalo Grove, IL, USA",Mary58th
"""been""","Laguna Beach, CA, USA",Mary58th
"""been""","Bloomington, IN, USA",Mary58th
"""been""","Vernon Hills, IL, USA",Mary58th
"""been""","Libertyville, IL, USA",Mary58th
"""been""","Frankfurt, Germany",Mary58th
"""been""","Honolulu, HI, USA",Mary58th
"""been""","Nice, France",Mary58th
"""been""","Ponte Vedra Beach, FL, USA",Mary58th
"""been""","Rosemont, IL, USA",Mary58th
"""been""","Asheville, NC, USA",Mary58th
"""been""","Lexington, KY, USA",Mary58th
"""been""","Pompano Beach, FL, USA",Mary58th
"""been""","Fernandina Beach, FL, USA",Mary58th
"""been""","Wheeling, IL, USA",Mary58th
"""been""","Jupiter, FL, USA",Mary58th
"""been""","Newport, RI, USA",Mary58th
"""been""","Juan-les-Pins, France",Mary58th
"""been""","Monte-Carlo, Monaco",Mary58th
"""been""","Hanalei, HI, USA",Mary58th
"""been""","Wiesbaden, Germany",Mary58th
"""been""","San Clemente, CA, USA",Mary58th
"""been""","Del Mar, CA, USA",Mary58th
"""been""","Charleston, SC, USA",Mary58th
"""been""","Springfield, MO, USA",Mary58th
"""been""","New Braunfels, TX, USA",Mary58th
"""been""","Champaign, IL, USA",Mary58th
"""been""","Gurnee, IL, USA",Mary58th
"""been""","West Hollywood, CA, USA",Mary58th
"""been""","Charlotte, NC, USA",Mary58th
"""been""","Palm Desert, CA, USA",Mary58th
"""been""","West Baden Springs, IN, USA",Mary58th
"""been""","Mount Prospect, IL, USA",Mary58th
"""been""","Naples, FL, USA",Mary58th
"""been""","Fort Lauderdale, FL, USA",Mary58th
"""been""","St. Lawrence Gap, Barbados",Mary58th
"""been""","Ixtapa, Mexico",Mary58th
"""been""","Cherokee, NC, USA",Mary58th
"""been""","Kennebunkport, ME, USA",Mary58th
"""been""","Gatlinburg, TN, USA",Mary58th
"""been""","Saint-Remy-de-Provence, France",Mary58th
"""been""","Barcelona, Spain",Mary58th
"""been""","Mesa, AZ, USA",Mary58th
"""been""","Tallahassee, FL, USA",Mary58th
"""been""","Segovia, Spain",Mary58th
"""been""","Ouray, CO, USA",Mary58th
"""been""","Austin, TX, USA",Mary58th
"""been""","Pensacola, FL, USA",Mary58th
"""been""","Bonn, Germany",Mary58th
"""been""","Miami Beach, FL, USA",Mary58th
"""been""","Rockford, IL, USA",Mary58th
"""been""","Miami, FL, USA",Mary58th
"""been""","Orange Beach, AL, USA",Mary58th
"""been""","Tampa, FL, USA",Mary58th
"""been""","Amsterdam, The Netherlands",Mary58th
"""been""","San Antonio, TX, USA",Mary58th
"""been""","Dubrovnik, Croatia",Mary58th
"""been""","Santa Fe, NM, USA",Mary58th
"""been""","Glenview, IL, USA",Mary58th
"""been""","San Francisco, CA, USA",Mary58th
"""been""","Toledo, Spain",Mary58th
