tag,place,user
"""been""","Venice, Italy",Mary6Ellen
"""been""","Boston, MA, USA",Mary6Ellen
"""been""","Nuremberg, Germany",Mary6Ellen
"""been""","Innsbruck, Austria",Mary6Ellen
"""been""","Washington DC, DC, USA",Mary6Ellen
"""been""","Norwood, MA, USA",Mary6Ellen
"""been""","Strasbourg, France",Mary6Ellen
"""been"",""want""","Memphis, TN, USA",Mary6Ellen
"""been""","Nassau, Bahamas",Mary6Ellen
"""been""","Alicante, Spain",Mary6Ellen
"""been""","Beverly Hills, CA, USA",Mary6Ellen
"""been""","Madrid, Spain",Mary6Ellen
"""been""","Honolulu, HI, USA",Mary6Ellen
"""been""","Brussels, Belgium",Mary6Ellen
"""been""","Basel, Switzerland",Mary6Ellen
"""been""","Bangkok, Thailand",Mary6Ellen
"""been""","East Walpole, MA, USA",Mary6Ellen
"""been""","Niagara Falls, Ontario, Canada",Mary6Ellen
"""been""","Munich, Germany",Mary6Ellen
"""been""","Clearwater, FL, USA",Mary6Ellen
"""want""","Bar Harbor, ME, USA",Mary6Ellen
"""been""","Pittsburgh, PA, USA",Mary6Ellen
"""been""","Ashland, VA, USA",Mary6Ellen
"""been""","Pattaya, Thailand",Mary6Ellen
"""been""","Beckley, WV, USA",Mary6Ellen
"""been""","Greenville, NC, USA",Mary6Ellen
"""been""","Athens, Greece",Mary6Ellen
"""been""","Zurich, Switzerland",Mary6Ellen
"""been""","Vienna, Austria",Mary6Ellen
"""been""","Sedona, AZ, USA",Mary6Ellen
"""been"",""want""","Nags Head, NC, USA",Mary6Ellen
"""been""","Charlotte, NC, USA",Mary6Ellen
"""been""","St. Petersburg, FL, USA",Mary6Ellen
"""been""","Raleigh, NC, USA",Mary6Ellen
"""been""","Provincetown, MA, USA",Mary6Ellen
"""been""","San Diego, CA, USA",Mary6Ellen
"""been""","Cincinnati, OH, USA",Mary6Ellen
"""been""","Philadelphia, PA, USA",Mary6Ellen
"""been""","Paris, France",Mary6Ellen
"""been""","Treasure Island, FL, USA",Mary6Ellen
"""been""","Mystic, CT, USA",Mary6Ellen
"""been""","Denver, CO, USA",Mary6Ellen
"""been""","Augusta, ME, USA",Mary6Ellen
"""been""","Barcelona, Spain",Mary6Ellen
"""been""","Williamsburg, WV, USA",Mary6Ellen
"""been""","Orlando, FL, USA",Mary6Ellen
"""been""","Miami, FL, USA",Mary6Ellen
"""been""","Lucerne, Switzerland",Mary6Ellen
"""been""","Anchorage, AK, USA",Mary6Ellen
"""been""","Mexico City, Mexico",Mary6Ellen
"""been""","Phnom Penh, Cambodia",Mary6Ellen
"""been""","Charlottesville, VA, USA",Mary6Ellen
"""been""","Frankfurt, Germany",Mary6Ellen
"""been""","New York City, NY, USA",Mary6Ellen
"""been""","Las Vegas, NV, USA",Mary6Ellen
"""been""","Sevierville, TN, USA",Mary6Ellen
"""been""","Long Beach, CA, USA",Mary6Ellen
"""been""","Alexandria, VA, USA",Mary6Ellen
"""been""","Lancaster, PA, USA",Mary6Ellen
"""been""","Atlanta, GA, USA",Mary6Ellen
"""been""","Arlington, VA, USA",Mary6Ellen
"""been""","Portland, ME, USA",Mary6Ellen
"""been""","Luxembourg City, Luxembourg",Mary6Ellen
"""been""","Geneva, Switzerland",Mary6Ellen
"""been""","Hot Springs, AR, USA",Mary6Ellen
"""been""","Williamsburg, VA, USA",Mary6Ellen
"""been""","Newport, RI, USA",Mary6Ellen
"""been""","Savannah, GA, USA",Mary6Ellen
"""been""","Virginia Beach, VA, USA",Mary6Ellen
"""been""","Walpole, MA, USA",Mary6Ellen
"""been""","Richmond, VA, USA",Mary6Ellen
"""been""","Los Angeles, CA, USA",Mary6Ellen
"""been""","Salzburg, Austria",Mary6Ellen
