tag,place,user
"""been""","San Diego, CA, USA",Mays86
"""want""","Cancun, Mexico",Mays86
"""been""","Costa Adeje, Spain",Mays86
"""been""","Derry, UK",Mays86
"""been""","Renfrew, UK",Mays86
"""been""","Montpellier, France",Mays86
"""been""","Anaheim, CA, USA",Mays86
"""been"",""fave""","Barcelona, Spain",Mays86
"""been""","Bristol, UK",Mays86
"""been""","Marne-la-Vallee, France",Mays86
"""been""","Dijon, France",Mays86
"""been""","Brussels, Belgium",Mays86
"""been"",""fave""","Stockholm, Sweden",Mays86
"""been""","Clydebank, UK",Mays86
"""want""","Sydney, Australia",Mays86
"""been""","San Francisco, CA, USA",Mays86
"""been""","Edinburgh, UK",Mays86
"""want""","Melbourne, Australia",Mays86
"""been""","Dublin, Ireland",Mays86
"""been"",""fave""","Philadelphia, PA, USA",Mays86
"""want""","Cape Town Central, South Africa",Mays86
"""been"",""fave""","Paris, France",Mays86
"""been""","Stirling, UK",Mays86
"""been""","Los Angeles, CA, USA",Mays86
"""been""","La Jolla, CA, USA",Mays86
"""want""","Tokyo, Japan",Mays86
"""been""","Santa Barbara, CA, USA",Mays86
"""been""","Belfast, UK",Mays86
"""been""","Amsterdam, The Netherlands",Mays86
"""been""","Playa de las Americas, Spain",Mays86
"""been""","Williams, AZ, USA",Mays86
"""been""","Rimini, Italy",Mays86
"""been""","Monterey, CA, USA",Mays86
"""want""","Miami Beach, FL, USA",Mays86
"""been""","Alicante, Spain",Mays86
"""been""","Benidorm, Spain",Mays86
"""been""","Glasgow, UK",Mays86
"""been""","Beaune, France",Mays86
"""been""","London, UK",Mays86
"""been""","Strathmere, NJ, USA",Mays86
"""been""","Ocean City, NJ, USA",Mays86
"""been"",""fave""","New York City, NY, USA",Mays86
"""want""","Marrakech, Morocco",Mays86
"""been""","Milan, Italy",Mays86
