tag,place,user
"""been""","Cary, NC, USA",MemberSince70
"""been""","Barcelona, Spain",MemberSince70
"""been""","Istanbul, Turkey",MemberSince70
"""been""","Marbella, Spain",MemberSince70
"""been""","Sonoma, CA, USA",MemberSince70
"""been""","Makati, Philippines",MemberSince70
"""been""","Madrid, Spain",MemberSince70
"""been""","Nashville, TN, USA",MemberSince70
"""been""","Yountville, CA, USA",MemberSince70
"""been""","Newport Beach, CA, USA",MemberSince70
"""been""","New York City, NY, USA",MemberSince70
"""been""","West Hollywood, CA, USA",MemberSince70
"""been""","Tagaytay, Philippines",MemberSince70
"""been""","Carmel, CA, USA",MemberSince70
"""been""","Beverly Hills, CA, USA",MemberSince70
"""been""","San Francisco, CA, USA",MemberSince70
