tag,place,user
"""been""","Dallas, TX, USA",MerylP_11
"""been""","Port Douglas, Australia",MerylP_11
"""been""","Orlando, FL, USA",MerylP_11
"""been""","Bonville, Australia",MerylP_11
"""been""","Lake Louise, Alberta, Canada",MerylP_11
"""been""","Los Angeles, CA, USA",MerylP_11
"""been""","Banff, Alberta, Canada",MerylP_11
"""been""","Cape Canaveral, FL, USA",MerylP_11
"""been""","Taihape, New Zealand",MerylP_11
"""been""","Honolulu, HI, USA",MerylP_11
"""been""","Manly, Australia",MerylP_11
"""been""","Upper Hutt, New Zealand",MerylP_11
"""been""","Santa Monica, CA, USA",MerylP_11
"""been""","Freeport, Bahamas",MerylP_11
"""been""","Canmore, Alberta, Canada",MerylP_11
"""been""","Las Vegas, NV, USA",MerylP_11
"""been""","Kuranda, Australia",MerylP_11
"""been""","Wellington, New Zealand",MerylP_11
"""been""","Sydney, Australia",MerylP_11
"""been""","Vancouver, British Columbia, Canada",MerylP_11
"""been""","Foxton, New Zealand",MerylP_11
"""been""","Cairns, Australia",MerylP_11
"""been""","Calgary, Alberta, Canada",MerylP_11
"""been""","North Vancouver, British Columbia, Canada",MerylP_11
"""been""","San Diego, CA, USA",MerylP_11
"""been""","Hastings, New Zealand",MerylP_11
"""been""","Daytona Beach, FL, USA",MerylP_11
"""been""","Kallangur, Australia",MerylP_11
"""been""","Hamilton, New Zealand",MerylP_11
"""been""","Seattle, WA, USA",MerylP_11
