tag,place,user
"""want""","Toronto, Ontario, Canada",MexicanBeauty1
"""been""","Anaheim, CA, USA",MexicanBeauty1
"""been""","Phoenix, AZ, USA",MexicanBeauty1
"""want""","London, UK",MexicanBeauty1
"""want""","Milan, Italy",MexicanBeauty1
"""want""","Munich, Germany",MexicanBeauty1
"""want""","Hamburg, Germany",MexicanBeauty1
"""want""","Venice, Italy",MexicanBeauty1
"""want""","Barcelona, Spain",MexicanBeauty1
"""want""","Frankfurt, Germany",MexicanBeauty1
"""been""","Las Vegas, NV, USA",MexicanBeauty1
"""want""","New Orleans, LA, USA",MexicanBeauty1
"""been""","Salt Lake City, UT, USA",MexicanBeauty1
"""been""","Moab, UT, USA",MexicanBeauty1
"""want""","Boston, MA, USA",MexicanBeauty1
"""want""","Niagara Falls, Ontario, Canada",MexicanBeauty1
"""want""","Rome, Italy",MexicanBeauty1
"""want""","New York City, NY, USA",MexicanBeauty1
"""been""","Puerto Vallarta, Mexico",MexicanBeauty1
"""been""","Beverly Hills, CA, USA",MexicanBeauty1
"""been""","Park City, UT, USA",MexicanBeauty1
"""want""","Madrid, Spain",MexicanBeauty1
"""been""","Los Angeles, CA, USA",MexicanBeauty1
"""been""","Santa Barbara, CA, USA",MexicanBeauty1
"""been""","Dallas, TX, USA",MexicanBeauty1
"""want""","Dublin, Ireland",MexicanBeauty1
"""want""","Paris, France",MexicanBeauty1
"""want""","Berlin, Germany",MexicanBeauty1
"""been""","Long Beach, CA, USA",MexicanBeauty1
"""been""","Avalon, CA, USA",MexicanBeauty1
"""been""","Mexico City, Mexico",MexicanBeauty1
"""want""","Tokyo, Japan",MexicanBeauty1
"""want""","San Francisco, CA, USA",MexicanBeauty1
"""want""","Seattle, WA, USA",MexicanBeauty1
"""want""","Amsterdam, The Netherlands",MexicanBeauty1
"""been""","Flagstaff, AZ, USA",MexicanBeauty1
"""want""","Victoria, British Columbia, Canada",MexicanBeauty1
