tag,place,user
"""been""","Jacksonville, FL, USA",MikeS787
"""been""","Deltona, FL, USA",MikeS787
"""been""","Everglades National Park, FL, USA",MikeS787
"""been""","DeBary, FL, USA",MikeS787
"""been""","Daytona Beach, FL, USA",MikeS787
"""been""","De Leon Springs, FL, USA",MikeS787
"""been""","New Smyrna Beach, FL, USA",MikeS787
"""been""","Santa Monica, CA, USA",MikeS787
"""been""","Los Angeles, CA, USA",MikeS787
"""been""","Siesta Key, FL, USA",MikeS787
"""been""","Orlando, FL, USA",MikeS787
"""been""","Port Orange, FL, USA",MikeS787
"""been""","Burbank, CA, USA",MikeS787
"""been""","Key Largo, FL, USA",MikeS787
"""been""","Columbus, OH, USA",MikeS787
"""been""","Marathon, FL, USA",MikeS787
"""been""","Orange City, FL, USA",MikeS787
"""been""","Islamorada, FL, USA",MikeS787
"""been""","Florida City, FL, USA",MikeS787
"""been""","Jupiter, FL, USA",MikeS787
