tag,place,user
"""been""","Porto, Portugal",N2059VItomh
"""been""","Goleniow, Poland",N2059VItomh
"""been""","Bryce Canyon National Park, UT, USA",N2059VItomh
"""been""","Great Bricett, UK",N2059VItomh
"""been""","Setubal, Portugal",N2059VItomh
"""been""","Edinburgh, UK",N2059VItomh
"""been""","London, UK",N2059VItomh
"""been""","Zion National Park, UT, USA",N2059VItomh
"""been""","Las Vegas, NV, USA",N2059VItomh
"""been""","Los Angeles, CA, USA",N2059VItomh
"""been""","Lisbon, Portugal",N2059VItomh
