tag,place,user
"""want""","Maui, HI, USA",Nalalita
"""been""","Boston, MA, USA",Nalalita
"""been""","Costa Mesa, CA, USA",Nalalita
"""been""","Santa Barbara, CA, USA",Nalalita
"""been""","Huntington Beach, CA, USA",Nalalita
"""been""","La Mesa, CA, USA",Nalalita
"""been""","New York City, NY, USA",Nalalita
"""been""","Los Angeles, CA, USA",Nalalita
"""been""","Loreto, Mexico",Nalalita
"""been""","Balboa Island, CA, USA",Nalalita
"""been""","Anaheim, CA, USA",Nalalita
"""been""","Goleta, CA, USA",Nalalita
"""been""","Miami Beach, FL, USA",Nalalita
"""been""","Salem, MA, USA",Nalalita
"""been""","Burbank, CA, USA",Nalalita
"""been""","Corona del Mar, CA, USA",Nalalita
"""been""","San Clemente, CA, USA",Nalalita
"""been""","San Dimas, CA, USA",Nalalita
"""been""","West Hollywood, CA, USA",Nalalita
"""been""","Newport Beach, CA, USA",Nalalita
"""been""","Plymouth, MA, USA",Nalalita
"""been""","Fountain Valley, CA, USA",Nalalita
"""been""","Nashville, TN, USA",Nalalita
"""been""","Rancho Palos Verdes, CA, USA",Nalalita
"""been""","San Diego, CA, USA",Nalalita
"""been""","Acapulco, Mexico",Nalalita
"""been""","Mexico City, Mexico",Nalalita
